Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	ADO:0000073	IAO:0000115	A measurement that quantifies the amount of beta-secretase 1 (BACE1) normally found in blood or cerebrospinal fluid. The quantification of the amount of beta-secretase 1 in a sample, typicallly cerebrospinal fluid. Beta-secretase-1 is an aspartic-acid protease important in the formation of myelin sheaths in peripheral nerve cells, and is thought to have a role in Alzheimer's disease pathogenesis.
ERROR	multiple_definitions	ADO:0000073	IAO:0000115	Quantification of the amount of beta-secretase 1 in a sample, typicallly cerebrospinal fluid. Beta-secretase-1 is an aspartic-acid protease important in the formation of myelin sheaths in peripheral nerve cells, and is thought to have a role in Alzheimer's disease pathogenesis.
WARN	equivalent_class_axiom_no_genus	ADO:0000010	ADO:0000013	DOID:10652
WARN	equivalent_class_axiom_no_genus	ADO:0000011	ADO:0000003	DOID:10652
WARN	equivalent_class_axiom_no_genus	ADO:0000012	ADO:0000002	DOID:10652
WARN	missing_definition	ADO:0000010	IAO:0000115	
WARN	missing_definition	ADO:0000011	IAO:0000115	
WARN	missing_definition	ADO:0000012	IAO:0000115	
WARN	missing_definition	ADO:0000041	IAO:0000115	
INFO	lowercase_definition	ADO:0000092	IAO:0000115	a signaling process that is initiated through binding and activation of its cell-surface receptor and initiates a cascade of phosphorylation and dephosphorylation events, second-messenger generation, and protein-protein interactions that result in diverse metabolic events in almost every tissue
INFO	lowercase_definition	obo:ado#from_Alzheimer_Ontology	IAO:0000115	this indicates that the term originates from the Alzheimer Ontology by Fraunhofer SCAI
INFO	missing_superclass	ADO:0000010	rdfs:subClassOf	
INFO	missing_superclass	ADO:0000011	rdfs:subClassOf	
INFO	missing_superclass	ADO:0000012	rdfs:subClassOf	
INFO	missing_superclass	ADO:0000080	rdfs:subClassOf	
