IRI	Label	Issue
http://purl.obolibrary.org/obo/aeo#derives_from	derives_from	not an RO property
http://purl.obolibrary.org/obo/aeo#descends	descends	not an RO property
http://purl.obolibrary.org/obo/aeo#develops_from	develops_from	not an RO property
http://purl.obolibrary.org/obo/aeo#endStage	endstage	not an RO property
http://purl.obolibrary.org/obo/aeo#hasMapping	hasmapping	not an RO property
http://purl.obolibrary.org/obo/aeo#has_part	has_part	not an RO property
http://purl.obolibrary.org/obo/aeo#isReferenceForMapping	isreferenceformapping	not an RO property
http://purl.obolibrary.org/obo/aeo#part_of	part_of	not an RO property
http://purl.obolibrary.org/obo/aeo#startStage	startstage	not an RO property
http://purl.obolibrary.org/obo/aeo#subEventOf	subeventof	not an RO property
http://purl.obolibrary.org/obo/aeo#type	type	not an RO property
