Level	Rule Name	Subject	Property	Value
WARN	missing_definition	obo:AfPO_0000080	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000084	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000089	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000091	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000095	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000102	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000123	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000135	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000139	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000148	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000152	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000170	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000179	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000180	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000184	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000185	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000186	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000187	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000189	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000195	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000200	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000212	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000213	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000214	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000215	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000221	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000222	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000223	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000226	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000230	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000232	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000233	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000234	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000235	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000237	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000242	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000246	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000258	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000260	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000263	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000264	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000265	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000267	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000268	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000269	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000270	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000271	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000272	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000273	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000281	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000282	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000286	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000288	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000326	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000330	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000331	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000334	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000337	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000350	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000354	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000359	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000360	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000361	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000363	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000364	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000369	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000375	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000381	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000393	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000412	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000436	IAO:0000115	
WARN	missing_definition	obo:AfPO_0000439	IAO:0000115	
