Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	nuclear transport	IAO:0000115	Transport of proteins or RNAs into or out of the nucleus.
ERROR	duplicate_definition	nuclear import	IAO:0000115	Transport of proteins or RNAs into or out of the nucleus.
ERROR	missing_label	obo:apo#AspGD	rdfs:label	
ERROR	missing_label	obo:apo#CGD	rdfs:label	
ERROR	missing_label	obo:apo#CryptoGD	rdfs:label	
ERROR	missing_label	obo:apo#SGD	rdfs:label	
ERROR	missing_label	obo:apo#phenotypeslim_cerevisiae	rdfs:label	
ERROR	duplicate_label	homozygous diploid	rdfs:label	homozygous diploid
ERROR	duplicate_label	homozygous diploid	rdfs:label	homozygous diploid
ERROR	duplicate_label	heterozygous diploid	rdfs:label	heterozygous diploid
ERROR	duplicate_label	heterozygous diploid	rdfs:label	heterozygous diploid
WARN	missing_obsolete_label	not yet recorded	rdfs:label	not yet recorded
WARN	missing_obsolete_label	systematic null mutation set	rdfs:label	systematic null mutation set
WARN	missing_obsolete_label	cell cycle arrest in G1 phase	rdfs:label	cell cycle arrest in G1 phase
WARN	missing_obsolete_label	cell cycle arrest at G2 phase	rdfs:label	cell cycle arrest at G2 phase
WARN	missing_obsolete_label	cell cycle arrest at START	rdfs:label	cell cycle arrest at START
WARN	missing_obsolete_label	cell cycle arrest	rdfs:label	cell cycle arrest
WARN	missing_obsolete_label	drug resistance	rdfs:label	drug resistance
WARN	missing_obsolete_label	respiratory growth rate	rdfs:label	respiratory growth rate
WARN	missing_obsolete_label	growth rate in exponential phase	rdfs:label	growth rate in exponential phase
WARN	missing_obsolete_label	growth rate in post-diauxic phase	rdfs:label	growth rate in post-diauxic phase
WARN	missing_obsolete_label	other method	rdfs:label	other method
WARN	missing_obsolete_label	other mutant type	rdfs:label	other mutant type
WARN	missing_obsolete_label	bud direction	rdfs:label	bud direction
WARN	missing_obsolete_label	cell cycle arrest in M phase	rdfs:label	cell cycle arrest in M phase
WARN	missing_obsolete_label	cell cycle arrest in metaphase	rdfs:label	cell cycle arrest in metaphase
WARN	missing_obsolete_label	cell cycle arrest at the metaphase - anaphase transition	rdfs:label	cell cycle arrest at the metaphase - anaphase transition
WARN	missing_obsolete_label	cell cycle arrest in anaphase	rdfs:label	cell cycle arrest in anaphase
WARN	missing_obsolete_label	cell cycle arrest in early anaphase	rdfs:label	cell cycle arrest in early anaphase
WARN	missing_obsolete_label	cell cycle arrest in mid anaphase	rdfs:label	cell cycle arrest in mid anaphase
WARN	missing_obsolete_label	cell cycle arrest in late anaphase	rdfs:label	cell cycle arrest in late anaphase
WARN	missing_obsolete_label	cell cycle arrest in telophase	rdfs:label	cell cycle arrest in telophase
WARN	missing_obsolete_label	cell cycle arrest in G0 (stationary phase)	rdfs:label	cell cycle arrest in G0 (stationary phase)
WARN	missing_obsolete_label	systematic repressible mutation set	rdfs:label	systematic repressible mutation set
WARN	missing_obsolete_label	null homozygous diploid	rdfs:label	null homozygous diploid
WARN	missing_obsolete_label	null heterozygous diploid	rdfs:label	null heterozygous diploid
WARN	missing_obsolete_label	fermentative growth rate	rdfs:label	fermentative growth rate
WARN	missing_obsolete_label	multiple	rdfs:label	multiple
WARN	missing_obsolete_label	heterozygous diploid	rdfs:label	heterozygous diploid
WARN	missing_obsolete_label	homozygous diploid	rdfs:label	homozygous diploid
WARN	missing_obsolete_label	anaerobic growth rate	rdfs:label	anaerobic growth rate
WARN	missing_obsolete_label	cell cycle arrest in S phase	rdfs:label	cell cycle arrest in S phase
WARN	missing_obsolete_label	cell cycle arrest at the G2/M phase transition	rdfs:label	cell cycle arrest at the G2/M phase transition
WARN	missing_obsolete_label	allergy induction	rdfs:label	allergy induction
WARN	missing_subset_declaration	obo:apo#AspGD	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:apo#CGD	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:apo#CryptoGD	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:apo#SGD	rdfs:subPropertyOf	
WARN	missing_subset_declaration	obo:apo#phenotypeslim_cerevisiae	rdfs:subPropertyOf	
WARN	missing_definition	hyphal growth	IAO:0000115	
WARN	missing_definition	Affinity Capture-MS	IAO:0000115	
WARN	missing_definition	Affinity Capture-RNA	IAO:0000115	
WARN	missing_definition	interactions	IAO:0000115	
WARN	missing_definition	Affinity Capture-Western	IAO:0000115	
WARN	missing_definition	Biochemical Activity	IAO:0000115	
WARN	missing_definition	Co-crystal Structure	IAO:0000115	
WARN	missing_definition	Co-fractionation	IAO:0000115	
WARN	missing_definition	Co-localization	IAO:0000115	
WARN	missing_definition	Co-purification	IAO:0000115	
WARN	missing_definition	Dosage Growth Defect	IAO:0000115	
WARN	missing_definition	Dosage Lethality	IAO:0000115	
WARN	missing_definition	Dosage Rescue	IAO:0000115	
WARN	missing_definition	Epistatic MiniArray Profile	IAO:0000115	
WARN	missing_definition	FRET	IAO:0000115	
WARN	missing_definition	Far Western	IAO:0000115	
WARN	missing_definition	Phenotypic Enhancement	IAO:0000115	
WARN	missing_definition	Phenotypic Suppression	IAO:0000115	
WARN	missing_definition	Protein-RNA	IAO:0000115	
WARN	missing_definition	Protein-peptide	IAO:0000115	
WARN	missing_definition	Reconstituted Complex	IAO:0000115	
WARN	missing_definition	Synthetic Growth Defect	IAO:0000115	
WARN	missing_definition	Synthetic Lethality	IAO:0000115	
WARN	missing_definition	Synthetic Rescue	IAO:0000115	
WARN	missing_definition	Two-hybrid	IAO:0000115	
WARN	missing_definition	genetic interactions	IAO:0000115	
WARN	missing_definition	physical interactions	IAO:0000115	
WARN	missing_definition	Affinity Chromatography	IAO:0000115	
WARN	missing_definition	Affinity Precipitation	IAO:0000115	
WARN	missing_definition	Biochemical Assay	IAO:0000115	
WARN	missing_definition	Purified Complex	IAO:0000115	
WARN	missing_definition	phenotype assays	IAO:0000115	
WARN	missing_definition	PCA	IAO:0000115	
WARN	missing_definition	Synthetic Haploinsufficiency	IAO:0000115	
WARN	missing_definition	Negative Genetic	IAO:0000115	
WARN	missing_definition	Positive Genetic	IAO:0000115	
WARN	missing_definition	obo:apo#AspGD	IAO:0000115	
WARN	missing_definition	obo:apo#CGD	IAO:0000115	
WARN	missing_definition	obo:apo#CryptoGD	IAO:0000115	
WARN	missing_definition	obo:apo#SGD	IAO:0000115	
WARN	missing_definition	obo:apo#phenotypeslim_cerevisiae	IAO:0000115	
INFO	missing_superclass	qualifier	rdfs:subClassOf	
INFO	missing_superclass	mutant_type	rdfs:subClassOf	
INFO	missing_superclass	observable	rdfs:subClassOf	
INFO	missing_superclass	experiment_type	rdfs:subClassOf	
