Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	normal distribution	IAO:0000600	A continuous probability distribution in which the parameter μ is the mean or expectation of the distribution and the parameter σ is its standard deviation@en
ERROR	duplicate_definition	beta distribution	IAO:0000600	A continuous probability distribution in which the parameter μ is the mean or expectation of the distribution and the parameter σ is its standard deviation@en
ERROR	multiple_equivalent_classes	software development	owl:equivalentClass	b7621de7-887f-4c2f-9731-5b24528308fbgenid24
ERROR	multiple_equivalent_classes	software development	owl:equivalentClass	b7621de7-887f-4c2f-9731-5b24528308fbgenid28
ERROR	multiple_equivalent_classes	counting	owl:equivalentClass	b7621de7-887f-4c2f-9731-5b24528308fbgenid107
ERROR	multiple_equivalent_classes	counting	owl:equivalentClass	b7621de7-887f-4c2f-9731-5b24528308fbgenid111
ERROR	multiple_equivalent_classes	intimate agonism	owl:equivalentClass	b7621de7-887f-4c2f-9731-5b24528308fbgenid908
ERROR	multiple_equivalent_classes	intimate agonism	owl:equivalentClass	b7621de7-887f-4c2f-9731-5b24528308fbgenid916
ERROR	label_formatting	obsolete_asymptomatic infection fraction	rdfs:label	"obsolete_asymptomatic infection fraction
@en"
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/apollo_sv.owl	dc11:description	
ERROR	multiple_definitions	software development	IAO:0000115	A planned process resulting in a software product involving the creation of source code.@en
ERROR	multiple_definitions	software development	IAO:0000115	A planned process that has specified output a software product and that involves the creation of source code.@en
ERROR	multiple_definitions	source code repository	IAO:0000115	A data set that comprises at least one set of source code files for software as well as provenance information about who contributed the set of files, and optionally multiple versions of files with detailed change history about who committed files and when, a license for the software, readme files, documentation, executables, etc.@en
ERROR	multiple_definitions	source code repository	IAO:0000115	A document that comprises at least one source code module and provenance data about who contributed the set of files making up the module(s), and optionally comprises also multiple versions of files with detailed change history about who committed files and when, a license for the software, readme files, documentation, executables, etc.@en
ERROR	multiple_labels	simulation of population	rdfs:label	simulated population@en
ERROR	multiple_labels	simulation of population	rdfs:label	simulation of population@en
ERROR	multiple_labels	infectious disease forecaster	rdfs:label	infectious disease forecaster@en
ERROR	multiple_labels	infectious disease forecaster	rdfs:label	infectious disease forecasting software application@en
ERROR	multiple_labels	A software application that has as part an objective specification that is achieved by only a metagenomics analysis.	rdfs:label	A software application that has as part an objective specification that is achieved by only a metagenomics analysis.@en
ERROR	multiple_labels	A software application that has as part an objective specification that is achieved by only a metagenomics analysis.	rdfs:label	metagenomics analysis software@en
ERROR	multiple_labels	data set about Earth's atmosphere or some part of it	rdfs:label	atmospheric data set@en
ERROR	multiple_labels	data set about Earth's atmosphere or some part of it	rdfs:label	data set about Earth's atmosphere or some part of it@en
ERROR	label_whitespace	obsolete_asymptomatic infection fraction	rdfs:label	"obsolete_asymptomatic infection fraction
@en"
WARN	annotation_whitespace	purely intentional entity	dc11:source	"Ingarden, R. (1964) Der Streit um die Existenz der Welt I. Existentalontologie. Max Niemeyer, Tübingen.
"
WARN	annotation_whitespace	simulation time step value	IAO:0000600	"A number of time step units in a time step of a simulation.  

For example, if the time step is 6 hours, then this value is 6.
@en"
WARN	annotation_whitespace	simulation run length	IAO:0000600	"The number of time steps in a simulator run.

For example, if run length is 10 and the time step is 6 hours, then the simulator will simulate a 60-hour period that begins at simulator time zero.
@en"
WARN	annotation_whitespace	latent period duration	IAO:0000600	"A period during which an organism of a particular species, who is infected with a particular pathogen, is not yet able to infect susceptible organisms of a particular species.  

Note that the susceptible and infected organisms can be of different species.

@en"
WARN	annotation_whitespace	count of simulated population	IAO:0000600	The number of simulated organisms in a simulated population.  The number does not have to be an integer.  @en
WARN	annotation_whitespace	vaccination dose schedule	IAO:0000600	A vaccination schedule specifies the intended timing of initial and subsequent booster doses of vaccine for an individual organism. @en
WARN	annotation_whitespace	infectious disease control strategy execution	IAO:0000115	A process that is applied to a population with the goal of preventing, or mitigating the severity of an infectious disease.  @en
WARN	annotation_whitespace	infectious disease control strategy execution	IAO:0000600	A process that is applied to a population with the goal of preventing, or mitigating the severity of an infectious disease.  @en
WARN	annotation_whitespace	simulation of recovered organism	IAO:0000115	A simulated organism in a simulated population that is not susceptible. @en
WARN	annotation_whitespace	simulation of recovered organism	IAO:0000600	"A simulated organism in a simulated population that is neither susceptible, exposed, nor infectious for a particular simulated disease. 
Note that the name for this concept, were it to be named based on its intent, would be ‘immune.’  However, in the practice domain of epidemiology this concept is traditionally termed ‘recovered.’  The problem with the traditional name is that organisms can be considered ‘recovered’ by virtue of having been vaccinated, which differs from lay usage.
@en"
WARN	annotation_whitespace	reproduction number	IAO:0000115	The average value of transmissions of the infectious agent from one infected organism to another, resulting in an infection. @en
WARN	annotation_whitespace	antiviral efficacy delay	IAO:0000115	The value of the time interval between an organism's taking antivirals against a specific infectious agent and the organism’s losing its infectious agent host role. @en
WARN	annotation_whitespace	antiviral efficacy delay	IAO:0000600	The duration of time (expressed in time steps) between initiation of a particular antiviral treatment to an organism and when the organism becomes non infectious or, if the antiviral is being administered prophylactically, protected from infection. @en
WARN	annotation_whitespace	antiviral compliance	IAO:0000600	The fraction of individuals in a simulated population that will accept antiviral treatment if offered. @en
WARN	annotation_whitespace	antiviral supply schedule	IAO:0000115	An action specification giving the number of doses of an antiviral to be made available during a specific time interval. @en
WARN	annotation_whitespace	instantiates	IAO:0000115	A relation between to particulars such that aRb where b can be any kind of entity while the second is a universal. b instantiates a at some times. @en
WARN	annotation_whitespace	simulation of antiviral control measure	IAO:0000115	The simulation of an antiviral control measure. 
WARN	annotation_whitespace	simulation	IAO:0000115	"A purely intentional entity that simulates an entity and its properties.

@en"
WARN	annotation_whitespace	simulation	IAO:0000600	"A purely intentional entity that simulates an entity and its properties.

@en"
WARN	annotation_whitespace	control strategy dose schedule	IAO:0000600	A control strategy dose schedule specifies the intended timing of initial and subsequent doses of for example a vaccine or an antiviral for an individual organism. @en
