Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	ARO:3009466	IAO:0000115	Yor1 can cause excessive efflux of azoles when mutated.
ERROR	duplicate_definition	ARO:3009467	IAO:0000115	Yor1 can cause excessive efflux of azoles when mutated.
ERROR	duplicate_definition	ARO:3009468	IAO:0000115	Yor1 can cause excessive efflux of azoles when mutated.
ERROR	duplicate_definition	ARO:3009636	IAO:0000115	UPC2 encodes a transcription factor that is a master regulator of ergosterol biosynthesis in fungi. Its mutation is clinically important because gain-of-function mutations in UPC2 are a well-known mechanism of azole resistance.
ERROR	duplicate_definition	ARO:3009637	IAO:0000115	UPC2 encodes a transcription factor that is a master regulator of ergosterol biosynthesis in fungi. Its mutation is clinically important because gain-of-function mutations in UPC2 are a well-known mechanism of azole resistance.
ERROR	duplicate_definition	ARO:3009638	IAO:0000115	UPC2 encodes a transcription factor that is a master regulator of ergosterol biosynthesis in fungi. Its mutation is clinically important because gain-of-function mutations in UPC2 are a well-known mechanism of azole resistance.
ERROR	duplicate_definition	ARO:3003556	IAO:0000115	This enzyme breaks the beta-lactam antibiotic ring open and deactivates the molecule's antibacterial properties.
ERROR	duplicate_definition	ARO:3003557	IAO:0000115	This enzyme breaks the beta-lactam antibiotic ring open and deactivates the molecule's antibacterial properties.
ERROR	duplicate_definition	ARO:3007692	IAO:0000115	These pepQ/Rv2535c mutations increase efflux through the mmpL5-mmpS5 (Rv0676c-Rv0677c) transporter, such as preventing degradation of MmpL5, which leads to reduced susceptibility to bedaquiline and clofazimine.
ERROR	duplicate_definition	ARO:3009335	IAO:0000115	These pepQ/Rv2535c mutations increase efflux through the mmpL5-mmpS5 (Rv0676c-Rv0677c) transporter, such as preventing degradation of MmpL5, which leads to reduced susceptibility to bedaquiline and clofazimine.
ERROR	duplicate_definition	ARO:3009200	IAO:0000115	The P450 enzyme system, which may be alternatively named the Cyp51 enzyme system in some fungi, is integral to ergosterol synthesis. Azoles target lanosterol demethylase thereby halting ergosterol production and ultimately compromises fungal cell membrane integrity. Mutations to the P450/Cyp51 genes have been shown to inhibit azole activity.
ERROR	duplicate_definition	ARO:3009202	IAO:0000115	The P450 enzyme system, which may be alternatively named the Cyp51 enzyme system in some fungi, is integral to ergosterol synthesis. Azoles target lanosterol demethylase thereby halting ergosterol production and ultimately compromises fungal cell membrane integrity. Mutations to the P450/Cyp51 genes have been shown to inhibit azole activity.
ERROR	duplicate_definition	ARO:3009203	IAO:0000115	The P450 enzyme system, which may be alternatively named the Cyp51 enzyme system in some fungi, is integral to ergosterol synthesis. Azoles target lanosterol demethylase thereby halting ergosterol production and ultimately compromises fungal cell membrane integrity. Mutations to the P450/Cyp51 genes have been shown to inhibit azole activity.
ERROR	duplicate_definition	ARO:3009260	IAO:0000115	The Mfs family of genes in fungi are responsible for a variety of transport across the cell membrane. Mutations to this family of genes can result in anti-fungal resistance, especially against azole drugs.
ERROR	duplicate_definition	ARO:3009261	IAO:0000115	The Mfs family of genes in fungi are responsible for a variety of transport across the cell membrane. Mutations to this family of genes can result in anti-fungal resistance, especially against azole drugs.
