Level	Rule Name	Subject	Property	Value
WARN	equivalent_class_axiom_no_genus	BMONT:0000070	BMONT:0000066	DOID:4
WARN	equivalent_class_axiom_no_genus	BMONT:0000072	BMONT:0000067	DOID:4
WARN	equivalent_class_axiom_no_genus	BMONT:0000073	BMONT:0000065	DOID:4
WARN	equivalent_class_axiom_no_genus	BMONT:0000074	BMONT:0000071	DOID:4
WARN	equivalent_class_axiom_no_genus	BMONT:0000098	BMONT:0000097	DOID:4
WARN	equivalent_class_axiom_no_genus	BMONT:0000100	BMONT:0000099	DOID:4
WARN	missing_definition	BMONT:0000048	IAO:0000115	
WARN	missing_definition	BMONT:0000057	IAO:0000115	
WARN	missing_definition	BMONT:0000065	IAO:0000115	
WARN	missing_definition	BMONT:0000066	IAO:0000115	
WARN	missing_definition	BMONT:0000067	IAO:0000115	
WARN	missing_definition	BMONT:0000070	IAO:0000115	
WARN	missing_definition	BMONT:0000071	IAO:0000115	
WARN	missing_definition	BMONT:0000072	IAO:0000115	
WARN	missing_definition	BMONT:0000073	IAO:0000115	
WARN	missing_definition	BMONT:0000074	IAO:0000115	
WARN	missing_definition	BMONT:0000097	IAO:0000115	
WARN	missing_definition	BMONT:0000098	IAO:0000115	
WARN	missing_definition	BMONT:0000099	IAO:0000115	
WARN	missing_definition	BMONT:0000100	IAO:0000115	
