Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	MKN-28 cell	IAO:0000115	Well differentiated human gastric adenocarcinoma cell line.
ERROR	duplicate_definition	MKN-7 cell	IAO:0000115	Well differentiated human gastric adenocarcinoma cell line.
ERROR	duplicate_definition	MKN-74 cell	IAO:0000115	Well differentiated human gastric adenocarcinoma cell line.
ERROR	duplicate_definition	mesenteric adipose tissue	IAO:0000115	Visceral fat is composed of several adipose depots, including mesenteric, epididymal white adipose tissue EWAT, and perirenal depots.
ERROR	duplicate_definition	epididymal white adipose tissue	IAO:0000115	Visceral fat is composed of several adipose depots, including mesenteric, epididymal white adipose tissue EWAT, and perirenal depots.
ERROR	duplicate_definition	perirenal adipose tissue	IAO:0000115	Visceral fat is composed of several adipose depots, including mesenteric, epididymal white adipose tissue EWAT, and perirenal depots.
ERROR	duplicate_definition	V79MZh11B1 cell	IAO:0000115	Two cell lines derived from V79 chinese hamster cells were established to express human CYP11B1 and CYP11B2. They were called V79MZh11B1 and V79MZh11B2.
ERROR	duplicate_definition	V79MZh11B2 cell	IAO:0000115	Two cell lines derived from V79 chinese hamster cells were established to express human CYP11B1 and CYP11B2. They were called V79MZh11B1 and V79MZh11B2.
ERROR	duplicate_definition	thymic cortical epithelial cell	IAO:0000115	Thymic stromal cells include thymic cortical epithelial cells, thymic medullary epithelial cells, and dendritic cells.
ERROR	duplicate_definition	thymic medullary epithelial cell	IAO:0000115	Thymic stromal cells include thymic cortical epithelial cells, thymic medullary epithelial cells, and dendritic cells.
ERROR	duplicate_definition	thymic dendritic cell	IAO:0000115	Thymic stromal cells include thymic cortical epithelial cells, thymic medullary epithelial cells, and dendritic cells.
ERROR	duplicate_definition	TRAMP-C1 cell	IAO:0000115	This cell line was derived in 1996 from a heterogeneous 32 week primary tumor in the prostate of a PB-Tag C57BL/6 (TRAMP) mouse.
ERROR	duplicate_definition	TRAMP-C3 cell	IAO:0000115	This cell line was derived in 1996 from a heterogeneous 32 week primary tumor in the prostate of a PB-Tag C57BL/6 (TRAMP) mouse.
ERROR	duplicate_definition	TRAMP-C2 cell	IAO:0000115	This cell line was derived in 1996 from a heterogeneous 32 week primary tumor in the prostate of a PB-Tag C57BL/6 (TRAMP) mouse.
ERROR	duplicate_definition	urethra	IAO:0000115	The tube through which urine leaves the body. It empties urine from the bladder.
ERROR	duplicate_definition	female urethra	IAO:0000115	The tube through which urine leaves the body. It empties urine from the bladder.
ERROR	duplicate_definition	male urethra	IAO:0000115	The tube through which urine leaves the body. It empties urine from the bladder.
ERROR	duplicate_definition	bone marrow	IAO:0000115	The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.
ERROR	duplicate_definition	bone marrow cell	IAO:0000115	The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.
ERROR	duplicate_definition	S9 cell	IAO:0000115	The S9 cell line and the C38 cell line were derived from the IB3-1 cell line.
ERROR	duplicate_definition	C38 cell	IAO:0000115	The S9 cell line and the C38 cell line were derived from the IB3-1 cell line.
ERROR	duplicate_definition	pericarp	IAO:0000115	The ripened and variously modified walls of a plant ovary.
ERROR	duplicate_definition	seed vessel	IAO:0000115	The ripened and variously modified walls of a plant ovary.
ERROR	duplicate_definition	extravillous trophoblast	IAO:0000115	The outermost layer of trophoblast, produced by cytotrophoblast where there is direct contact with maternal decidua rather than blood. The EVT cells travel into the decidua, reacting with NK cells and invading maternal blood vessels feeding the placenta, softening the walls and replacing the lining with fetal tissue, a process called conversion.
ERROR	duplicate_definition	extravillous trophoblast cell	IAO:0000115	The outermost layer of trophoblast, produced by cytotrophoblast where there is direct contact with maternal decidua rather than blood. The EVT cells travel into the decidua, reacting with NK cells and invading maternal blood vessels feeding the placenta, softening the walls and replacing the lining with fetal tissue, a process called conversion.
ERROR	duplicate_definition	junctional zone	IAO:0000115	<The murine placenta consists of two main fetally derived compartments: the labyrinthine zone and the junctional zone.>
