IRI	Label	Issue
http://purl.obolibrary.org/obo/CDAO_0000160	precedes	shares label with http://purl.obolibrary.org/obo/BFO_0000063
http://purl.obolibrary.org/obo/CDAO_0000142	has_character	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000143	belongs_to_edge_as_child	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000144	has_ancestor	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000145	has_nucleotide_state	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000146	belongs_to_edge	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000147	belongs_to_character_state_data_matrix	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000148	has_root	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000149	has_child	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000150	has_first_coordinate_item	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000151	has_coordinate	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000152	belongs_to_continuous_character	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000153	has_datum	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000154	has_standard_datum	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000155	subtree_of	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000156	has_amino_acid_state	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000157	is_annotation_of	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000158	has_rna_datum	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000159	has_left_state	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000161	exclude	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000162	has_node	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000163	nca_node_of	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000164	has_external_reference	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000165	has_coordinate_system	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000166	belongs_to_nucleotide_character	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000167	connects_to	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000168	has_amino_acid_datum	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000169	hereditary_change_of	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000170	has_compound_datum	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000171	has_descendants	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000172	reconciliation_of	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000173	belongs_to_amino_acid_character	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000174	has_descendant	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000175	has_continuous_state	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000176	has_type	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000177	belongs_to_edge_as_parent	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000178	has	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000179	has_parent	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000180	belongs_to_compound_character	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000181	homologous_to	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000182	has_change_component	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000183	has_categorical_datum	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000184	has_state	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000185	has_left_node	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000186	has_right_state	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000187	represents_tu	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000188	exclude_node	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000189	has_compound_state	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000190	belongs_to	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000191	belongs_to_tu	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000192	belongs_to_network	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000193	has_annotation	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000194	part_of	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000195	has_nucleotide_datum	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000196	represented_by_node	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000197	has_remaining_coordinate_list	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000198	has_element	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000199	exclude_subtree	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000200	belongs_to_tree	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000201	has_parent_node	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000202	has_lineage_node	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000203	belongs_to_tree_as_root	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000204	has_hereditary_change	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000205	belongs_to_character	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000206	has_molecular_datum	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000207	has_continuous_datum	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000208	has_tu	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000209	has_child_node	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000210	has_right_node	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000211	has_precision	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000212	has_point_coordinate_value	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000213	has_int_value	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000214	has_support_value	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000215	has_value	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000216	has_uncertainty_factor	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000217	has_range_end_value	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000218	has_float_value	not an RO property
http://purl.obolibrary.org/obo/CDAO_0000219	has_range_start_value	not an RO property
