Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alaninate(3-)	IAO:0000115	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alaninate(3-) in which the anomeric centre of the pyranose fragment has alpha-configuration.
ERROR	duplicate_definition	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	IAO:0000115	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alaninate(3-) in which the anomeric centre of the pyranose fragment has alpha-configuration.
ERROR	duplicate_definition	C-terminal alpha-amino-acyl-L-glutamyl-L-glutamyl-L-tyrosinate(3-) residue	IAO:0000115	<This compound is related to CHEBI:141769, but I am unsure how to express it in the ontology.>
ERROR	duplicate_definition	C-terminal alpha-amino-acyl-L-glutamyl-L-glutamate(2-) residue	IAO:0000115	<This compound is related to CHEBI:141769, but I am unsure how to express it in the ontology.>
ERROR	duplicate_definition	N-(2-((4-Benzylpiperidin-1-yl)methyl)-3H-benzo[d]imidazol-5-yl)methanesulfonamide	IAO:0000115	This chemical is a 5-substituted benzimidazole derivative and an antagonist of the GluN2B subunit of the NMDA receptor.
ERROR	duplicate_definition	N-[2-[(4-Phenoxyphenyl)methyl]-3H-benzimidazol-5-yl]methanesulfonamide	IAO:0000115	This chemical is a 5-substituted benzimidazole derivative and an antagonist of the GluN2B subunit of the NMDA receptor.
ERROR	duplicate_definition	YoYo-1(4+)	IAO:0000115	The tetracation of YoYo-1 dye.
ERROR	duplicate_definition	YoYo-3(4+)	IAO:0000115	The tetracation of YoYo-1 dye.
ERROR	duplicate_definition	PoPo-1(4+)	IAO:0000115	The tetracation of PoPo-1 dye.
ERROR	duplicate_definition	PoPo-3(4+)	IAO:0000115	The tetracation of PoPo-1 dye.
ERROR	duplicate_definition	2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate(2-)	IAO:0000115	<The stereoconfiguration is based on CHEBI:134612, pmid:20810662>
ERROR	duplicate_definition	2-[(2-aminoethylcarbamoyl)methyl]-2-hydroxybutanedioate	IAO:0000115	<The stereoconfiguration is based on CHEBI:134612, pmid:20810662>
ERROR	duplicate_definition	2-[(L-alanin-3-ylcarbamoyl)methyl]-3-(2-aminoethylcarbamoyl)-2-hydroxypropanoate	IAO:0000115	<The stereoconfiguration is based on CHEBI:134612, pmid:20810662>
ERROR	duplicate_definition	(R)-vedaprofen	IAO:0000115	The R-enantiomer of the racemic drug vedaprofen. The racemate is used for control of pain and inflammation particularly associated with chronic musculoskeletal disorders and soft tissue trauma in dogs and horses and for treatment of pain due to horse colic.
ERROR	duplicate_definition	(S)-vedaprofen	IAO:0000115	The R-enantiomer of the racemic drug vedaprofen. The racemate is used for control of pain and inflammation particularly associated with chronic musculoskeletal disorders and soft tissue trauma in dogs and horses and for treatment of pain due to horse colic.
ERROR	duplicate_definition	ATTO 610-2(1+)	IAO:0000115	The cationic form of a fluorescent dye derived from a tetrahydronaphtho[2,3-g]quinoline.
ERROR	duplicate_definition	ATTO 635-2(1+)	IAO:0000115	The cationic form of a fluorescent dye derived from a tetrahydronaphtho[2,3-g]quinoline.
ERROR	duplicate_definition	UMP 5'-end residue	IAO:0000115	The 3'-end bound-monomer of a uridylyl-5'-monophosphoric acid that is part of a nucleic acid.
ERROR	duplicate_definition	UMP 3'-end residue	IAO:0000115	The 3'-end bound-monomer of a uridylyl-5'-monophosphoric acid that is part of a nucleic acid.
ERROR	duplicate_definition	dUMP 3'-end residue	IAO:0000115	The 3'-end bound-monomer of a uridylyl-5'-monophosphoric acid that is part of a nucleic acid.
ERROR	duplicate_definition	(R)-acenocoumarol	IAO:0000115	The (R)-enantiomer of acenocoumarol.
ERROR	duplicate_definition	(S)-acenocoumarol	IAO:0000115	The (R)-enantiomer of acenocoumarol.
ERROR	duplicate_definition	(R)-aminoglutethimide	IAO:0000115	The (3R)-enantiomer of aminoglutethimide.
ERROR	duplicate_definition	(S)-aminoglutethimide	IAO:0000115	The (3R)-enantiomer of aminoglutethimide.
ERROR	duplicate_definition	6-hydroxyferulic acid-4-O-hexoside	IAO:0000115	R=hexoside
ERROR	duplicate_definition	6-hydroxyferulic acid-6-O-hexoside	IAO:0000115	R=hexoside
ERROR	duplicate_definition	6-hydroxyferuloyl hexose	IAO:0000115	R=hexoside
ERROR	duplicate_definition	dihydroscopoletin hexoside	IAO:0000115	R=hexoside
ERROR	duplicate_definition	scopoletin pentosyl hexoside 6-hydroxyferulic acid	IAO:0000115	R1=hexoside; R2=pentoside
ERROR	duplicate_definition	scopoletin pentosyl-hexoside	IAO:0000115	R1=hexoside; R2=pentoside
ERROR	duplicate_definition	6-hydroxyconiferyl alcohol hexoside	IAO:0000115	R1=hexoside,R2=H,R3=H; R1=H,R2=hexoside,R3=H; R1=H,R2=H,R3=hexoside
ERROR	duplicate_definition	sideretin hexoside	IAO:0000115	R1=hexoside,R2=H,R3=H; R1=H,R2=hexoside,R3=H; R1=H,R2=H,R3=hexoside
ERROR	duplicate_definition	6-methylpurine	IAO:0000115	Purine bearing a methyl substituent at position 6.
ERROR	duplicate_definition	9-methylpurine	IAO:0000115	Purine bearing a methyl substituent at position 6.
ERROR	duplicate_definition	(2R)-2-hydroxy-4-(methylsulfanyl)butanoate	IAO:0000115	<Published in DOI:10.1104/pp.116.1.369>
ERROR	duplicate_definition	(2R)-4-(dimethylsulfaniumyl)-2-hydroxybutanoate	IAO:0000115	<Published in DOI:10.1104/pp.116.1.369>
ERROR	duplicate_definition	(beta-D-glucosyl)-O-mycofactocinone	IAO:0000115	<Published in DOI:10.1039/d0sc01172j>
ERROR	duplicate_definition	(beta-D-glucosyl)-O-mycofactocinol	IAO:0000115	<Published in DOI:10.1039/d0sc01172j>
ERROR	duplicate_definition	(beta-D-glucosyl)6-(1->4)-2-O-methyl-beta-D-glucosyl-(1->4)-beta-D-glucosyl-O-mycofactocinone	IAO:0000115	<Published in DOI:10.1039/d0sc01172j>
ERROR	duplicate_definition	poly(glucopyranosyl N-acetylgalactosamine 1-phosphate) teichoic acid	IAO:0000115	One of the teichoic acids found in the cell wall of Gram-positive bacteria.
ERROR	duplicate_definition	poly(glucosyl N-acetylgalactosamine 1-phosphate) teichoic acid	IAO:0000115	One of the teichoic acids found in the cell wall of Gram-positive bacteria.
ERROR	duplicate_definition	Lewis A antigen	IAO:0000115	One of the blood groups of the Lewis antigen system
ERROR	duplicate_definition	Lewis B antigen	IAO:0000115	One of the blood groups of the Lewis antigen system
ERROR	duplicate_definition	Lewis X antigen	IAO:0000115	One of the blood groups of the Lewis antigen system
ERROR	duplicate_definition	Lewis Y antigen	IAO:0000115	One of the blood groups of the Lewis antigen system
ERROR	duplicate_definition	Sda antigen	IAO:0000115	One of the blood groups of the Lewis antigen system
ERROR	duplicate_definition	salicylic acyl beta-D-glucuronide (1-)	IAO:0000115	metabolite of salicylate
ERROR	duplicate_definition	1-salicylate O-glucuronide(1-)	IAO:0000115	metabolite of salicylate
ERROR	duplicate_definition	N(2)-(ADP-D-ribosyl)-guanosine(2-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(ADP-D-ribosyl)-2'-deoxyguanosine(2-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(ADP-D-ribosyl)-guanine(2-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(ADP-D-ribosyl)-GMP(4-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(ADP-D-ribosyl)-dGMP(4-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(ADP-D-ribosyl)-GTP(6-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(ADP-D-ribosyl)-dGTP(6-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(ADP-D-ribosyl)-3',5'-cyclic GMP(3-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(ADP-D-ribosyl)-dGMP(3-) residue	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	rifamycin SV ortho-naphthoquinone carboxamide(2-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	rifamycin SV para-naphthoquinone carboxamide(2-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	rifampicin hemiaminal(2-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	rifampicin ortho-naphthoquinone carboxamide(2-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	rifampicin para-naphthoquinone carboxamide(2-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	pseudo-UTP(4-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	4alpha-carboxy-stigmasta-7,24(24(1))-dien-3beta-ol(1-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	3,7-dimethylocta-2,6-dienoate(1-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	4-amino-4-deoxyprephenate	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	(1R,2R)-2-amino-1-(4-aminophenyl)propane-1,3-diol(1+)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(4-aminobutanoyl)-L-argininium	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(4-aminobutanoyl)-L-lysinium	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(2)-(4-aminobutanoyl)-L-ornithine(1+)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	beta-alanyl-L-ornithine(1+)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	2-ammonioethyl (2R)-2,3-dihydroxypropyl phosphate zwitterion	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(6)-(pyridoxal phosphate)-L-lysine(2-) residue	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	1-acyl-sn-glycero-2,3-cyclic phosphate(1-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	S-methylbutanedioate-L-cysteinyl(2-) residue	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	FMN-N(5)-oxide(3-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	solasodine 3-beta-D-glucoside(1+)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	adenosine 3'-diphosphate,5'-triphosphate(6-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	adenosine 3'-diphosphate,5'-phosphate(5-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	adenosine 3'-diphosphate,5'-diphosphate(5-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	4-phospho-L-aspartate(2-) residue	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N-citryl-spermidine zwitterion	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(1)-(3,4-dihydroxybenzoyl)-N(8)-citryl-spermidine (1-)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	N(1)-(3,4-dihydroxybenzoyl)-N(8),N'(8)-citryl-bis(spermidine) (2+)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	(2S)-2-(4-hydoxybenzyl)-3-(4-hydroxyphenyl)-2-furonol carboxylate	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	14-deacetyl astellolide A	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	14-deacetyl astellolide B	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	2-carboxy-L-lyxonate	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	ethoxy(isopropylamino)phosphinate	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	bis(sec-butylsulfanyl)phosphinate	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	galanthamine(1+)	IAO:0000115	Major species at pH 7.3.
ERROR	duplicate_definition	huperzine A(1+)	IAO:0000115	Major species at pH 7.3.
