Level	Rule Name	Subject	Property	Value
ERROR	missing_label	obo:chiro#activator_of	rdfs:label	
ERROR	missing_label	obo:chiro#agonist_of	rdfs:label	
ERROR	missing_label	obo:chiro#antagonist_of	rdfs:label	
ERROR	missing_label	obo:chiro#destabilizer_of	rdfs:label	
ERROR	missing_label	obo:chiro#inducer_of	rdfs:label	
ERROR	missing_label	obo:chiro#inhibitor_of	rdfs:label	
ERROR	missing_label	obo:chiro#modulator_of	rdfs:label	
ERROR	missing_label	obo:chiro#sensitizer_of	rdfs:label	
ERROR	missing_label	obo:chiro#stabilizier_of	rdfs:label	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/chiro.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/chiro.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/chiro.owl	dc:title	
WARN	missing_definition	obo:chiro#activator_of	IAO:0000115	
WARN	missing_definition	obo:chiro#affects	IAO:0000115	
WARN	missing_definition	obo:chiro#agonist_of	IAO:0000115	
WARN	missing_definition	obo:chiro#antagonist_of	IAO:0000115	
WARN	missing_definition	obo:chiro#destabilizer_of	IAO:0000115	
WARN	missing_definition	obo:chiro#inducer_of	IAO:0000115	
WARN	missing_definition	obo:chiro#inhibitor_of	IAO:0000115	
WARN	missing_definition	obo:chiro#modulator_of	IAO:0000115	
WARN	missing_definition	obo:chiro#sensitizer_of	IAO:0000115	
WARN	missing_definition	obo:chiro#stabilizier_of	IAO:0000115	
