Level	Rule Name	Subject	Property	Value
WARN	duplicate_label_synonym	CHMO:0000052	oboInOwl:hasExactSynonym	near-infrared microscopy
WARN	duplicate_label_synonym	CHMO:0000075	oboInOwl:hasExactSynonym	cold-field-emission scanning electron microscopy
WARN	duplicate_label_synonym	CHMO:0000093	oboInOwl:hasExactSynonym	near-infrared fluorescence microscopy
WARN	duplicate_label_synonym	CHMO:0000095	oboInOwl:hasExactSynonym	ultraviolet fluorescence microscopy
WARN	duplicate_label_synonym	CHMO:0000167	oboInOwl:hasExactSynonym	dynamic light scattering
WARN	duplicate_label_synonym	CHMO:0000177	oboInOwl:hasExactSynonym	thermal diffusion forced Rayleigh scattering
WARN	duplicate_label_synonym	CHMO:0000178	oboInOwl:hasExactSynonym	infrared thermal diffusion forced Rayleigh scattering
WARN	duplicate_label_synonym	CHMO:0000180	oboInOwl:hasExactSynonym	static light scattering
WARN	duplicate_label_synonym	CHMO:0000183	oboInOwl:hasExactSynonym	elastic neutron scattering
WARN	duplicate_label_synonym	CHMO:0000187	oboInOwl:hasExactSynonym	wide angle neutron scattering
WARN	duplicate_label_synonym	CHMO:0000192	oboInOwl:hasExactSynonym	inelastic neutron scattering
WARN	duplicate_label_synonym	CHMO:0000193	oboInOwl:hasExactSynonym	neutron backscattering
WARN	duplicate_label_synonym	CHMO:0000195	oboInOwl:hasExactSynonym	triple-axis neutron scattering
WARN	duplicate_label_synonym	CHMO:0000197	oboInOwl:hasExactSynonym	spin-echo small angle neutron scattering
WARN	duplicate_label_synonym	CHMO:0000201	oboInOwl:hasExactSynonym	inelastic X-ray scattering
WARN	duplicate_label_synonym	CHMO:0000215	oboInOwl:hasExactSynonym	optical time-domain reflectometry
WARN	duplicate_label_synonym	CHMO:0000241	oboInOwl:hasExactSynonym	solid sampling graphite furnace atomic absorption spectrometry
WARN	duplicate_label_synonym	CHMO:0000245	oboInOwl:hasExactSynonym	flow injection thermospray flame furnace absorption spectrometry
WARN	duplicate_label_synonym	CHMO:0000247	oboInOwl:hasExactSynonym	flow injection electrothermal atomic absorption spectrometry
WARN	duplicate_label_synonym	CHMO:0000248	oboInOwl:hasExactSynonym	flow injection flame atomic absorption spectrometry
WARN	duplicate_label_synonym	CHMO:0000253	oboInOwl:hasExactSynonym	graphite furnace atomic emission spectrometry
WARN	duplicate_label_synonym	CHMO:0000255	oboInOwl:hasExactSynonym	flame atomic emission spectroscopy
WARN	duplicate_label_synonym	CHMO:0000292	oboInOwl:hasExactSynonym	ultraviolet-visible spectrophotometry
WARN	duplicate_label_synonym	CHMO:0000296	oboInOwl:hasExactSynonym	vacuum ultraviolet spectrophotometry
WARN	duplicate_label_synonym	CHMO:0000306	oboInOwl:hasExactSynonym	X-ray microprobe spectroscopy
WARN	duplicate_label_synonym	CHMO:0000314	oboInOwl:hasExactSynonym	wavelength dispersive X-ray spectroscopy
WARN	duplicate_label_synonym	CHMO:0000315	oboInOwl:hasExactSynonym	X-ray microemission spectroscopy
WARN	duplicate_label_synonym	CHMO:0000330	oboInOwl:hasExactSynonym	pulsed electron spin resonance spectroscopy
WARN	duplicate_label_synonym	CHMO:0000370	oboInOwl:hasExactSynonym	high-resolution energy loss spectroscopy
WARN	duplicate_label_synonym	CHMO:0000381	oboInOwl:hasExactSynonym	ultraviolet bremsstrahlung isochromat spectroscopy
WARN	duplicate_label_synonym	CHMO:0000386	oboInOwl:hasExactSynonym	spin-polarized metastable de-excitation spectroscopy
WARN	duplicate_label_synonym	CHMO:0000401	oboInOwl:hasExactSynonym	ultraviolet photoelectron spectroscopy
WARN	duplicate_label_synonym	CHMO:0000403	oboInOwl:hasExactSynonym	vacuum ultraviolet photoelectron spectroscopy
WARN	duplicate_label_synonym	CHMO:0000413	oboInOwl:hasExactSynonym	spin-polarised secondary electron spectroscopy
WARN	duplicate_label_synonym	CHMO:0000414	oboInOwl:hasExactSynonym	gamma-ray spectroscopy
WARN	duplicate_label_synonym	CHMO:0000417	oboInOwl:hasExactSynonym	Mossbauer spectroscopy
WARN	duplicate_label_synonym	CHMO:0000427	oboInOwl:hasExactSynonym	direct recoil spectroscopy
WARN	duplicate_label_synonym	CHMO:0000428	oboInOwl:hasExactSynonym	ion microprobe spectroscopy
WARN	duplicate_label_synonym	CHMO:0000437	oboInOwl:hasExactSynonym	direct laser absorption spectroscopy
WARN	duplicate_label_synonym	CHMO:0000440	oboInOwl:hasExactSynonym	collinear laser ion-beam spectroscopy
WARN	duplicate_label_synonym	CHMO:0000446	oboInOwl:hasExactSynonym	intracavity laser absorption spectroscopy
WARN	duplicate_label_synonym	CHMO:0000459	oboInOwl:hasExactSynonym	ultraviolet thermal lens spectroscopy
WARN	duplicate_label_synonym	CHMO:0000467	oboInOwl:hasExactSynonym	laser microprobe spectroscopy
WARN	duplicate_label_synonym	CHMO:0000468	oboInOwl:hasExactSynonym	resonance-enhanced laser microprobe spectroscopy
WARN	duplicate_label_synonym	CHMO:0000496	oboInOwl:hasExactSynonym	temperature-resolved pyrolysis field ionisation mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000498	oboInOwl:hasExactSynonym	high-resolution mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000499	oboInOwl:hasExactSynonym	ion mobility spectrometry-mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000515	oboInOwl:hasExactSynonym	laser desorption-ionisation mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000516	oboInOwl:hasExactSynonym	laser microprobe mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000520	oboInOwl:hasExactSynonym	matrix-assisted laser desorption-ionisation time-of-flight mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000521	oboInOwl:hasExactSynonym	sol-gel-assisted laser desorption-ionisation mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000522	oboInOwl:hasExactSynonym	surface-enhanced laser desorption-ionisation mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000527	oboInOwl:hasExactSynonym	multiphoton ionisation mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000543	oboInOwl:hasExactSynonym	high performance liquid chromatography-inductively coupled plasma mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000552	oboInOwl:hasExactSynonym	liquid chromatography-inductively coupled plasma mass spectrometry
WARN	duplicate_label_synonym	CHMO:0000591	oboInOwl:hasExactSynonym	nuclear magnetic resonance spectroscopy
WARN	duplicate_label_synonym	CHMO:0000592	oboInOwl:hasExactSynonym	one-dimensional nuclear magnetic resonance spectroscopy
