IRI	Label	Issue
http://purl.obolibrary.org/obo/CIDO_0000022	has active ingredient	shares label with http://purl.obolibrary.org/obo/RO_0002248
http://purl.obolibrary.org/obo/CIDO_0000010	is host of	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000012	treatment for	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000024	eua-authorized use at	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000029	pcr detects	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000030	susceptible to adverse event	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000032	assay performed at	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000040	has susceptible host	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000053	caused by infection with	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000118	chemical has protein target	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000119	chemical has protein target as inhibitor	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000120	chemical has protein target as antagonist	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000121	chemical has protein target as agonist	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000122	chemical has protein target as binder	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000123	chemical has protein target as inducer	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000124	drug has protein target	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000125	chemical has protein target as potentiator	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000126	chemical has protein target as activator	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000127	drug has protein target as agonist	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000128	drug has protein target as antagonist	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000129	drug has protein target as binder	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000130	drug has protein target as inducer	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000131	drug has protein target as inhibitor	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000132	drug has protein target as potentiator	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000133	drug has protein target as activator	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000139	chemical effective against virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000140	chemical inhibits in vivo replication of virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000141	chemical effective in vitro against virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000142	chemical effective in vivo against virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000143	chemical inhibits in vivo invasion of virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000144	chemical inhibits in vitro replication of virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000145	chemical inhibits in vitro invasion of virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000146	chemical modulates response against virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000147	chemical modulates response in vivo against virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000148	chemical modulates response in vitro against virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000149	chemical inhibits invasion of virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000150	chemical inhibits replication of virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000173	disease susceptibly has phenotype	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000174	drug effective against virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000175	drug effective in vivo against virus	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000176	susceptibly occurs in	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000184	capable of inhibiting activity of	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000188	induces in vivo production of	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000189	capable of priming activity of	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000208	catalyzed by	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000219	disease induced by phenotype	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000220	causal relation related to phenotype	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000221	phenotype has causal agent	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000222	disease susceptibly severe with comorbidity	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000223	causal process for agent	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000224	process up-regulates agent	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000244	variant of	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000248	process capable of inducing phenotype	not an RO property
http://purl.obolibrary.org/obo/CIDO_0000249	agent capable of inducing phenotype	not an RO property
