Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	CIDO:0000419	IAO:0000115	Hong Yu, Oliver He
ERROR	duplicate_definition	CIDO:0000420	IAO:0000115	Hong Yu, Oliver He
ERROR	duplicate_definition	CIDO:0000421	IAO:0000115	Hong Yu, Oliver He
ERROR	duplicate_definition	CIDO:0000422	IAO:0000115	Hong Yu, Oliver He
ERROR	duplicate_definition	CIDO:0000033	IAO:0000115	COVID-19 diagnostic process by thoracic imaging
ERROR	duplicate_definition	CIDO:0000034	IAO:0000115	COVID-19 diagnostic process by thoracic imaging
ERROR	duplicate_definition	CIDO:0000142	IAO:0000115	An object property that represents a relation between a chemical entity and a virus where the chemical has an effective role against viral infection in vivo
ERROR	duplicate_definition	CIDO:0000175	IAO:0000115	An object property that represents a relation between a chemical entity and a virus where the chemical has an effective role against viral infection in vivo
ERROR	duplicate_definition	CIDO:0001146	IAO:0000115	A SARS-CoV-2 protein AA deletion that affected a SARS-CoV-2 S protein in the RBD domain.
ERROR	duplicate_definition	CIDO:0001154	IAO:0000115	A SARS-CoV-2 protein AA deletion that affected a SARS-CoV-2 S protein in the RBD domain.
ERROR	duplicate_definition	CIDO:0000235	IAO:0000115	A SARS-CoV-2 clade G variant virus that carries the combination of Spike D614G and Nucleocapsid RG203KR mutations.
ERROR	duplicate_definition	CIDO:0000272	IAO:0000115	A SARS-CoV-2 clade G variant virus that carries the combination of Spike D614G and Nucleocapsid RG203KR mutations.
ERROR	duplicate_definition	CIDO:0000367	IAO:0000115	A respirator designed to protect the user from breathing in contaminants in the air, thus preserving the health of their respiratory tract.
ERROR	duplicate_definition	CIDO:0000368	IAO:0000115	A respirator designed to protect the user from breathing in contaminants in the air, thus preserving the health of their respiratory tract.
ERROR	duplicate_definition	CIDO:0000369	IAO:0000115	A respirator designed to protect the user from breathing in contaminants in the air, thus preserving the health of their respiratory tract.
ERROR	duplicate_definition	CIDO:0000370	IAO:0000115	A respirator designed to protect the user from breathing in contaminants in the air, thus preserving the health of their respiratory tract.
ERROR	duplicate_definition	CIDO:0000113	IAO:0000115	A process that modulates host response to SARS-CoV viral infection
ERROR	duplicate_definition	CIDO:0000114	IAO:0000115	A process that modulates host response to SARS-CoV viral infection
ERROR	duplicate_definition	CIDO:0000105	IAO:0000115	A process that interrupts SARS-CoV viral entry to host cell
