Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	https://https://github.com/luis-gonzalez-m/Collembola/tree/master/src/ontology/clao.owl	dc11:description	
ERROR	missing_ontology_license	https://https://github.com/luis-gonzalez-m/Collembola/tree/master/src/ontology/clao.owl	dc:license	
WARN	missing_definition	epithelial coelomosac	IAO:0000115	
WARN	missing_definition	lateral eye	IAO:0000115	
WARN	missing_definition	cornea nipple	IAO:0000115	
WARN	missing_definition	superlingual notch	IAO:0000115	
WARN	missing_definition	rudimentary second antennae	IAO:0000115	
WARN	missing_definition	prothoracic ganglion	IAO:0000115	
WARN	missing_definition	pars intercebralis	IAO:0000115	
WARN	missing_definition	maxillary gland	IAO:0000115	
WARN	missing_definition	lateral endosternite	IAO:0000115	
WARN	missing_definition	epipharingeal rods	IAO:0000115	
WARN	missing_definition	head capsule spine-like apodeme	IAO:0000115	
WARN	missing_definition	hypopharingeal rods	IAO:0000115	
WARN	missing_definition	posterior tentorial apodeme	IAO:0000115	
WARN	missing_definition	spine-like part of the hypopharynx	IAO:0000115	
WARN	missing_definition	tentorial projection	IAO:0000115	
WARN	missing_definition	thickening of the lateral parts of the clypeus	IAO:0000115	
WARN	missing_definition	anterior pseudotentorium	IAO:0000115	
WARN	missing_definition	antennary pseudotentorium	IAO:0000115	
WARN	missing_definition	hypopharynx	IAO:0000115	
WARN	missing_definition	hypopharyngeal fulturae	IAO:0000115	
WARN	missing_definition	external sensillum	IAO:0000115	
WARN	missing_definition	guard sensillum	IAO:0000115	
WARN	missing_definition	lateral sensillum	IAO:0000115	
WARN	missing_definition	sensilla chaetica	IAO:0000115	
WARN	missing_definition	sensilla trichodea	IAO:0000115	
WARN	missing_definition	subapical microsensillum	IAO:0000115	
WARN	missing_definition	subapical organite	IAO:0000115	
WARN	missing_definition	ventral sensillum	IAO:0000115	
WARN	missing_definition	trichodea	IAO:0000115	
WARN	missing_definition	crystalline cone	IAO:0000115	
WARN	missing_definition	dioptric apparatus	IAO:0000115	
WARN	missing_definition	ommochromic pigment	IAO:0000115	
WARN	missing_definition	dorsolongitudinal muscle	IAO:0000115	
WARN	missing_definition	dorsolongitudinal muscle 1	IAO:0000115	
WARN	missing_definition	dorsolongitudinal muscle 2	IAO:0000115	
WARN	missing_definition	dorsal longitudinal muscle	IAO:0000115	
WARN	missing_definition	cardinal flexor muscle of the lacina	IAO:0000115	
WARN	missing_definition	dorsoventral longitudinal muscle	IAO:0000115	
WARN	missing_definition	dorsoventral longitudinal muscle 1	IAO:0000115	
WARN	missing_definition	dorsoventral longitudinal muscle 2	IAO:0000115	
WARN	missing_definition	dorsoventral longitudinal muscle 3	IAO:0000115	
WARN	missing_definition	internalsagital muscle	IAO:0000115	
WARN	missing_definition	internalsagital muscle 3	IAO:0000115	
WARN	missing_definition	internalsagital muscle 4	IAO:0000115	
WARN	missing_definition	dorsoventral muscle	IAO:0000115	
WARN	missing_definition	pharyngeal dilator muscle	IAO:0000115	
WARN	missing_definition	pharyngeal muscle	IAO:0000115	
WARN	missing_definition	pinnate muscle	IAO:0000115	
WARN	missing_definition	posterior dorso-ventral muscle	IAO:0000115	
WARN	missing_definition	posterior suspensory muscle	IAO:0000115	
WARN	missing_definition	protactor muscle	IAO:0000115	
WARN	missing_definition	retractor muscle	IAO:0000115	
WARN	missing_definition	sphincter muscle	IAO:0000115	
WARN	missing_definition	superlingual muscle	IAO:0000115	
WARN	missing_definition	tentorium-ocular muscle	IAO:0000115	
WARN	missing_definition	ventral longitudinal muscle	IAO:0000115	
WARN	missing_definition	ventralongitudinal muscle	IAO:0000115	
WARN	missing_definition	parallel nerve	IAO:0000115	
WARN	missing_definition	posterior nerve of ventral lobe	IAO:0000115	
WARN	missing_definition	protocerebral descendent nerve	IAO:0000115	
WARN	missing_definition	protocerebral recurrent nerve	IAO:0000115	
WARN	missing_definition	tendril	IAO:0000115	
WARN	missing_definition	frontal region	IAO:0000115	
WARN	missing_definition	basal membrane	IAO:0000115	
WARN	missing_definition	extra-acrosomial material	IAO:0000115	
WARN	missing_definition	connecting cell	IAO:0000115	
WARN	missing_definition	aggenital area	IAO:0000115	
WARN	missing_definition	anal area	IAO:0000115	
WARN	missing_definition	antennal base area	IAO:0000115	
WARN	missing_definition	antero-dorsal area	IAO:0000115	
WARN	missing_definition	antero-lateral area	IAO:0000115	
WARN	missing_definition	area A10	IAO:0000115	
WARN	missing_definition	area A11	IAO:0000115	
WARN	missing_definition	area A12	IAO:0000115	
WARN	missing_definition	area A13	IAO:0000115	
WARN	missing_definition	area A14	IAO:0000115	
WARN	missing_definition	buccal area	IAO:0000115	
WARN	missing_definition	circular area	IAO:0000115	
WARN	missing_definition	basolateral area	IAO:0000115	
WARN	missing_definition	basomedian area	IAO:0000115	
WARN	missing_definition	cardo-posterior tentorial membrane	IAO:0000115	
WARN	missing_definition	endoskeletal membrane	IAO:0000115	
WARN	missing_definition	mandibular apodeme	IAO:0000115	
WARN	missing_definition	maxillary apodeme	IAO:0000115	
WARN	missing_definition	dorso-lateral mandibular ridge	IAO:0000115	
WARN	missing_definition	inner thickening of stipes	IAO:0000115	
WARN	missing_definition	mandibular boss	IAO:0000115	
WARN	missing_definition	mandibular suspension	IAO:0000115	
WARN	missing_definition	stipital strengthening ridges	IAO:0000115	
WARN	missing_definition	stipital stud	IAO:0000115	
WARN	missing_definition	dorsal area	IAO:0000115	
