IRI	Label	Issue
http://purl.obolibrary.org/obo/CLO_0000167	has disease	shares label with http://purl.obolibrary.org/obo/RO_0016002
http://purl.obolibrary.org/obo/CLO_0000015	derives from patient having disease	not an RO property
http://purl.obolibrary.org/obo/CLO_0000174	is in cell line repository	not an RO property
http://purl.obolibrary.org/obo/CLO_0000179	is disease model for	not an RO property
http://purl.obolibrary.org/obo/CLO_0037200	transfected to express	not an RO property
http://purl.obolibrary.org/obo/CLO_0037207	derived from organism	not an RO property
http://purl.obolibrary.org/obo/CLO_0037208	derived from anatomic part	not an RO property
http://purl.obolibrary.org/obo/CLO_0037209	derived from cell	not an RO property
http://purl.obolibrary.org/obo/CLO_0037210	derived from cell line	not an RO property
http://purl.obolibrary.org/obo/CLO_0037226	cell line cell derived from	not an RO property
http://purl.obolibrary.org/obo/CLO_0037227	cell line cell derived from anatomical part	not an RO property
http://purl.obolibrary.org/obo/CLO_0037229	cell line cell derived from organism	not an RO property
http://purl.obolibrary.org/obo/CLO_0037310	induced by cell culture reagent	not an RO property
http://purl.obolibrary.org/obo/CLO_0037375	derived from cell with knockout gene	not an RO property
http://purl.obolibrary.org/obo/CLO_0037376	derived from cell with isogenic modification of gene	not an RO property
http://purl.obolibrary.org/obo/CLO_0037377	derived from cell with knockin gene	not an RO property
http://purl.obolibrary.org/obo/CLO_0037378	derived from cell with transgenic modification	not an RO property
