Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	CLYH:0000007	IAO:0000115	Meiotic Prophase I arrest, GV off centre, diameter x
ERROR	duplicate_definition	CLYH:0000008	IAO:0000115	Meiotic Prophase I arrest, GV off centre, diameter x
ERROR	label_whitespace	CLYH:1000043	rdfs:label	planula P3 
ERROR	label_whitespace	CLYH:1000051	rdfs:label	animal cortex 
ERROR	label_whitespace	CLYH:1000070	rdfs:label	aboral territory 
ERROR	label_whitespace	CLYH:1000178	rdfs:label	medusa tentacle endoderm 
WARN	annotation_whitespace	CLYH:0000016	IAO:0000115	mature male germ cell. 
WARN	annotation_whitespace	CLYH:0000018	oboInOwl:hasExactSynonym	 fertilised egg
WARN	annotation_whitespace	CLYH:0000018	oboInOwl:hasExactSynonym	zygote 
WARN	annotation_whitespace	CLYH:0000020	IAO:0000115	Four cell-stage embryo. Second cleaveages unipolar and start at the animal pole (about 80-110 min post fertilization at 18 degree celsius). 
WARN	annotation_whitespace	CLYH:0000030	IAO:0000115	Visible pointed oral pole but no cell ingression, ciliogenesis starting (12-13h post fertilization at 18 degree celsius). 
WARN	annotation_whitespace	CLYH:0000065	IAO:0000115	period of medusa growth between release medusa from gonozoid  until appearance of secondary tentacles. Only  4 tentacle bulbs present 
WARN	annotation_whitespace	CLYH:0000066	IAO:0000115	period of medusa growth when only 8 tentacles are present 
WARN	annotation_whitespace	CLYH:0000067	IAO:0000115	period of medusa growth when only 12 tentacles are present 
WARN	annotation_whitespace	CLYH:0000068	IAO:0000115	period of medusa growth when only 16 tentacles are present. No mature gametes (eg 5mm diameter) 
WARN	annotation_whitespace	CLYH:1000032	IAO:0000115	Blastula stage embryo before epithelisation. 
WARN	annotation_whitespace	CLYH:1000038	IAO:0000115	Gastrula in which blastotocoel is half filled with ingressing cells. 
WARN	missing_definition	CLYH:0000001	IAO:0000115	
WARN	missing_definition	CLYH:0000003	IAO:0000115	
WARN	missing_definition	CLYH:0000005	IAO:0000115	
WARN	missing_definition	CLYH:0000010	IAO:0000115	
WARN	missing_definition	CLYH:0000011	IAO:0000115	
WARN	missing_definition	CLYH:0000012	IAO:0000115	
WARN	missing_definition	CLYH:0000013	IAO:0000115	
WARN	missing_definition	CLYH:0000014	IAO:0000115	
WARN	missing_definition	CLYH:0000017	IAO:0000115	
WARN	missing_definition	CLYH:0000025	IAO:0000115	
WARN	missing_definition	CLYH:0000029	IAO:0000115	
WARN	missing_definition	CLYH:0000034	IAO:0000115	
WARN	missing_definition	CLYH:0000040	IAO:0000115	
WARN	missing_definition	CLYH:0000050	IAO:0000115	
WARN	missing_definition	CLYH:0000059	IAO:0000115	
WARN	missing_definition	CLYH:0000060	IAO:0000115	
WARN	missing_definition	CLYH:0000064	IAO:0000115	
WARN	missing_definition	CLYH:1000001	IAO:0000115	
WARN	missing_definition	CLYH:1000003	IAO:0000115	
WARN	missing_definition	CLYH:1000004	IAO:0000115	
WARN	missing_definition	CLYH:1000005	IAO:0000115	
WARN	missing_definition	CLYH:1000006	IAO:0000115	
WARN	missing_definition	CLYH:1000052	IAO:0000115	
WARN	missing_definition	CLYH:1000053	IAO:0000115	
WARN	missing_definition	CLYH:1000057	IAO:0000115	
WARN	missing_definition	CLYH:1000058	IAO:0000115	
WARN	missing_definition	CLYH:1000061	IAO:0000115	
WARN	missing_definition	CLYH:1000062	IAO:0000115	
WARN	missing_definition	CLYH:1000063	IAO:0000115	
WARN	missing_definition	CLYH:1000064	IAO:0000115	
WARN	missing_definition	CLYH:1000065	IAO:0000115	
WARN	missing_definition	CLYH:1000066	IAO:0000115	
WARN	missing_definition	CLYH:1000067	IAO:0000115	
WARN	missing_definition	CLYH:1000068	IAO:0000115	
WARN	missing_definition	CLYH:1000069	IAO:0000115	
WARN	missing_definition	CLYH:1000070	IAO:0000115	
WARN	missing_definition	CLYH:1000071	IAO:0000115	
WARN	missing_definition	CLYH:1000072	IAO:0000115	
WARN	missing_definition	CLYH:1000073	IAO:0000115	
WARN	missing_definition	CLYH:1000074	IAO:0000115	
WARN	missing_definition	CLYH:1000075	IAO:0000115	
WARN	missing_definition	CLYH:1000077	IAO:0000115	
WARN	missing_definition	CLYH:1000078	IAO:0000115	
WARN	missing_definition	CLYH:1000082	IAO:0000115	
WARN	missing_definition	CLYH:1000089	IAO:0000115	
WARN	missing_definition	CLYH:1000153	IAO:0000115	
WARN	missing_obsolete_label	CLYH:1000002	rdfs:label	organism subdivision
WARN	missing_obsolete_label	CLYH:1000007	rdfs:label	ectoderm
WARN	missing_obsolete_label	CLYH:1000015	rdfs:label	endoderm
INFO	lowercase_definition	CLYH:0000002	IAO:0000115	phase of sexual reproduction in which certain cells of a female or male individual (parent) are transformed into specialized reproductive cells (gametes) that will initiate development of a progeny individual (offspring) upon fertilization.
INFO	lowercase_definition	CLYH:0000009	IAO:0000115	oocyte undergoing meiosis completion from prophase I to G0  of first meiotic cycle
INFO	lowercase_definition	CLYH:0000015	IAO:0000115	matture female germ cell. not yet fertilized. Meiotic divisions complete. Spawned egg with female pronucleus.
INFO	lowercase_definition	CLYH:0000016	IAO:0000115	mature male germ cell. 
INFO	lowercase_definition	CLYH:0000023	IAO:0000115	thirty two cell-stage embryo (about 3h post fertilization at 18 degree celsius).
INFO	lowercase_definition	CLYH:0000024	IAO:0000115	sixty four cell-stage embryo (about 3h post fertilization at 18 degree celsius).
INFO	lowercase_definition	CLYH:0000041	IAO:0000115	torpedo shape planula that stopped swimming
INFO	lowercase_definition	CLYH:0000042	IAO:0000115	irregularly shaped metamorphosing planula attached to substrate, not yet flattened
INFO	lowercase_definition	CLYH:0000043	IAO:0000115	metamorphosing planula attached to the substrate and in shape of a flattened disc
INFO	lowercase_definition	CLYH:0000044	IAO:0000115	metamorphosing planula attached to the substrate and in shape of a flattened disc with sculpted indentations
INFO	lowercase_definition	CLYH:0000045	IAO:0000115	uniform extension emerging from the sculpted disc
INFO	lowercase_definition	CLYH:0000046	IAO:0000115	swollen distal extremity developing into a functional primary polyp head
INFO	lowercase_definition	CLYH:0000047	IAO:0000115	theca of the primary polyp open on the oral side and mouth open
INFO	lowercase_definition	CLYH:0000049	IAO:0000115	colony containing  mature or developing gonozoids , gastrozoids and stolons.
INFO	lowercase_definition	CLYH:0000051	IAO:0000115	uniform extension emerging from the stolon as first stage of gastrozoid development
INFO	lowercase_definition	CLYH:0000052	IAO:0000115	swollen distal extremity developing into a complete gastrozoid head
INFO	lowercase_definition	CLYH:0000053	IAO:0000115	complete and functional gastrozoid with open hydrotheca and mouth
INFO	lowercase_definition	CLYH:0000055	IAO:0000115	growing and developing gonozoid
INFO	lowercase_definition	CLYH:0000056	IAO:0000115	mature gonozoid budding medusae
INFO	lowercase_definition	CLYH:0000057	IAO:0000115	mature gonozoid not containing any medusa bud only central tube and disc-shaped cap
INFO	lowercase_definition	CLYH:0000061	IAO:0000115	medusa bud with visible ectoderm, endoderm and entocodon
INFO	lowercase_definition	CLYH:0000062	IAO:0000115	medusa bud with forming subumbrella cavity
INFO	lowercase_definition	CLYH:0000063	IAO:0000115	medusa bud with with folding umbrella
INFO	lowercase_definition	CLYH:0000065	IAO:0000115	period of medusa growth between release medusa from gonozoid  until appearance of secondary tentacles. Only  4 tentacle bulbs present 
INFO	lowercase_definition	CLYH:0000066	IAO:0000115	period of medusa growth when only 8 tentacles are present 
INFO	lowercase_definition	CLYH:0000067	IAO:0000115	period of medusa growth when only 12 tentacles are present 
INFO	lowercase_definition	CLYH:0000068	IAO:0000115	period of medusa growth when only 16 tentacles are present. No mature gametes (eg 5mm diameter) 
INFO	lowercase_definition	CLYH:0000069	IAO:0000115	period of medusa growth when only 16 tentacles are present. Gonads contain mature gametes. (eg 10mm diameter)
INFO	missing_superclass	CLYH:1000001	rdfs:subClassOf	
