Level	Rule Name	Subject	Property	Value
ERROR	multiple_equivalent_classes	CHEBI:10545	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000010>
ERROR	multiple_equivalent_classes	CHEBI:10545	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000049>
ERROR	multiple_equivalent_classes	organism	owl:equivalentClass	<http://purl.obolibrary.org/obo/NCBITaxon_1>
ERROR	multiple_equivalent_classes	organism	owl:equivalentClass	<http://purl.obolibrary.org/obo/OBI_0100026>
WARN	equivalent_pair	BFO:0000015	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000034>
WARN	equivalent_pair	BFO:0000016	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000111>
WARN	equivalent_pair	BFO:0000017	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000033>
WARN	equivalent_pair	BFO:0000019	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000001>
WARN	equivalent_pair	BFO:0000020	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000502>
WARN	equivalent_pair	BFO:0000023	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000114>
WARN	equivalent_pair	BFO:0000029	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000057>
WARN	equivalent_pair	BFO:0000034	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000112>
WARN	equivalent_pair	BFO:0000040	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000006>
WARN	equivalent_pair	BFO:0000041	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000031>
WARN	equivalent_pair	CARO:0001008	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000021>
WARN	equivalent_pair	CARO:0001010	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000022>
WARN	equivalent_pair	CARO:0010004	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000118>
WARN	equivalent_pair	CHEBI:10545	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000010>
WARN	equivalent_pair	CHEBI:10545	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000049>
WARN	equivalent_pair	CHEBI:16541	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000015>
WARN	equivalent_pair	CHEBI:24636	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000008>
WARN	equivalent_pair	CHEBI:24867	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000042>
WARN	equivalent_pair	CHEBI:30222	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000009>
WARN	equivalent_pair	CHEBI:33250	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000043>
WARN	equivalent_pair	CHEBI:33252	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000012>
WARN	equivalent_pair	CHEBI:36342	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000007>
WARN	equivalent_pair	CL:0000000	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000017>
WARN	equivalent_pair	CL:0000003	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000018>
WARN	equivalent_pair	CL:0001034	owl:equivalentClass	<http://purl.obolibrary.org/obo/COB_0000019>
WARN	equivalent_pair	mass	owl:equivalentClass	<http://purl.obolibrary.org/obo/PATO_0000125>
WARN	equivalent_pair	charge	owl:equivalentClass	<http://purl.obolibrary.org/obo/PATO_0002193>
WARN	equivalent_pair	protein	owl:equivalentClass	<http://purl.obolibrary.org/obo/PR_000000001>
WARN	equivalent_pair	organism	owl:equivalentClass	<http://purl.obolibrary.org/obo/NCBITaxon_1>
WARN	equivalent_pair	organism	owl:equivalentClass	<http://purl.obolibrary.org/obo/OBI_0100026>
WARN	equivalent_pair	organization	owl:equivalentClass	<http://purl.obolibrary.org/obo/OBI_0000245>
WARN	equivalent_pair	processed material entity	owl:equivalentClass	<http://purl.obolibrary.org/obo/OBI_0000047>
WARN	equivalent_pair	completely executed planned process	owl:equivalentClass	<http://purl.obolibrary.org/obo/OBI_0000011>
WARN	equivalent_pair	biological process	owl:equivalentClass	<http://purl.obolibrary.org/obo/GO_0008150>
WARN	equivalent_pair	gene product or complex activity	owl:equivalentClass	<http://purl.obolibrary.org/obo/GO_0003674>
WARN	equivalent_pair	collection of organisms	owl:equivalentClass	<http://purl.obolibrary.org/obo/PCO_0000000>
WARN	equivalent_pair	conclusion based on data	owl:equivalentClass	<http://purl.obolibrary.org/obo/OBI_0001909>
WARN	equivalent_pair	information	owl:equivalentClass	<http://purl.obolibrary.org/obo/IAO_0000030>
WARN	equivalent_pair	disease diagnosis	owl:equivalentClass	<http://purl.obolibrary.org/obo/OGMS_0000073>
