IRI	Label	Issue
http://purl.obolibrary.org/obo/AISM_0000011	lateral_to	not an RO property
http://purl.obolibrary.org/obo/AISM_0000012	medial_to	not an RO property
http://purl.obolibrary.org/obo/AISM_0000078	encircles	not an RO property
http://purl.obolibrary.org/obo/AISM_0000079	encircled by	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000096	anterior to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000097	distal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000098	dorsal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000099	posterior to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000100	proximal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000102	ventral to	not an RO property
http://purl.obolibrary.org/obo/pato#decreased_in_magnitude_relative_to	obsolete decreased_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/pato#increased_in_magnitude_relative_to	obsolete increased_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#anteriorly_connected_to	anteriorly connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#posteriorly_connected_to	posteriorly connected to	not an RO property
