Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	COLAO:0000117	IAO:0000115	The posterior branch of the beetle wing vein that is part of the radial posterior (RP) vein of the beetle wing.@en
ERROR	duplicate_definition	COLAO:0000119	IAO:0000115	The posterior branch of the beetle wing vein that is part of the radial posterior (RP) vein of the beetle wing.@en
WARN	duplicate_label_synonym	COLAO:0000085	oboInOwl:hasExactSynonym	cupule@en
WARN	duplicate_label_synonym	COLAO:0000086	oboInOwl:hasExactSynonym	mala@en
WARN	missing_definition	COLAO:0000004	IAO:0000115	
WARN	missing_definition	COLAO:0000081	IAO:0000115	
WARN	missing_definition	COLAO:0000084	IAO:0000115	
WARN	missing_definition	COLAO:0000085	IAO:0000115	
WARN	missing_definition	COLAO:0000104	IAO:0000115	
WARN	missing_definition	COLAO:0000106	IAO:0000115	
WARN	missing_definition	COLAO:0000142	IAO:0000115	
