Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/cro.owl	dc:title	
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/cro.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/cro.owl	dc:license	
WARN	invalid_xref	contributor role	oboInOwl:hasDbXref	9dbb95f4-55ed-4e43-9301-a9f0e3e17afe
WARN	missing_obsolete_label	educational training role	rdfs:label	educational training role
WARN	missing_obsolete_label	systems administration role	rdfs:label	systems administration role
WARN	missing_obsolete_label	supervisory role	rdfs:label	supervisory role
WARN	missing_obsolete_label	research conceptualization role	rdfs:label	research conceptualization role
WARN	missing_obsolete_label	original draft preparation role	rdfs:label	original draft preparation role
WARN	missing_definition	relationship	IAO:0000115	
WARN	missing_definition	contributorship	IAO:0000115	
WARN	missing_definition	community research partner	IAO:0000115	
