Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/cteno.owl	dc11:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/cteno.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/cteno.owl	dc11:title	
WARN	multiple_equivalent_classes	macromere, 8 cell stage	owl:equivalentClass	2f9060cf-dec3-4b20-aacc-a4523e869e98genid196
WARN	multiple_equivalent_classes	macromere, 8 cell stage	owl:equivalentClass	2f9060cf-dec3-4b20-aacc-a4523e869e98genid200
WARN	multiple_equivalent_classes	macromere, 16 cell stage	owl:equivalentClass	2f9060cf-dec3-4b20-aacc-a4523e869e98genid216
WARN	multiple_equivalent_classes	macromere, 16 cell stage	owl:equivalentClass	2f9060cf-dec3-4b20-aacc-a4523e869e98genid220
WARN	multiple_equivalent_classes	micromere, 16 cell stage	owl:equivalentClass	2f9060cf-dec3-4b20-aacc-a4523e869e98genid261
WARN	multiple_equivalent_classes	micromere, 16 cell stage	owl:equivalentClass	2f9060cf-dec3-4b20-aacc-a4523e869e98genid265
WARN	missing_definition	outer epidermis	IAO:0000115	
WARN	missing_definition	gastrodermis	IAO:0000115	
WARN	missing_definition	comb plate cilium	IAO:0000115	
WARN	missing_definition	sensory cell cilium	IAO:0000115	
WARN	missing_definition	tentacle sheath cilium	IAO:0000115	
WARN	missing_definition	polar field cilium	IAO:0000115	
WARN	missing_definition	auricular cilium	IAO:0000115	
WARN	missing_definition	pharyngeal cilium	IAO:0000115	
WARN	missing_definition	good groove cilium	IAO:0000115	
WARN	missing_definition	balancer cilium	IAO:0000115	
WARN	missing_definition	dome cilium	IAO:0000115	
WARN	missing_definition	aboral groove cilium	IAO:0000115	
WARN	missing_definition	extracellular matrix of mesoglea	IAO:0000115	
WARN	missing_definition	polster cell	IAO:0000115	
WARN	missing_definition	apical sense organ	IAO:0000115	
WARN	missing_definition	tentacle	IAO:0000115	
WARN	missing_definition	adult ctenophore	IAO:0000115	
WARN	missing_definition	cydippid stage	IAO:0000115	
WARN	missing_definition	ctenophore adult stage	IAO:0000115	
WARN	missing_definition	nurse cell	IAO:0000115	
WARN	missing_definition	ectoplasm	IAO:0000115	
WARN	missing_definition	endoplasm	IAO:0000115	
WARN	missing_definition	subcortical plasm	IAO:0000115	
WARN	missing_definition	periodic acid Schiff positive yolk particles	IAO:0000115	
WARN	missing_definition	gonadopore	IAO:0000115	
WARN	missing_definition	anal pore	IAO:0000115	
WARN	missing_definition	ctenophore anal canal	IAO:0000115	
WARN	missing_definition	epitheliomuscular cell	IAO:0000115	
WARN	missing_definition	giant smooth muscle	IAO:0000115	
WARN	missing_definition	mesogleal muscle	IAO:0000115	
WARN	missing_definition	longitudinal mesogleal muscle	IAO:0000115	
WARN	missing_definition	circumferential mesogleal muscle	IAO:0000115	
WARN	missing_definition	radial mesogleal muscle	IAO:0000115	
WARN	missing_definition	tentacular muscle	IAO:0000115	
WARN	missing_definition	tentilla	IAO:0000115	
WARN	missing_definition	striated muscle of tentilla	IAO:0000115	
WARN	missing_definition	mesogleal nerve fiber	IAO:0000115	
WARN	missing_definition	subepidermal nerve net	IAO:0000115	
WARN	missing_definition	gastrodermal nerve	IAO:0000115	
WARN	missing_definition	mesoglea of tentacle	IAO:0000115	
WARN	missing_definition	tastborsten cell	IAO:0000115	
WARN	missing_definition	taststiften cell	IAO:0000115	
WARN	missing_definition	nerve network cell	IAO:0000115	
WARN	missing_definition	nerve fiber of mesoglea of tentacle	IAO:0000115	
WARN	missing_definition	oral pole	IAO:0000115	
WARN	missing_definition	apical organ floor	IAO:0000115	
WARN	missing_definition	balancer cell	IAO:0000115	
WARN	missing_definition	apical organ statolith	IAO:0000115	
WARN	missing_definition	tentacular nerve	IAO:0000115	
WARN	missing_definition	epithelial papilla	IAO:0000115	
WARN	missing_definition	photoprotein	IAO:0000115	
WARN	missing_definition	ctenophore blastomere	IAO:0000115	
WARN	missing_definition	E macromere, 8 cell stage	IAO:0000115	
WARN	missing_definition	M blastomere	IAO:0000115	
WARN	missing_definition	micromere	IAO:0000115	
WARN	missing_definition	2M macromere	IAO:0000115	
WARN	missing_definition	3E macromere	IAO:0000115	
WARN	missing_definition	circumpharyngeal muscle cell	IAO:0000115	
WARN	missing_definition	EM macromere, 4 cell stage	IAO:0000115	
WARN	missing_definition	EM-slash blastomere	IAO:0000115	
WARN	missing_definition	EM-backslash blastomere	IAO:0000115	
WARN	missing_definition	M-slash blastomere	IAO:0000115	
WARN	missing_definition	M-blackslash blastomere	IAO:0000115	
WARN	missing_definition	macromere	IAO:0000115	
WARN	missing_definition	1M macromere, 16 cell stage	IAO:0000115	
WARN	missing_definition	2E macromere, 32 cell stage	IAO:0000115	
WARN	missing_definition	3M macromere	IAO:0000115	
WARN	missing_definition	M macromere, 8 cell stage	IAO:0000115	
WARN	missing_definition	macromere, 8 cell stage	IAO:0000115	
WARN	missing_definition	M-backslash macromere	IAO:0000115	
WARN	missing_definition	M-slash macromere	IAO:0000115	
WARN	missing_definition	macromere, 16 cell stage	IAO:0000115	
WARN	missing_definition	1E macromere, 16 cell stage	IAO:0000115	
WARN	missing_definition	macromere, 32 cell stage and above	IAO:0000115	
WARN	missing_definition	macromere, 60 cell stage	IAO:0000115	
WARN	missing_definition	1M-backslash macromere, 16 cell stage	IAO:0000115	
WARN	missing_definition	1M-slash macromere, 16 cell stage	IAO:0000115	
WARN	missing_definition	2M-slash macromere	IAO:0000115	
WARN	missing_definition	2M-backslash macromere	IAO:0000115	
WARN	missing_definition	3M-slash macromere, 60 cell stage	IAO:0000115	
WARN	missing_definition	3M-backslash macromere, 30 cell stage	IAO:0000115	
WARN	missing_definition	micromere, 16 cell stage	IAO:0000115	
WARN	missing_definition	micromere, 32 cell stage	IAO:0000115	
WARN	missing_definition	micromere, 60 cell stage	IAO:0000115	
WARN	missing_definition	e1 micromere	IAO:0000115	
WARN	missing_definition	m1 micromere	IAO:0000115	
WARN	missing_definition	m2 micromere	IAO:0000115	
WARN	missing_definition	m11 micromere	IAO:0000115	
WARN	missing_definition	m12 micromere	IAO:0000115	
WARN	missing_definition	e2 micromere	IAO:0000115	
WARN	missing_definition	e11 micromere	IAO:0000115	
WARN	missing_definition	e12 micromere	IAO:0000115	
WARN	missing_definition	m21 micromere	IAO:0000115	
WARN	missing_definition	m22 micromere	IAO:0000115	
WARN	missing_definition	m121 micromere	IAO:0000115	
WARN	missing_definition	m122 micromere	IAO:0000115	
WARN	missing_definition	e3 micromere	IAO:0000115	
WARN	missing_definition	e22 micromere	IAO:0000115	
WARN	missing_definition	e21 micromere	IAO:0000115	
WARN	missing_definition	m111 micromere	IAO:0000115	
WARN	missing_definition	m112 micromere	IAO:0000115	
WARN	missing_definition	ctenophore 16 cell stage	IAO:0000115	
WARN	missing_definition	ctenophore 32 cell stage	IAO:0000115	
WARN	missing_definition	ctenophore 60 cell stage	IAO:0000115	
WARN	missing_definition	micromere, formed during gastulation	IAO:0000115	
WARN	missing_definition	tentacle epithelium	IAO:0000115	
WARN	missing_definition	tentacle sheath	IAO:0000115	
WARN	missing_definition	tentacle sheath cell	IAO:0000115	
WARN	missing_definition	longitudinal mesogleal muscle cell	IAO:0000115	
WARN	missing_definition	radial mesogleal muscle cell	IAO:0000115	
WARN	missing_definition	tentacle muscle cell	IAO:0000115	
WARN	missing_definition	longitudinal pharyngeal muscle cell	IAO:0000115	
WARN	missing_definition	trans-tentacular muscle cell	IAO:0000115	
WARN	missing_definition	apical organ ctene row muscle	IAO:0000115	
WARN	missing_definition	E-lineage cell	IAO:0000115	
WARN	missing_definition	M-lineage cell	IAO:0000115	
WARN	missing_definition	lithocyte progenitor	IAO:0000115	
WARN	missing_definition	adesophageal plane	IAO:0000115	
WARN	missing_definition	tentacular axis	IAO:0000115	
WARN	missing_definition	apical organ statocyst	IAO:0000115	
WARN	missing_definition	tentacular plane	IAO:0000115	
WARN	missing_definition	slash quadrant	IAO:0000115	
WARN	missing_definition	backslash quadrant	IAO:0000115	
WARN	missing_definition	tentacle bulb	IAO:0000115	
WARN	missing_definition	polar field cell	IAO:0000115	
WARN	missing_definition	esophague-tentacle muscle cell	IAO:0000115	
WARN	missing_definition	anal canal cell	IAO:0000115	
WARN	missing_definition	tentacle-apical organ muscle cell	IAO:0000115	
WARN	missing_definition	oral side of organism	IAO:0000115	
WARN	missing_definition	aboral part of organism	IAO:0000115	
WARN	missing_definition	tentacle apparatus	IAO:0000115	
WARN	missing_definition	endodermal canal	IAO:0000115	
WARN	missing_definition	mixed E and M lineage structure	IAO:0000115	
WARN	missing_definition	pharyngeal muscle	IAO:0000115	
WARN	missing_definition	ctenophore blastopore	IAO:0000115	
INFO	lowercase_definition	polar field	IAO:0000115	an ectodermal structure emanating from the apical organ along the esophageal axis.
