Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	CTO:0000001	IAO:0000115	An identifier(s) (ID), if any, other than the organization's Unique Protocol Identification Number or the NCT number that is assigned to the clinical study. This includes any unique clinical study identifiers assigned by other publicly available clinical trial registries. If the clinical study is funded in whole or in part by a U.S. Federal Government agency, the complete grant or contract number must be submitted as a Secondary ID.
ERROR	multiple_definitions	CTO:0000001	IAO:0000115	Other identifiers besides the Trial Identifying Number allocated by the Primary Registry, if any.
ERROR	multiple_definitions	CTO:0000033	IAO:0000115	A type of eligibility criteria that indicates whether people who do not have the condition/disease being studied can participate in that clinical study.
ERROR	multiple_definitions	CTO:0000033	IAO:0000115	Indication that participants who do not have a disease or condition, or related conditions or symptoms, under study in the clinical study are permitted to participate in the clinical study.
ERROR	multiple_definitions	CTO:0000041	IAO:0000115	ClinicalTrials.gov is a registry of clinical trials.
ERROR	multiple_definitions	CTO:0000041	IAO:0000115	The Korean clinical trials registry (Clinical Research Information Service (CRiS), Republic of Korea) is a primary clinical trial registry recognised by WHO and ICMJE that enables the registration of clinical trials.
ERROR	multiple_definitions	CTO:0000207	IAO:0000115	A clinical trial that is at Early Phase 1 or Phase 0
ERROR	multiple_definitions	CTO:0000207	IAO:0000115	A clinical trial that is at an Early Phase i or Phase 0, which is designed to use an investigational agent that is available only in very limited quantities and which has never previously given to humans or for which there is extremely limited human experience. Phase 0 clinical trials are intended to enable researchers to understand the path of the drug in the body and its efficacy. Adverse event reporting in Phase 0 trials is expedited. [def-source: NCI]
ERROR	multiple_definitions	CTO:0000207	IAO:0000115	"Exploratory trials, involving very limited human exposure, with no therapeutic or diagnostic intent (e.g., screening studies, microdose studies). (Formerly listed as \""Phase 0\"")"
WARN	duplicate_exact_synonym	CTO:0000031	oboInOwl:hasExactSynonym	Phase I/II
WARN	duplicate_exact_synonym	CTO:0000046	oboInOwl:hasExactSynonym	Phase I/II
WARN	equivalent_class_axiom_no_genus	CTO:0000207	OPMI:0000366	CTO:0000202
WARN	missing_definition	CTO:0000026	IAO:0000115	
WARN	missing_definition	CTO:0000034	IAO:0000115	
WARN	missing_definition	CTO:0000038	IAO:0000115	
WARN	missing_definition	CTO:0000099	IAO:0000115	
WARN	missing_definition	CTO:0000100	IAO:0000115	
WARN	missing_definition	CTO:0000101	IAO:0000115	
WARN	missing_definition	CTO:0000102	IAO:0000115	
WARN	missing_definition	CTO:0000103	IAO:0000115	
WARN	missing_definition	CTO:0000104	IAO:0000115	
WARN	missing_definition	CTO:0000105	IAO:0000115	
WARN	missing_definition	CTO:0000106	IAO:0000115	
WARN	missing_definition	CTO:0000107	IAO:0000115	
WARN	missing_definition	CTO:0000108	IAO:0000115	
WARN	missing_definition	CTO:0000111	IAO:0000115	
WARN	missing_definition	CTO:0000117	IAO:0000115	
WARN	missing_definition	CTO:0000118	IAO:0000115	
WARN	missing_definition	CTO:0000119	IAO:0000115	
WARN	missing_definition	CTO:0000120	IAO:0000115	
WARN	missing_definition	CTO:0000121	IAO:0000115	
WARN	missing_definition	CTO:0000122	IAO:0000115	
WARN	missing_definition	CTO:0000123	IAO:0000115	
WARN	missing_definition	CTO:0000124	IAO:0000115	
WARN	missing_definition	CTO:0000125	IAO:0000115	
WARN	missing_definition	CTO:0000126	IAO:0000115	
WARN	missing_definition	CTO:0000127	IAO:0000115	
WARN	missing_definition	CTO:0000128	IAO:0000115	
WARN	missing_definition	CTO:0000129	IAO:0000115	
WARN	missing_definition	CTO:0000130	IAO:0000115	
WARN	missing_definition	CTO:0000131	IAO:0000115	
WARN	missing_definition	CTO:0000208	IAO:0000115	
WARN	missing_definition	CTO:0000209	IAO:0000115	
WARN	missing_definition	CTO:0000210	IAO:0000115	
WARN	equivalent_pair	CTO:0000105	owl:equivalentClass	NCIT:C98772
WARN	equivalent_pair	CTO:0000106	owl:equivalentClass	NCIT:C98781
INFO	lowercase_definition	CTO:0000032	IAO:0000115	data item ....
INFO	lowercase_definition	CTO:0000110	IAO:0000115	a sponsor role that ties to a clinical trial.@en
INFO	lowercase_definition	CTO:0000112	IAO:0000115	a study design in which neither the subjects nor the investigators are permitted to know which subject is receiving which treatment
INFO	lowercase_definition	CTO:0000113	IAO:0000115	a study design in which only the  investigators are permitted to know which subject is receiving which treatment
INFO	lowercase_definition	CTO:0000114	IAO:0000115	a study design in which  the subjects and  the investigators are permitted to know which subject is receiving which treatment
INFO	lowercase_definition	CTO:0000116	IAO:0000115	study design with a single group (arm)
INFO	lowercase_definition	CTO:0000220	IAO:0000115	a clinical trial is a medical interventional study where participants are assigned prospectively to an intervention or interventions according to a protocol to evaluate the safety and efficacy of the intervention(s) on biomedical or other health related outcomes. The Interventions include but are not restricted to drugs, cells and other biological products, surgical procedures, radiologic procedures, devices, behavioral treatments, process-of-care changes, preventive care, etc.
