Level	Rule Name	Subject	Property	Value
ERROR	label_whitespace	http://purl.obolibrary.org/obo/dideo.owl	rdfs:label	Drug-drug Interaction and Drug-drug Interaction Evidence Ontology @en
ERROR	multiple_labels	http://purl.obolibrary.org/obo/dideo.owl	rdfs:label	DIDEO@en
ERROR	multiple_labels	http://purl.obolibrary.org/obo/dideo.owl	rdfs:label	Drug-drug Interaction and Drug-drug Interaction Evidence Ontology @en
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/dideo.owl	dc:description	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/dideo.owl	dc:title	
ERROR	multiple_definitions	evidence information from pharmacokinetic trial	IAO:0000115	@en
ERROR	multiple_definitions	evidence information from pharmacokinetic trial	IAO:0000115	An evidence information content entity that is about a clinical drug trial that focusses on pharmacokinetics.@en
ERROR	duplicate_label	diclofenac 4'-hydroxylation	rdfs:label	diclofenac 4'-hydroxylation@en
ERROR	duplicate_label	diclofenac 4'-hydroxylation	rdfs:label	diclofenac 4'-hydroxylation@en
ERROR	duplicate_definition	evidence information from CYP450 recombinant drug metabolism identification experiment using chemical inhibitors	IAO:0000115	An evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has CYP 450 as a participant, as a specified input, and that has human tissue specimen as a specified input, and that has chemical inhibitors as a specified input.@en
ERROR	duplicate_definition	evidence information from CYP450 human microsome drug metabolism identification experiment using chemical inhibitors	IAO:0000115	An evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has CYP 450 as a participant, as a specified input, and that has human tissue specimen as a specified input, and that has chemical inhibitors as a specified input.@en
ERROR	duplicate_definition	evidence information from CYP450 recombinant drug metabolism identification experiment using antibody inhibitors	IAO:0000115	An evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has CYP 450 as a participant, as a specified input, and that has human tissue specimen as a specified input, and that has antibody inhibitors as a specified input.@en
ERROR	duplicate_definition	evidence information from CYP450 human microsome drug metabolism identification experiment using antibody inhibitors	IAO:0000115	An evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has CYP 450 as a participant, as a specified input, and that has human tissue specimen as a specified input, and that has antibody inhibitors as a specified input.@en
ERROR	duplicate_definition	diclofenac 4'-hydroxylation	IAO:0000115	a hydroxylation that has diclofenac as input and 4'-hydroxydiclofenac as output@en
ERROR	duplicate_definition	diclofenac 4'-hydroxylation	IAO:0000115	a hydroxylation that has diclofenac as input and 4'-hydroxydiclofenac as output@en
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/dideo.owl	dc:license	
WARN	missing_definition	is organismally immediately preceded by	IAO:0000115	
WARN	missing_definition	inhibits-catalyzes metabolism of	IAO:0000115	
WARN	missing_definition	catalyzes a Phase I or Phase II enzymatic reaction involving	IAO:0000115	
WARN	missing_definition	ratio value specification	IAO:0000115	
WARN	missing_obsolete_label	realizes substrate role	rdfs:label	realizes substrate role@en
WARN	missing_obsolete_label	involves substrate	rdfs:label	involves substrate@en
WARN	equivalent_class_axiom_no_genus	bioavailability measurement datum	OBI:0000312	drug bioavailability assay
WARN	equivalent_class_axiom_no_genus	first pass metabolism measurement datum	OBI:0000312	drug first pass metabolism assay
WARN	equivalent_class_axiom_no_genus	absorbability measurement datum	OBI:0000312	drug absorbability assay
WARN	equivalent_class_axiom_no_genus	drug maximum concentration measurement datum	OBI:0000312	drug maximum concentration assay
WARN	equivalent_class_axiom_no_genus	pharmacokinetic area under curve information	IAO:0000136	pharmacokinetic area under curve
