IRI	Label	Issue
http://purl.obolibrary.org/obo/doid#complicated_by	complicated_by	not an RO property
http://purl.obolibrary.org/obo/doid#composed_of	composed_of	not an RO property
http://purl.obolibrary.org/obo/doid#derives_from	derives_from	not an RO property
http://purl.obolibrary.org/obo/doid#has_symptom	has_symptom	not an RO property
http://purl.obolibrary.org/obo/doid#inheres_in	inheres_in	not an RO property
http://purl.obolibrary.org/obo/doid#is_a	is_a	not an RO property
http://purl.obolibrary.org/obo/doid#occurs_with	occurs_with	not an RO property
http://purl.obolibrary.org/obo/doid#realized_by	realized_by	not an RO property
http://purl.obolibrary.org/obo/doid#realized_by_supression_with	realized_by_supression_with	not an RO property
http://purl.obolibrary.org/obo/doid#results_in	results_in	not an RO property
http://purl.obolibrary.org/obo/doid#results_in_formation_of	results_in_formation_of	not an RO property
