Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	N,N'-diphenylthiourea allergic contact dermatitis	has_exact_synonym	neoprene allergy@en
WARN	duplicate_exact_synonym	N,N'-diethylthiourea allergic contact dermatitis	has_exact_synonym	neoprene allergy@en
WARN	missing_definition	conjunctival degeneration	definition	
WARN	missing_definition	thymus lymphoma	definition	
WARN	missing_definition	ileal neoplasm	definition	
WARN	missing_definition	lacrimal passage granuloma	definition	
WARN	missing_definition	optic papillitis	definition	
WARN	missing_definition	neuroretinitis	definition	
WARN	missing_definition	malignant hypertensive renal disease	definition	
WARN	missing_definition	external auditory meatus lipoma	definition	
WARN	missing_definition	cholelithiasis	definition	
WARN	missing_definition	aortic atherosclerosis	definition	
WARN	missing_definition	histoplasmosis pericarditis	definition	
WARN	missing_definition	Brown's tendon sheath syndrome	definition	
WARN	missing_definition	exhibitionism	definition	
WARN	missing_definition	strawberry gallbladder	definition	
WARN	missing_definition	discharging ear	definition	
WARN	missing_definition	subendocardial infarction acute myocardial infarction	definition	
WARN	missing_definition	left bundle branch hemiblock	definition	
WARN	missing_definition	prostate malignant phyllodes tumor	definition	
WARN	missing_definition	familial periodic paralysis	definition	
WARN	missing_definition	prostate lymphoma	definition	
WARN	missing_definition	monocular esotropia	definition	
WARN	missing_definition	Raynaud disease	definition	
WARN	missing_definition	parotid disease	definition	
WARN	missing_definition	sialadenitis	definition	
WARN	missing_definition	mixed mineral dust pneumoconiosis	definition	
WARN	missing_definition	baritosis	definition	
WARN	missing_definition	byssinosis	definition	
WARN	missing_definition	anthracosilicosis	definition	
WARN	missing_definition	anthracosis	definition	
WARN	missing_definition	siderosis	definition	
WARN	missing_definition	pneumoconiosis due to talc	definition	
WARN	missing_definition	slate pneumoconiosis	definition	
WARN	missing_definition	kaolin pneumoconiosis	definition	
WARN	missing_definition	chronic meningitis	definition	
WARN	missing_definition	blepharophimosis	definition	
WARN	missing_definition	eosinophilic meningitis	definition	
WARN	missing_definition	epididymis cancer	definition	
WARN	missing_definition	suppression amblyopia	definition	
WARN	missing_definition	ametropic amblyopia	definition	
WARN	missing_definition	disuse amblyopia	definition	
WARN	missing_definition	amyotrophic neuralgia	definition	
WARN	missing_definition	prolymphocytic leukemia	definition	
WARN	missing_definition	secondary hypertrophic osteoarthropathy	definition	
WARN	missing_definition	seminal vesicle chronic gonorrhea	definition	
WARN	missing_definition	gonococcal seminal vesiculitis	definition	
WARN	missing_definition	acute pericementitis	definition	
WARN	missing_definition	stable condition keratoconus	definition	
WARN	missing_definition	hypopyon ulcer	definition	
WARN	missing_definition	hypopyon	definition	
WARN	missing_definition	dentin caries	definition	
WARN	missing_definition	patellar tendinitis	definition	
WARN	missing_definition	diaphragmatic eventration	definition	
WARN	missing_definition	esophageal atresia	definition	
WARN	missing_definition	intestinal atresia	definition	
WARN	missing_definition	imperforate anus	definition	
WARN	missing_definition	adrenal cortical hypofunction	definition	
WARN	missing_definition	orbital granuloma	definition	
WARN	missing_definition	malignant gastric granular cell tumor	definition	
WARN	missing_definition	gastric lymphoma	definition	
WARN	missing_definition	microinvasive gastric cancer	definition	
WARN	missing_definition	pylorus cancer	definition	
WARN	missing_definition	pyloric antrum cancer	definition	
WARN	missing_definition	cardia cancer	definition	
WARN	missing_definition	calcium metabolism disease	definition	
WARN	missing_definition	Refsum disease	definition	
WARN	missing_definition	Krabbe disease	definition	
WARN	missing_definition	idiopathic progressive polyneuropathy	definition	
WARN	missing_definition	glucose intolerance	definition	
WARN	missing_definition	tropical sprue	definition	
WARN	missing_definition	pancreatic steatorrhea	definition	
WARN	missing_definition	protein-losing enteropathy	definition	
WARN	missing_definition	primary optic atrophy	definition	
WARN	missing_definition	interstitial nephritis	definition	
WARN	missing_definition	partial optic atrophy	definition	
WARN	missing_definition	acute inferoposterior infarction	definition	
WARN	missing_definition	acute inferolateral myocardial infarction	definition	
WARN	missing_definition	acute anterolateral myocardial infarction	definition	
WARN	missing_definition	lipoma of colon	definition	
WARN	missing_definition	colon leiomyoma	definition	
WARN	missing_definition	colonic lymphangioma	definition	
WARN	missing_definition	residual stage of open angle glaucoma	definition	
WARN	missing_definition	mediastinum ganglioneuroblastoma	definition	
WARN	missing_definition	chronic endophthalmitis	definition	
WARN	missing_definition	toxic diffuse goiter	definition	
WARN	missing_definition	renal hypertension	definition	
WARN	missing_definition	cerebral lipidosis	definition	
WARN	missing_definition	chronic pyelonephritis	definition	
WARN	missing_definition	portal hypertension	definition	
WARN	missing_definition	thrombotic thrombocytopenic purpura	definition	
WARN	missing_definition	fiedler's myocarditis	definition	
WARN	missing_definition	mesenteric lymphadenitis	definition	
WARN	missing_definition	methemoglobinemia	definition	
WARN	missing_definition	acute gonococcal epididymo-orchitis	definition	
WARN	missing_definition	gastric ulcer	definition	
