Level	Rule Name	Subject	Property	Value
WARN	duplicate_label_synonym	FBcv:0000347	oboInOwl:hasExactSynonym	phenotypic class
WARN	missing_definition	FBcv:0000347	IAO:0000115	
WARN	missing_definition	FBcv:0006003	IAO:0000115	
WARN	missing_definition	FBcv:0006007	IAO:0000115	
WARN	missing_definition	FBcv:0008000	IAO:0000115	
WARN	missing_definition	obo:fbcv#BRAIN_NAME_ABV	IAO:0000115	
WARN	missing_definition	obo:fbcv#BRAND_NAME	IAO:0000115	
WARN	missing_definition	obo:fbcv#FORMULA	IAO:0000115	
WARN	missing_definition	obo:fbcv#INN	IAO:0000115	
WARN	missing_definition	obo:fbcv#IUPAC_NAME	IAO:0000115	
WARN	missing_definition	obo:fbcv#InChI	IAO:0000115	
WARN	missing_definition	obo:fbcv#InChIKey	IAO:0000115	
WARN	missing_definition	obo:fbcv#SMILES	IAO:0000115	
WARN	missing_definition	obo:fbcv#systematic_synonym	IAO:0000115	
