Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	DRON:00997976	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid1762423
ERROR	deprecated_class_reference	DRON:00997976	rdfs:subClassOf	DRON:00000027
ERROR	deprecated_class_reference	DRON:00999808	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid1764949
ERROR	deprecated_class_reference	DRON:00999808	rdfs:subClassOf	DRON:00000027
ERROR	deprecated_class_reference	DRON:00999809	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid1764950
ERROR	deprecated_class_reference	DRON:00999809	rdfs:subClassOf	DRON:00000027
ERROR	deprecated_class_reference	DRON:00999810	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid1764951
ERROR	deprecated_class_reference	DRON:00999810	rdfs:subClassOf	DRON:00000027
ERROR	deprecated_class_reference	DRON:00999811	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid1764952
ERROR	deprecated_class_reference	DRON:00999811	rdfs:subClassOf	DRON:00000027
ERROR	deprecated_class_reference	DRON:00999812	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid1764953
ERROR	deprecated_class_reference	DRON:00999812	rdfs:subClassOf	DRON:00000027
ERROR	deprecated_class_reference	DRON:00999813	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid1764954
ERROR	deprecated_class_reference	DRON:00999813	rdfs:subClassOf	DRON:00000027
ERROR	deprecated_class_reference	DRON:01062901	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid2007696
ERROR	deprecated_class_reference	DRON:01062901	rdfs:subClassOf	DRON:00000027
ERROR	deprecated_class_reference	DRON:01062902	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid2007697
ERROR	deprecated_class_reference	DRON:01062902	rdfs:subClassOf	DRON:00000027
ERROR	deprecated_class_reference	DRON:01064231	rdfs:subClassOf	e9eb64b6-77aa-4640-82fc-0d828f331938genid2009878
ERROR	deprecated_class_reference	DRON:01064231	rdfs:subClassOf	DRON:00000027
ERROR	duplicate_label	DRON:00073058	rdfs:label	tioconazole 0.065 MG/MG Vaginal Ointment [Vagistat-1]
ERROR	duplicate_label	DRON:01004777	rdfs:label	tioconazole 0.065 MG/MG Vaginal Ointment [Vagistat-1]
ERROR	duplicate_label	DRON:00751984	rdfs:label	thyrotropin alfa Injection
