Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	organogenesis period	IAO:0000115	To be written
ERROR	duplicate_definition	late feeding larva period	IAO:0000115	To be written
WARN	duplicate_exact_synonym	mature spermatozoid stage	oboInOwl:hasExactSynonym	sperm
WARN	duplicate_exact_synonym	spermatozoid	oboInOwl:hasExactSynonym	sperm
WARN	duplicate_exact_synonym	small micromere	oboInOwl:hasExactSynonym	SM
WARN	duplicate_exact_synonym	embryonic skeletogenic mesenchyme	oboInOwl:hasExactSynonym	SM
WARN	duplicate_exact_synonym	right preoral arm	oboInOwl:hasExactSynonym	PR:
WARN	duplicate_exact_synonym	left preoral arm	oboInOwl:hasExactSynonym	PR:
WARN	duplicate_exact_synonym	right postoral arm	oboInOwl:hasExactSynonym	PO:
WARN	duplicate_exact_synonym	left postoral arm	oboInOwl:hasExactSynonym	PO:
WARN	duplicate_exact_synonym	right posterodorsal arm	oboInOwl:hasExactSynonym	PD
WARN	duplicate_exact_synonym	left posterodorsal arm	oboInOwl:hasExactSynonym	PD
WARN	duplicate_exact_synonym	right anterolateral arm	oboInOwl:hasExactSynonym	AL
WARN	duplicate_exact_synonym	left anterolateral arm	oboInOwl:hasExactSynonym	AL
WARN	duplicate_exact_synonym	mature spermatozoid stage	oboInOwl:hasExactSynonym	 spermatozoa
WARN	duplicate_exact_synonym	spermatozoid	oboInOwl:hasExactSynonym	 spermatozoa
WARN	duplicate_exact_synonym	right preoral arm	oboInOwl:hasExactSynonym	 PRO
WARN	duplicate_exact_synonym	left preoral arm	oboInOwl:hasExactSynonym	 PRO
WARN	duplicate_exact_synonym	right anterolateral arm	oboInOwl:hasExactSynonym	 ALA
WARN	duplicate_exact_synonym	left anterolateral arm	oboInOwl:hasExactSynonym	 ALA
WARN	missing_definition	root node	IAO:0000115	
WARN	missing_definition	life cycle period	IAO:0000115	
WARN	missing_definition	larval development	IAO:0000115	
WARN	missing_definition	anatomical space	IAO:0000115	
WARN	missing_definition	larva	IAO:0000115	
WARN	missing_definition	juvenile	IAO:0000115	
WARN	missing_definition	adult	IAO:0000115	
WARN	missing_definition	juvenile digestive system	IAO:0000115	
WARN	missing_definition	immune system	IAO:0000115	
WARN	missing_definition	embryonic immune system	IAO:0000115	
WARN	missing_definition	larval immune system	IAO:0000115	
WARN	missing_definition	juvenile immune system	IAO:0000115	
WARN	missing_definition	adult immune system	IAO:0000115	
WARN	missing_definition	nervous system	IAO:0000115	
WARN	missing_definition	juvenile nervous system	IAO:0000115	
WARN	missing_definition	adult nervous system	IAO:0000115	
WARN	missing_definition	muscular system	IAO:0000115	
WARN	missing_definition	larval muscular system	IAO:0000115	
WARN	missing_definition	juvenile muscular system	IAO:0000115	
WARN	missing_definition	adult muscular system	IAO:0000115	
WARN	missing_definition	embryonic endoskeleton	IAO:0000115	
WARN	missing_definition	larval endoskeleton	IAO:0000115	
WARN	missing_definition	rudiment endoskeleton	IAO:0000115	
WARN	missing_definition	juvenile endoskeleton	IAO:0000115	
WARN	missing_definition	adult endoskeleton	IAO:0000115	
WARN	missing_definition	cell cortex	IAO:0000115	
WARN	missing_definition	cleavage furrow	IAO:0000115	
WARN	missing_definition	animal pole domain	IAO:0000115	
WARN	missing_definition	blastopore	IAO:0000115	
WARN	missing_definition	blastopore lip	IAO:0000115	
WARN	missing_definition	bottle cell	IAO:0000115	
WARN	missing_definition	embryonic cell	IAO:0000115	
WARN	missing_definition	vegetal plate	IAO:0000115	
WARN	missing_definition	skeletal element	IAO:0000115	
WARN	missing_definition	tissue	IAO:0000115	
WARN	missing_definition	rudiment	IAO:0000115	
WARN	missing_definition	rudiment structure	IAO:0000115	
WARN	missing_definition	non-rudiment adult structure	IAO:0000115	
WARN	missing_definition	intracellular part	IAO:0000115	
WARN	missing_definition	cytoskeleton	IAO:0000115	
WARN	missing_definition	microtubule	IAO:0000115	
WARN	missing_definition	centrosome	IAO:0000115	
WARN	missing_definition	mitotic spindle	IAO:0000115	
WARN	missing_definition	meiotic spindle	IAO:0000115	
WARN	missing_definition	aster	IAO:0000115	
WARN	missing_definition	sperm aster	IAO:0000115	
WARN	missing_definition	acellular membrane	IAO:0000115	
WARN	missing_definition	vitelline membrane	IAO:0000115	
WARN	missing_definition	hyaline layer	IAO:0000115	
WARN	missing_definition	microvillus	IAO:0000115	
WARN	missing_definition	apical lamina	IAO:0000115	
WARN	missing_definition	secretory vesicle	IAO:0000115	
WARN	missing_definition	cilium	IAO:0000115	
WARN	missing_definition	filopodium	IAO:0000115	
WARN	missing_definition	basal lamina	IAO:0000115	
WARN	missing_definition	basal laminar vesicle	IAO:0000115	
WARN	missing_definition	apical vesicle	IAO:0000115	
WARN	missing_definition	cortical granule	IAO:0000115	
WARN	missing_definition	echinonectin vesicle	IAO:0000115	
WARN	missing_definition	mitochondrion	IAO:0000115	
WARN	missing_definition	actin cytoskeleton	IAO:0000115	
WARN	missing_definition	actin filament	IAO:0000115	
WARN	missing_definition	nuclear part	IAO:0000115	
WARN	missing_definition	nucleoplasm	IAO:0000115	
WARN	missing_definition	nuclear envelope	IAO:0000115	
WARN	missing_definition	endoplasmic reticulum	IAO:0000115	
WARN	missing_definition	spermatozoid entry point	IAO:0000115	
WARN	missing_definition	plasma membrane	IAO:0000115	
WARN	missing_definition	spermatozoid part	IAO:0000115	
WARN	missing_definition	small micromere descendant cell	IAO:0000115	
WARN	missing_definition	presumptive primordial germ cell	IAO:0000115	
WARN	missing_definition	primordial germ cell	IAO:0000115	
