Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	ECO:0006272	oboInOwl:hasExactSynonym	viscometry
WARN	duplicate_exact_synonym	ECO:0006325	oboInOwl:hasExactSynonym	viscometry
WARN	duplicate_exact_synonym	ECO:0006326	oboInOwl:hasExactSynonym	viscometry
WARN	duplicate_exact_synonym	ECO:0006260	oboInOwl:hasExactSynonym	TSA
WARN	duplicate_exact_synonym	ECO:0006301	oboInOwl:hasExactSynonym	TSA
WARN	duplicate_exact_synonym	ECO:0006302	oboInOwl:hasExactSynonym	TSA
WARN	duplicate_exact_synonym	ECO:0006333	oboInOwl:hasExactSynonym	ThT fluorescence assay
WARN	duplicate_exact_synonym	ECO:0006356	oboInOwl:hasExactSynonym	ThT fluorescence assay
WARN	duplicate_exact_synonym	ECO:0006357	oboInOwl:hasExactSynonym	ThT fluorescence assay
WARN	duplicate_exact_synonym	ECO:0006333	oboInOwl:hasExactSynonym	ThT assay
WARN	duplicate_exact_synonym	ECO:0006356	oboInOwl:hasExactSynonym	ThT assay
WARN	duplicate_exact_synonym	ECO:0006357	oboInOwl:hasExactSynonym	ThT assay
WARN	duplicate_exact_synonym	ECO:0006333	oboInOwl:hasExactSynonym	ThT
WARN	duplicate_exact_synonym	ECO:0006356	oboInOwl:hasExactSynonym	ThT
WARN	duplicate_exact_synonym	ECO:0006357	oboInOwl:hasExactSynonym	ThT
WARN	duplicate_exact_synonym	ECO:0006268	oboInOwl:hasExactSynonym	thermal unfolding
WARN	duplicate_exact_synonym	ECO:0006317	oboInOwl:hasExactSynonym	thermal unfolding
WARN	duplicate_exact_synonym	ECO:0006318	oboInOwl:hasExactSynonym	thermal unfolding
WARN	duplicate_exact_synonym	ECO:0006268	oboInOwl:hasExactSynonym	thermal dentauration
WARN	duplicate_exact_synonym	ECO:0006317	oboInOwl:hasExactSynonym	thermal dentauration
WARN	duplicate_exact_synonym	ECO:0006318	oboInOwl:hasExactSynonym	thermal dentauration
WARN	duplicate_exact_synonym	ECO:0008086	oboInOwl:hasExactSynonym	T cell assay -T cell subset identification
WARN	duplicate_exact_synonym	ECO:0008181	oboInOwl:hasExactSynonym	T cell assay -T cell subset identification
WARN	duplicate_exact_synonym	ECO:0008182	oboInOwl:hasExactSynonym	T cell assay -T cell subset identification
WARN	duplicate_exact_synonym	ECO:0008085	oboInOwl:hasExactSynonym	T cell assay -Single MHC type present
WARN	duplicate_exact_synonym	ECO:0008179	oboInOwl:hasExactSynonym	T cell assay -Single MHC type present
WARN	duplicate_exact_synonym	ECO:0008180	oboInOwl:hasExactSynonym	T cell assay -Single MHC type present
WARN	duplicate_exact_synonym	ECO:0008084	oboInOwl:hasExactSynonym	T cell assay -MHC subset identification
WARN	duplicate_exact_synonym	ECO:0008177	oboInOwl:hasExactSynonym	T cell assay -MHC subset identification
WARN	duplicate_exact_synonym	ECO:0008178	oboInOwl:hasExactSynonym	T cell assay -MHC subset identification
WARN	duplicate_exact_synonym	ECO:0008083	oboInOwl:hasExactSynonym	T cell assay -Biological process measured
WARN	duplicate_exact_synonym	ECO:0008175	oboInOwl:hasExactSynonym	T cell assay -Biological process measured
WARN	duplicate_exact_synonym	ECO:0008176	oboInOwl:hasExactSynonym	T cell assay -Biological process measured
WARN	duplicate_exact_synonym	ECO:0008010	oboInOwl:hasExactSynonym	SVM evidence
WARN	duplicate_exact_synonym	ECO:0008018	oboInOwl:hasExactSynonym	SVM evidence
WARN	duplicate_exact_synonym	ECO:0008019	oboInOwl:hasExactSynonym	SVM evidence
WARN	duplicate_exact_synonym	ECO:0008011	oboInOwl:hasExactSynonym	string-searching method evidence
WARN	duplicate_exact_synonym	ECO:0008020	oboInOwl:hasExactSynonym	string-searching method evidence
WARN	duplicate_exact_synonym	ECO:0008021	oboInOwl:hasExactSynonym	string-searching method evidence
WARN	duplicate_exact_synonym	ECO:0008082	oboInOwl:hasExactSynonym	Statistically inferred by motif or alleles present
WARN	duplicate_exact_synonym	ECO:0008173	oboInOwl:hasExactSynonym	Statistically inferred by motif or alleles present
WARN	duplicate_exact_synonym	ECO:0008174	oboInOwl:hasExactSynonym	Statistically inferred by motif or alleles present
WARN	duplicate_exact_synonym	ECO:0006178	oboInOwl:hasExactSynonym	SRCD
WARN	duplicate_exact_synonym	ECO:0006202	oboInOwl:hasExactSynonym	SRCD
WARN	duplicate_exact_synonym	ECO:0006203	oboInOwl:hasExactSynonym	SRCD
WARN	duplicate_exact_synonym	ECO:0008187	oboInOwl:hasExactSynonym	smFRET evidence
WARN	duplicate_exact_synonym	ECO:0008196	oboInOwl:hasExactSynonym	smFRET evidence
WARN	duplicate_exact_synonym	ECO:0008197	oboInOwl:hasExactSynonym	smFRET evidence
WARN	duplicate_exact_synonym	ECO:0008009	oboInOwl:hasExactSynonym	smFISH
WARN	duplicate_exact_synonym	ECO:0008016	oboInOwl:hasExactSynonym	smFISH
WARN	duplicate_exact_synonym	ECO:0008017	oboInOwl:hasExactSynonym	smFISH
WARN	duplicate_exact_synonym	ECO:0008079	oboInOwl:hasExactSynonym	Single allele present
WARN	duplicate_exact_synonym	ECO:0008167	oboInOwl:hasExactSynonym	Single allele present
WARN	duplicate_exact_synonym	ECO:0008168	oboInOwl:hasExactSynonym	Single allele present
WARN	duplicate_exact_synonym	ECO:0006254	oboInOwl:hasExactSynonym	SDSL
WARN	duplicate_exact_synonym	ECO:0006289	oboInOwl:hasExactSynonym	SDSL
WARN	duplicate_exact_synonym	ECO:0006290	oboInOwl:hasExactSynonym	SDSL
WARN	duplicate_exact_synonym	ECO:0006182	oboInOwl:hasExactSynonym	SAXS
WARN	duplicate_exact_synonym	ECO:0006210	oboInOwl:hasExactSynonym	SAXS
WARN	duplicate_exact_synonym	ECO:0006211	oboInOwl:hasExactSynonym	SAXS
WARN	duplicate_exact_synonym	ECO:0006184	oboInOwl:hasExactSynonym	SANS
WARN	duplicate_exact_synonym	ECO:0006214	oboInOwl:hasExactSynonym	SANS
WARN	duplicate_exact_synonym	ECO:0006215	oboInOwl:hasExactSynonym	SANS
WARN	duplicate_exact_synonym	ECO:0006250	oboInOwl:hasExactSynonym	RS-TEM
WARN	duplicate_exact_synonym	ECO:0006281	oboInOwl:hasExactSynonym	RS-TEM
WARN	duplicate_exact_synonym	ECO:0006282	oboInOwl:hasExactSynonym	RS-TEM
WARN	duplicate_exact_synonym	ECO:0006259	oboInOwl:hasExactSynonym	ROA
WARN	duplicate_exact_synonym	ECO:0006299	oboInOwl:hasExactSynonym	ROA
WARN	duplicate_exact_synonym	ECO:0006300	oboInOwl:hasExactSynonym	ROA
WARN	duplicate_exact_synonym	ECO:0008012	oboInOwl:hasExactSynonym	regexp method evidence
WARN	duplicate_exact_synonym	ECO:0008022	oboInOwl:hasExactSynonym	regexp method evidence
WARN	duplicate_exact_synonym	ECO:0008023	oboInOwl:hasExactSynonym	regexp method evidence
WARN	duplicate_exact_synonym	ECO:0008012	oboInOwl:hasExactSynonym	regex method evidence
WARN	duplicate_exact_synonym	ECO:0008022	oboInOwl:hasExactSynonym	regex method evidence
WARN	duplicate_exact_synonym	ECO:0008023	oboInOwl:hasExactSynonym	regex method evidence
WARN	duplicate_exact_synonym	ECO:0006259	oboInOwl:hasExactSynonym	Raman optical activity
WARN	duplicate_exact_synonym	ECO:0006299	oboInOwl:hasExactSynonym	Raman optical activity
WARN	duplicate_exact_synonym	ECO:0006300	oboInOwl:hasExactSynonym	Raman optical activity
WARN	duplicate_exact_synonym	ECO:0006176	oboInOwl:hasExactSynonym	proton NMR
WARN	duplicate_exact_synonym	ECO:0006198	oboInOwl:hasExactSynonym	proton NMR
WARN	duplicate_exact_synonym	ECO:0006199	oboInOwl:hasExactSynonym	proton NMR
WARN	duplicate_exact_synonym	ECO:0006265	oboInOwl:hasExactSynonym	protein denaturation assay
WARN	duplicate_exact_synonym	ECO:0006311	oboInOwl:hasExactSynonym	protein denaturation assay
