Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/ecocore/ecocore-base.owl	dc:description	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/ecocore/ecocore-base.owl	dc:title	
WARN	missing_definition	ECOCORE:00000078	IAO:0000115	
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000010	RO:0002215	ECOCORE:00000011
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000016	RO:0002233	NCBITaxon:4751
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000019	RO:0002215	ECOCORE:00000020
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000021	RO:0002233	NCBITaxon:33208
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000023	RO:0002215	ECOCORE:00000009
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000045	RO:0002215	ECOCORE:00000060
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000050	RO:0002215	ECOCORE:00000182
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000054	RO:0002215	ECOCORE:00000058
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000057	RO:0002233	ENVO:01001103
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000084	RO:0002470	PO:0025034
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000085	RO:0002470	PO:0009005
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000089	RO:0002215	ECOCORE:00000102
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000090	RO:0002215	ECOCORE:00000103
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000091	RO:0002215	ECOCORE:00000108
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000100	RO:0002233	PO:0009010
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000136	RO:0002470	PO:0009001
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000143	RO:0002470	PO:0009010
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000144	RO:0002470	ENVO:00002040
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000146	RO:0002215	ECOCORE:00000147
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000158	RO:0002470	ENVO:01000063
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000165	RO:0002233	UBERON:0000178
WARN	equivalent_class_axiom_no_genus	ECOCORE:00000167	RO:0002634	PO:0025034
INFO	lowercase_definition	ECOCORE:00000042	IAO:0000115	a reproductive quality inhering in the bearer by virtue of the bearer having reproductive organs normally associated with both male and female sexes at the same time
INFO	lowercase_definition	ECOCORE:00000043	IAO:0000115	a reproductive quality inhering in the bearer by virtue of the bearer having female reproductive organs at the beginning of its life and then switching to male reproductive organs
INFO	lowercase_definition	ECOCORE:00000045	IAO:0000115	heterotroph that acquires nutrition from a symbiont
INFO	lowercase_definition	ECOCORE:00000048	IAO:0000115	anatomical entity that comprises the organism in a distinct juvenile form that is provided with a source of nutrition, usually a yolk sac, to use before metamorphosing into an adult
INFO	lowercase_definition	ECOCORE:00000049	IAO:0000115	a community of microscopic, unicellular eukaryotic algae and the prokaryotic Cyanobacteria which live on sediment surfaces
INFO	lowercase_definition	ECOCORE:00000054	IAO:0000115	heterotroph that obtains nutrition by breaking down dead or decaying organisms or other organic matter
INFO	lowercase_definition	ECOCORE:00000067	IAO:0000115	a member of one sex mates with any member of the opposite sex
INFO	lowercase_definition	ECOCORE:00000095	IAO:0000115	a predator residing at the top of a food chain upon which no other creatures prey.
INFO	lowercase_definition	ECOCORE:00000096	IAO:0000115	a predator that captures or traps prey by stealth or strategy, rather than by speed or strength.
INFO	lowercase_definition	ECOCORE:00000097	IAO:0000115	a detritivore that consumes leaf litter
INFO	lowercase_definition	ECOCORE:00000098	IAO:0000115	a heterotroph that consumes bacteria
INFO	lowercase_definition	ECOCORE:00000117	IAO:0000115	a reproductive quality inhering in the bearer by virtue of the bearer having male reproductive organs at the beginning of its life and then switching to female reproductive organs
INFO	lowercase_definition	ECOCORE:00000118	IAO:0000115	a reproductive quality inhering in the bearer by virtue of the bearer having female reproductive organs at the beginning of its life and then switching to being a hermaphrodite
INFO	lowercase_definition	ECOCORE:00000119	IAO:0000115	a reproductive quality inhering in the bearer by virtue of the bearer having male reproductive organs at the beginning of its life and then switching to being a hermaphrodite
INFO	lowercase_definition	ECOCORE:00000120	IAO:0000115	a reproductive quality inhering in the bearer by virtue of the bearer changing sex at some point in its life
INFO	lowercase_definition	ECOCORE:00000167	IAO:0000115	a folivore that lives in and eats the leaf tissue of plants
INFO	lowercase_definition	ECOCORE:00000168	IAO:0000115	an herbivore that primarily consumes grasses, leaves, and other soft plant material
INFO	lowercase_definition	ECOCORE:00000170	IAO:0000115	a carnivore that primarily eats organisms less than 1 cm in their longest dimension
INFO	lowercase_definition	ECOCORE:00000171	IAO:0000115	an organism that uses inorganic sulfur compounds as a terminal electron acceptor during cellular respiration
INFO	lowercase_definition	ECOCORE:00000172	IAO:0000115	an organism that does not require oxygen for growth
INFO	lowercase_definition	ECOCORE:00000173	IAO:0000115	an organism that can survive and grow in an oxygenated environment
INFO	lowercase_definition	ECOCORE:00000174	IAO:0000115	an organism capable of producing all amino acids required for its growth
INFO	lowercase_definition	ECOCORE:00000175	IAO:0000115	an organism that is unable to synthesize a particular organic compound required for its growth
INFO	lowercase_definition	ECOCORE:00000176	IAO:0000115	a decomposer which obtains nutrition by consuming feces
