Level	Rule Name	Subject	Property	Value
WARN	duplicate_label_synonym	ECTO:0000163	oboInOwl:hasExactSynonym	exposure to organic cyclic compound
WARN	duplicate_label_synonym	ECTO:0000172	oboInOwl:hasExactSynonym	exposure to methotrexate
WARN	duplicate_label_synonym	ECTO:0000173	oboInOwl:hasExactSynonym	exposure to corticosteroid
WARN	duplicate_label_synonym	ECTO:0000200	oboInOwl:hasExactSynonym	exposure to lipid
WARN	duplicate_label_synonym	ECTO:0000207	oboInOwl:hasExactSynonym	exposure to carbon monoxide
WARN	duplicate_label_synonym	ECTO:0000258	oboInOwl:hasExactSynonym	exposure to steroid hormone
WARN	duplicate_label_synonym	ECTO:0000259	oboInOwl:hasExactSynonym	exposure to glucocorticoid
WARN	duplicate_label_synonym	ECTO:0000371	oboInOwl:hasExactSynonym	exposure to oxygen molecular entity
WARN	duplicate_label_synonym	ECTO:0000439	oboInOwl:hasExactSynonym	exposure to formaldehyde
WARN	duplicate_label_synonym	ECTO:0000496	oboInOwl:hasExactSynonym	exposure to alkylating agent
WARN	duplicate_label_synonym	ECTO:0000509	oboInOwl:hasExactSynonym	exposure to drug
WARN	duplicate_label_synonym	ECTO:0000515	oboInOwl:hasExactSynonym	exposure to herbicide
WARN	duplicate_label_synonym	ECTO:0000516	oboInOwl:hasExactSynonym	exposure to hormone
WARN	duplicate_label_synonym	ECTO:0000522	oboInOwl:hasExactSynonym	exposure to mitochondrial respiratory-chain inhibitor
WARN	duplicate_label_synonym	ECTO:0000523	oboInOwl:hasExactSynonym	exposure to mutagen
WARN	duplicate_label_synonym	ECTO:0000524	oboInOwl:hasExactSynonym	exposure to mycotoxin
WARN	duplicate_label_synonym	ECTO:0000526	oboInOwl:hasExactSynonym	exposure to neurotransmitter
WARN	duplicate_label_synonym	ECTO:0000530	oboInOwl:hasExactSynonym	exposure to pesticide
WARN	duplicate_label_synonym	ECTO:0000537	oboInOwl:hasExactSynonym	exposure to toxin
WARN	duplicate_label_synonym	ECTO:0000543	oboInOwl:hasExactSynonym	exposure to molecular messenger
WARN	duplicate_label_synonym	ECTO:0000544	oboInOwl:hasExactSynonym	exposure to antimicrobial agent
WARN	duplicate_label_synonym	ECTO:0000557	oboInOwl:hasExactSynonym	exposure to inhibitor
WARN	duplicate_label_synonym	ECTO:0000590	oboInOwl:hasExactSynonym	exposure to vasodilator agent
WARN	duplicate_label_synonym	ECTO:0000637	oboInOwl:hasExactSynonym	exposure to EC 1.9.3.1 (cytochrome c oxidase) inhibitor
WARN	duplicate_label_synonym	ECTO:0000650	oboInOwl:hasExactSynonym	exposure to Bronsted acid
WARN	duplicate_label_synonym	ECTO:0000657	oboInOwl:hasExactSynonym	exposure to disinfectant
WARN	duplicate_label_synonym	ECTO:0000672	oboInOwl:hasExactSynonym	exposure to agonist
WARN	duplicate_label_synonym	ECTO:0000689	oboInOwl:hasExactSynonym	exposure to P450 inhibitor
WARN	duplicate_label_synonym	ECTO:0000699	oboInOwl:hasExactSynonym	exposure to probe
WARN	duplicate_label_synonym	ECTO:0000724	oboInOwl:hasExactSynonym	exposure to genotoxin
WARN	duplicate_label_synonym	ECTO:0000725	oboInOwl:hasExactSynonym	exposure to carcinogenic agent
WARN	duplicate_label_synonym	ECTO:0000726	oboInOwl:hasExactSynonym	exposure to allergen
WARN	duplicate_label_synonym	ECTO:0000730	oboInOwl:hasExactSynonym	exposure to neurotoxin
WARN	duplicate_label_synonym	ECTO:0000738	oboInOwl:hasExactSynonym	exposure to ligand
WARN	duplicate_label_synonym	ECTO:0000750	oboInOwl:hasExactSynonym	exposure to biomarker
WARN	duplicate_label_synonym	ECTO:0000776	oboInOwl:hasExactSynonym	exposure to signalling molecule
WARN	duplicate_label_synonym	ECTO:0000922	oboInOwl:hasExactSynonym	exposure to EC 3.5.1.4 (amidase) inhibitor
WARN	duplicate_label_synonym	ECTO:0000931	oboInOwl:hasExactSynonym	exposure to environmental contaminant
WARN	duplicate_label_synonym	ECTO:0001108	oboInOwl:hasExactSynonym	exposure to aflatoxin
WARN	duplicate_label_synonym	ECTO:0001152	oboInOwl:hasExactSynonym	exposure to organochlorine compound
WARN	duplicate_label_synonym	ECTO:0001659	oboInOwl:hasExactSynonym	exposure to chloroacetic acid
WARN	duplicate_label_synonym	ECTO:0002002	oboInOwl:hasExactSynonym	exposure to steroid
WARN	duplicate_label_synonym	ECTO:0200002	oboInOwl:hasExactSynonym	exposure to glycemic agent therapy via ingestion
WARN	duplicate_label_synonym	ECTO:2000000	oboInOwl:hasExactSynonym	exposure to medical action
WARN	duplicate_label_synonym	ECTO:2000002	oboInOwl:hasExactSynonym	exposure to dyslipidemic agent therapy
WARN	duplicate_label_synonym	ECTO:2000003	oboInOwl:hasExactSynonym	exposure to blood glucose regulator therapy
WARN	duplicate_label_synonym	ECTO:2000053	oboInOwl:hasExactSynonym	exposure to Human Papillomavirus Infection
WARN	duplicate_label_synonym	ECTO:2000057	oboInOwl:hasExactSynonym	exposure to pharmacotherapy
WARN	duplicate_label_synonym	ECTO:2000058	oboInOwl:hasExactSynonym	exposure to blood transfusion
WARN	duplicate_label_synonym	ECTO:2000060	oboInOwl:hasExactSynonym	exposure to neck radiograph procedure
WARN	duplicate_label_synonym	ECTO:9000001	oboInOwl:hasExactSynonym	exposure to amlodipine
WARN	duplicate_label_synonym	ECTO:9000002	oboInOwl:hasExactSynonym	exposure to biguanide
WARN	duplicate_label_synonym	ECTO:9000003	oboInOwl:hasExactSynonym	exposure to digitalin
WARN	duplicate_label_synonym	ECTO:9000004	oboInOwl:hasExactSynonym	exposure to nitroglycerin
WARN	duplicate_label_synonym	ECTO:9000007	oboInOwl:hasExactSynonym	exposure to probucol
WARN	duplicate_label_synonym	ECTO:9000009	oboInOwl:hasExactSynonym	exposure to diltiazem
WARN	duplicate_label_synonym	ECTO:9000011	oboInOwl:hasExactSynonym	exposure to heparin
WARN	duplicate_label_synonym	ECTO:9000012	oboInOwl:hasExactSynonym	exposure to nifedipine
WARN	duplicate_label_synonym	ECTO:9000013	oboInOwl:hasExactSynonym	exposure to thiazolidinediones
WARN	duplicate_label_synonym	ECTO:9000014	oboInOwl:hasExactSynonym	exposure to verapamil
WARN	duplicate_label_synonym	ECTO:9000016	oboInOwl:hasExactSynonym	exposure to hydrogen chloride
WARN	duplicate_label_synonym	ECTO:9000017	oboInOwl:hasExactSynonym	exposure to sulfuric acid
WARN	duplicate_label_synonym	ECTO:9000018	oboInOwl:hasExactSynonym	exposure to phosphoric acid
WARN	duplicate_label_synonym	ECTO:9000019	oboInOwl:hasExactSynonym	exposure to acetic acid
WARN	duplicate_label_synonym	ECTO:9000020	oboInOwl:hasExactSynonym	exposure to nitric acid
WARN	duplicate_label_synonym	ECTO:9000021	oboInOwl:hasExactSynonym	exposure to alkali metal salt
WARN	duplicate_label_synonym	ECTO:9000022	oboInOwl:hasExactSynonym	exposure to sodium hydroxide
WARN	duplicate_label_synonym	ECTO:9000023	oboInOwl:hasExactSynonym	exposure to magnesium hydroxide
WARN	duplicate_label_synonym	ECTO:9000024	oboInOwl:hasExactSynonym	exposure to calcium hydroxide
WARN	duplicate_label_synonym	ECTO:9000025	oboInOwl:hasExactSynonym	exposure to potassium hydroxide
WARN	duplicate_label_synonym	ECTO:9000026	oboInOwl:hasExactSynonym	exposure to alcohol
WARN	duplicate_label_synonym	ECTO:9000027	oboInOwl:hasExactSynonym	exposure to ethanol
WARN	duplicate_label_synonym	ECTO:9000028	oboInOwl:hasExactSynonym	exposure to methanol
WARN	duplicate_label_synonym	ECTO:9000031	oboInOwl:hasExactSynonym	exposure to ammonia
WARN	duplicate_label_synonym	ECTO:9000033	oboInOwl:hasExactSynonym	exposure to asbestos
WARN	duplicate_label_synonym	ECTO:9000034	oboInOwl:hasExactSynonym	exposure to benzene
WARN	duplicate_label_synonym	ECTO:9000035	oboInOwl:hasExactSynonym	exposure to xylene
WARN	duplicate_label_synonym	ECTO:9000036	oboInOwl:hasExactSynonym	exposure to toluene
WARN	duplicate_label_synonym	ECTO:9000038	oboInOwl:hasExactSynonym	exposure to chromate(2-)
WARN	duplicate_label_synonym	ECTO:9000039	oboInOwl:hasExactSynonym	exposure to 1,2-dichloroethane
WARN	duplicate_label_synonym	ECTO:9000042	oboInOwl:hasExactSynonym	exposure to chloroform
WARN	duplicate_label_synonym	ECTO:9000043	oboInOwl:hasExactSynonym	exposure to chloroprene
WARN	duplicate_label_synonym	ECTO:9000044	oboInOwl:hasExactSynonym	exposure to ketone
WARN	duplicate_label_synonym	ECTO:9000045	oboInOwl:hasExactSynonym	exposure to dichloromethane
WARN	duplicate_label_synonym	ECTO:9000048	oboInOwl:hasExactSynonym	exposure to tetrachloromethane
WARN	duplicate_label_synonym	ECTO:9000049	oboInOwl:hasExactSynonym	exposure to carbon dioxide
WARN	duplicate_label_synonym	ECTO:9000051	oboInOwl:hasExactSynonym	exposure to dinitrogen oxide
WARN	duplicate_label_synonym	ECTO:9000052	oboInOwl:hasExactSynonym	exposure to ozone
WARN	duplicate_label_synonym	ECTO:9000056	oboInOwl:hasExactSynonym	exposure to biphenyls
WARN	duplicate_label_synonym	ECTO:9000057	oboInOwl:hasExactSynonym	exposure to bisphenol A
WARN	duplicate_label_synonym	ECTO:9000058	oboInOwl:hasExactSynonym	exposure to dichlorobenzene
WARN	duplicate_label_synonym	ECTO:9000059	oboInOwl:hasExactSynonym	exposure to ethylbenzene
WARN	duplicate_label_synonym	ECTO:9000060	oboInOwl:hasExactSynonym	exposure to 1,2-dibromoethane
WARN	duplicate_label_synonym	ECTO:9000064	oboInOwl:hasExactSynonym	exposure to chloroethane
WARN	duplicate_label_synonym	ECTO:9000065	oboInOwl:hasExactSynonym	exposure to 2-methoxyethanol
WARN	duplicate_label_synonym	ECTO:9000066	oboInOwl:hasExactSynonym	exposure to 2-ethoxyethanol
WARN	duplicate_label_synonym	ECTO:9000067	oboInOwl:hasExactSynonym	exposure to 2-butoxyethanol
WARN	duplicate_label_synonym	ECTO:9000068	oboInOwl:hasExactSynonym	exposure to polychlorobiphenyl
WARN	duplicate_label_synonym	ECTO:9000069	oboInOwl:hasExactSynonym	exposure to styrene
WARN	duplicate_label_synonym	ECTO:9000070	oboInOwl:hasExactSynonym	exposure to phosgene
WARN	duplicate_label_synonym	ECTO:9000071	oboInOwl:hasExactSynonym	exposure to phenol
WARN	duplicate_label_synonym	ECTO:9000073	oboInOwl:hasExactSynonym	exposure to silicon dioxide
WARN	duplicate_label_synonym	ECTO:9000074	oboInOwl:hasExactSynonym	exposure to tetrachloroethene
WARN	duplicate_label_synonym	ECTO:9000076	oboInOwl:hasExactSynonym	exposure to sodium hypochlorite
WARN	duplicate_label_synonym	ECTO:9000078	oboInOwl:hasExactSynonym	exposure to triclosan
WARN	duplicate_label_synonym	ECTO:9000081	oboInOwl:hasExactSynonym	exposure to urethane
WARN	duplicate_label_synonym	ECTO:9000082	oboInOwl:hasExactSynonym	exposure to polyurethane polymer
WARN	duplicate_label_synonym	ECTO:9000083	oboInOwl:hasExactSynonym	exposure to butanone
WARN	duplicate_label_synonym	ECTO:9000085	oboInOwl:hasExactSynonym	exposure to acetone
WARN	duplicate_label_synonym	ECTO:9000089	oboInOwl:hasExactSynonym	exposure to insecticide
WARN	duplicate_label_synonym	ECTO:9000090	oboInOwl:hasExactSynonym	exposure to rodenticide
WARN	duplicate_label_synonym	ECTO:9000091	oboInOwl:hasExactSynonym	exposure to fertilizer
WARN	duplicate_label_synonym	ECTO:9000092	oboInOwl:hasExactSynonym	exposure to fungicide
WARN	duplicate_label_synonym	ECTO:9000094	oboInOwl:hasExactSynonym	exposure to perfluorooctane-1-sulfonic acid
WARN	duplicate_label_synonym	ECTO:9000095	oboInOwl:hasExactSynonym	exposure to perfluorooctanoic acid
WARN	duplicate_label_synonym	ECTO:9000096	oboInOwl:hasExactSynonym	exposure to methyl tert-butyl ether
WARN	duplicate_label_synonym	ECTO:9000099	oboInOwl:hasExactSynonym	exposure to propan-2-ol
WARN	duplicate_label_synonym	ECTO:9000100	oboInOwl:hasExactSynonym	exposure to butan-1-ol
