Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	electrophysiology data acquisition system	IAO:0000115	An instrument used to capture and record analog inputs, digital inputs, temperature, humidity, pulse and logic signals, for electrophysiology.
ERROR	duplicate_definition	multichannel acquisition system	IAO:0000115	An instrument used to capture and record analog inputs, digital inputs, temperature, humidity, pulse and logic signals, for electrophysiology.
ERROR	duplicate_definition	oven	IAO:0000115	An instrument used for heating materials at high temperatures.
ERROR	duplicate_definition	high temperature furnace	IAO:0000115	An instrument used for heating materials at high temperatures.
ERROR	duplicate_definition	transgenic retrovirus 	IAO:0000115	A transgenic virus derived from a lentivirus that is engineered to serve as a vehicle to carry foreign genetic material, which it can transfer into cells or organisms.
ERROR	duplicate_definition	transgenic lentivirus	IAO:0000115	A transgenic virus derived from a lentivirus that is engineered to serve as a vehicle to carry foreign genetic material, which it can transfer into cells or organisms.
ERROR	duplicate_definition	cryo-electron microscopy	IAO:0000115	A form of transmission electron microscopy where the sample is studied at cryogenic temperatures (generally liquid nitrogen temperatures).
ERROR	duplicate_definition	cryogenic electron microscopy	IAO:0000115	A form of transmission electron microscopy where the sample is studied at cryogenic temperatures (generally liquid nitrogen temperatures).
ERROR	misused_obsolete_label	obsolete_is_member_of_family	rdfs:label	obsolete_is_member_of_family@en
ERROR	deprecated_class_reference	obsolete_cell line	rdfs:subClassOf	<http://purl.obolibrary.org/obo/ERO_0001398>
ERROR	deprecated_class_reference	obsolete_cell line	rdfs:subClassOf	<http://purl.obolibrary.org/obo/ERO_0001399>
ERROR	missing_ontology_description	obo:ero.owl	dc11:description	
ERROR	multiple_definitions	service provider role	IAO:0000115	A role inhering in a person or organization that is realized when the bearer participates in providing a service to meet the need of another person or thing.
ERROR	multiple_definitions	service provider role	IAO:0000115	An role of an individual within his or her profession or institution; use outreach provider role for community service or other activities outside the profession.
ERROR	multiple_definitions	has_source	IAO:0000115	Organism’s source environment or clinical setting.
ERROR	multiple_definitions	has_source	IAO:0000115	Organism�s source environment or clinical setting.
ERROR	multiple_definitions	Prokaryota	IAO:0000115	The prokaryotes (pronounced /pro?'k�ri.o?ts/ or /pro?'k�ri?ts/) are a group of organisms that lack a cell nucleus (= karyon), or any other membrane-bound organelles.
ERROR	multiple_definitions	Prokaryota	IAO:0000115	The prokaryotes (pronounced /proʊˈkæri.oʊts/ or /proʊˈkæriəts/) are a group of organisms that lack a cell nucleus (= karyon), or any other membrane-bound organelles.
ERROR	multiple_definitions	research opportunity	IAO:0000115	A planned process carried out by a person or organization with the objective of performing research.
ERROR	multiple_definitions	research opportunity	IAO:0000115	<An offering through an ongoing program or single request of research support: internships, positions, financial awards or other forms of tangible or intangible support>
ERROR	multiple_definitions	annexin V assay	IAO:0000115	An apoptosis assay used to detect apoptosis at a very early stage. This assay takes advantage of the fact that phosphatidylserine (PS; 1?3) is translocated from the inner (cytoplasmic) leaflet of the plasma membrane to the outer (cell surface) leaflet soon after the induction of apoptosis, and that the annexin V protein has a strong, specific affinity for PS (4?6). PS on the outer leaflet is available to bind labeled annexin V, providing the basis for a simple staining assay.
ERROR	multiple_definitions	annexin V assay	IAO:0000115	An apoptosis assay used to detect apoptosis at a very early stage. This assay takes advantage of the fact that phosphatidylserine (PS; 1–3) is translocated from the inner (cytoplasmic) leaflet of the plasma membrane to the outer (cell surface) leaflet soon after the induction of apoptosis, and that the annexin V protein has a strong, specific affinity for PS (4–6). PS on the outer leaflet is available to bind labeled annexin V, providing the basis for a simple staining assay.
