Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	ExO:0000095	IAO:0000115	The customary allowance of food and drink taken by a person or an animal from day to day, particularly one especially planned to meet specific requirements of the individual, including or excluding certain items of food; a prescribed course of eating and drinking in which the amount and kind of food, as well as the times at which it is to be taken, are regulated for therapeutic purposes or selected with reference to a particular state of health.
ERROR	duplicate_definition	ExO:0000106	IAO:0000115	The customary allowance of food and drink taken by a person or an animal from day to day, particularly one especially planned to meet specific requirements of the individual, including or excluding certain items of food; a prescribed course of eating and drinking in which the amount and kind of food, as well as the times at which it is to be taken, are regulated for therapeutic purposes or selected with reference to a particular state of health.
ERROR	duplicate_definition	ExO:0000117	IAO:0000115	A person who was not smoking at the time of the interview and has smoked less than 100 cigarettes in their life.
ERROR	duplicate_definition	ExO:0000118	IAO:0000115	A person who was not smoking at the time of the interview and has smoked less than 100 cigarettes in their life.
ERROR	duplicate_definition	ExO:0000145	IAO:0000115	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.
ERROR	duplicate_definition	ExO:0000149	IAO:0000115	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.
WARN	missing_definition	ExO:0000077	IAO:0000115	
WARN	missing_definition	ExO:0000078	IAO:0000115	
WARN	missing_definition	ExO:0000082	IAO:0000115	
INFO	missing_superclass	ExO:0000022	rdfs:subClassOf	
