Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	hyphal tip, septate hypha in mycelium	definition	The growing end of an aseptate hypha that is part of a mycelium.
ERROR	duplicate_definition	hyphal tip, septate hypha	definition	The growing end of an aseptate hypha that is part of a mycelium.
ERROR	missing_ontology_description	obo:fao.owl	dc11:description	
ERROR	missing_ontology_license	obo:fao.owl	dc:license	
ERROR	missing_ontology_title	obo:fao.owl	dc11:title	
WARN	duplicate_exact_synonym	fruitbody	has_exact_synonym	fruiting body
WARN	duplicate_exact_synonym	sporophore	has_exact_synonym	fruiting body
WARN	missing_definition	part of	definition	
WARN	missing_definition	definition	definition	
WARN	missing_definition	only in taxon	definition	
WARN	missing_definition	develops from	definition	
WARN	missing_definition	namespace-id-rule	definition	
WARN	missing_definition	has_alternative_id	definition	
WARN	missing_definition	database_cross_reference	definition	
WARN	missing_definition	has_exact_synonym	definition	
WARN	missing_definition	has_obo_format_version	definition	
WARN	missing_definition	has_obo_namespace	definition	
WARN	missing_definition	has_related_synonym	definition	
WARN	missing_definition	shorthand	definition	
