Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	obo:fbbi.owl	dc11:description	
ERROR	duplicate_label	nearfield illumination	rdfs:label	nearfield illumination
ERROR	duplicate_label	nearfield illumination	rdfs:label	nearfield illumination
ERROR	duplicate_label	nearfield illumination	rdfs:label	nearfield illumination
ERROR	missing_ontology_license	obo:fbbi.owl	dc:license	
ERROR	missing_ontology_title	obo:fbbi.owl	dc11:title	
WARN	missing_definition	sample preparation method	IAO:0000115	
WARN	missing_definition	chemically fixed tissue	IAO:0000115	
WARN	missing_definition	coagulating-fixative fixed tissue	IAO:0000115	
WARN	missing_definition	acetone fixed tissue	IAO:0000115	
WARN	missing_definition	acrolein fixed tissue	IAO:0000115	
WARN	missing_definition	ethanol fixed tissue	IAO:0000115	
WARN	missing_definition	methanol fixed tissue	IAO:0000115	
WARN	missing_definition	crosslinking-fixative fixed tissue	IAO:0000115	
WARN	missing_definition	ethylene glycol-bis-succinimidyl succinate fixed tissue	IAO:0000115	
WARN	missing_definition	formaldehyde fixed tissue	IAO:0000115	
WARN	missing_definition	glutaraldehyde fixed tissue	IAO:0000115	
WARN	missing_definition	osmium tetroxide fixed tissue	IAO:0000115	
WARN	missing_definition	cryofixed tissue	IAO:0000115	
WARN	missing_definition	unfixed tissue	IAO:0000115	
WARN	missing_definition	embedded tissue	IAO:0000115	
WARN	missing_definition	tissue in plastic embedment	IAO:0000115	
WARN	missing_definition	tissue in acrylic resin embedment	IAO:0000115	
WARN	missing_definition	tissue in epoxy resin embedment	IAO:0000115	
WARN	missing_definition	tissue in wax embedment	IAO:0000115	
WARN	missing_definition	tissue in paraffin embedment	IAO:0000115	
WARN	missing_definition	tissue in polyester wax embedment	IAO:0000115	
WARN	missing_definition	tissue in polyethylene glycol embedment	IAO:0000115	
WARN	missing_definition	unembedded tissue	IAO:0000115	
WARN	missing_definition	whole mounted tissue	IAO:0000115	
WARN	missing_definition	sectioned tissue	IAO:0000115	
WARN	missing_definition	cryostat-sectioned tissue	IAO:0000115	
WARN	missing_definition	hand-sectioned tissue	IAO:0000115	
WARN	missing_definition	microtome-sectioned tissue	IAO:0000115	
WARN	missing_definition	vibratome-sectioned tissue	IAO:0000115	
WARN	missing_definition	visualization method	IAO:0000115	
WARN	missing_definition	diagram	IAO:0000115	
WARN	missing_definition	HA peptide tag	IAO:0000115	
WARN	missing_definition	cresyl fast violet	IAO:0000115	
WARN	missing_definition	ethidium bromide	IAO:0000115	
WARN	missing_definition	fuchsin	IAO:0000115	
WARN	missing_definition	giemsa	IAO:0000115	
WARN	missing_definition	methyl green	IAO:0000115	
WARN	missing_definition	methyl violet	IAO:0000115	
WARN	missing_definition	nitro blue tetrazolium chloride	IAO:0000115	
WARN	missing_definition	nuclear fast red	IAO:0000115	
WARN	missing_definition	orcein	IAO:0000115	
WARN	missing_definition	propidium iodide	IAO:0000115	
WARN	missing_definition	SYTOX Green	IAO:0000115	
WARN	missing_definition	toluidine blue	IAO:0000115	
WARN	missing_definition	acridine orange	IAO:0000115	
WARN	missing_definition	Hoechst 33342	IAO:0000115	
WARN	missing_definition	cationic colloidal gold	IAO:0000115	
WARN	missing_definition	CMX rosamine (Mitotracker Red)	IAO:0000115	
WARN	missing_definition	DiOC6 (3,3'-dihexyloxacarbocyanine iodide)	IAO:0000115	
WARN	missing_definition	4',6-diamidino-2-phenylindole (DAPI)	IAO:0000115	
WARN	missing_definition	lucifer yellow	IAO:0000115	
WARN	missing_definition	methylene blue	IAO:0000115	
WARN	missing_definition	Nile blue A	IAO:0000115	
WARN	missing_definition	Nile red	IAO:0000115	
WARN	missing_definition	pyronine	IAO:0000115	
WARN	missing_definition	rhodamine 123	IAO:0000115	
