Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	precipitant chemical substance information	IAO:0000115	An information content entity that makes a statement about a drug product being a precipitant in a food-drug interaction.@en
ERROR	duplicate_definition	precipitant food information	IAO:0000115	An information content entity that makes a statement about a drug product being a precipitant in a food-drug interaction.@en
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/fideo.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/fideo.owl	dc11:title	
ERROR	multiple_labels	basic food product	rdfs:label	basic food product@en
ERROR	multiple_labels	basic food product	rdfs:label	mechanism of food-drug interaction information@en
WARN	missing_definition	clinically relevant potential food-drug interaction	IAO:0000115	
WARN	missing_definition	metabolic potential food-drug interaction	IAO:0000115	
WARN	missing_definition	food component product	IAO:0000115	
WARN	missing_definition	evidence information from randomized food-drug interaction clinical trial	IAO:0000115	
WARN	missing_definition	object food chemical substance information	IAO:0000115	
WARN	missing_definition	object drug chemical substance information	IAO:0000115	
WARN	missing_definition	precipitant food chemical substance information	IAO:0000115	
WARN	missing_definition	precipitant drug chemical substance information	IAO:0000115	
WARN	missing_definition	green vegetable food product	IAO:0000115	
WARN	missing_definition	vitamin K-rich food product	IAO:0000115	
WARN	missing_definition	tyramine-rich food product	IAO:0000115	
WARN	missing_definition	soya oil	IAO:0000115	
WARN	missing_definition	natto	IAO:0000115	
WARN	missing_definition	pomegranate juice	IAO:0000115	
WARN	missing_definition	pomegranate food product	IAO:0000115	
WARN	missing_definition	pomelo food product	IAO:0000115	
WARN	missing_definition	pomelo (whole, raw)	IAO:0000115	
WARN	missing_definition	Stockley’s Drug Interactions 2008	IAO:0000115	
WARN	missing_definition	Stockley’s Drug Interactions 2016	IAO:0000115	
