Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/flopo.owl	dc:license	
ERROR	deprecated_class_reference	FLOPO:0002888	owl:equivalentClass	d956084f-4cc9-480a-ba27-4d159e50bccfgenid14055
ERROR	deprecated_class_reference	FLOPO:0014863	owl:equivalentClass	d956084f-4cc9-480a-ba27-4d159e50bccfgenid71485
ERROR	deprecated_class_reference	FLOPO:0016481	owl:equivalentClass	d956084f-4cc9-480a-ba27-4d159e50bccfgenid79288
ERROR	deprecated_class_reference	FLOPO:0017266	owl:equivalentClass	d956084f-4cc9-480a-ba27-4d159e50bccfgenid83081
ERROR	deprecated_class_reference	FLOPO:0018580	owl:equivalentClass	d956084f-4cc9-480a-ba27-4d159e50bccfgenid89401
ERROR	deprecated_class_reference	FLOPO:0022707	owl:equivalentClass	d956084f-4cc9-480a-ba27-4d159e50bccfgenid109218
ERROR	deprecated_class_reference	FLOPO:0022708	owl:equivalentClass	d956084f-4cc9-480a-ba27-4d159e50bccfgenid109223
ERROR	deprecated_class_reference	FLOPO:0900057	rdfs:subClassOf	FLOPO:0900058
ERROR	deprecated_class_reference	FLOPO:0900058	rdfs:subClassOf	FLOPO:0900057
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/flopo.owl	dc:title	
ERROR	deprecated_boolean_datatype	FLOPO:0000897	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0002363	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0002364	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0002626	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0002627	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0002691	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0002692	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0003307	owl:deprecated	
ERROR	deprecated_boolean_datatype	FLOPO:0003308	owl:deprecated	
ERROR	deprecated_boolean_datatype	FLOPO:0005692	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0005884	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0005885	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0006321	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0008380	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0008486	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0009594	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0010412	owl:deprecated	
ERROR	deprecated_boolean_datatype	FLOPO:0010413	owl:deprecated	
ERROR	deprecated_boolean_datatype	FLOPO:0011330	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0011783	owl:deprecated	
ERROR	deprecated_boolean_datatype	FLOPO:0011784	owl:deprecated	
ERROR	deprecated_boolean_datatype	FLOPO:0012127	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0012405	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0012530	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0012711	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0013227	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0014250	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0014610	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0014611	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0015546	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0017995	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0018165	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0018166	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0018324	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0018417	owl:deprecated	
ERROR	deprecated_boolean_datatype	FLOPO:0018418	owl:deprecated	
ERROR	deprecated_boolean_datatype	FLOPO:0018499	owl:deprecated	
ERROR	deprecated_boolean_datatype	FLOPO:0018501	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0018536	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0018749	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0018911	owl:deprecated	@en
ERROR	deprecated_boolean_datatype	FLOPO:0019301	owl:deprecated	@en
