Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Zone 15 of anterior interventricular branch of left coronary artery	IAO:0000115	Zone of anterior interventricular branch of left coronary artery which supplies the apical inferior zone of myocardium of left ventricle and is continuous with zone 14 of anterior interventricular branch of left coronary artery.
ERROR	duplicate_definition	Zone 16a of anterior interventricular branch of left coronary artery	IAO:0000115	Zone of anterior interventricular branch of left coronary artery which supplies the apical inferior zone of myocardium of left ventricle and is continuous with zone 14 of anterior interventricular branch of left coronary artery.
ERROR	duplicate_definition	Interfilar connective tissue of tricuspid valve	IAO:0000115	Subdivision of fibrous skeleton of heart which connects the anterior filum coronarium to the posterior filum coronarium of tricuspid valve anulus.
ERROR	duplicate_definition	Interfilar connective tissue of mitral valve	IAO:0000115	Subdivision of fibrous skeleton of heart which connects the anterior filum coronarium to the posterior filum coronarium of tricuspid valve anulus.
ERROR	duplicate_definition	Cavity of right cardiac chamber	IAO:0000115	Cavity of cardiac chamber which is surrounded by the wall of cardiac chamber.
ERROR	duplicate_definition	Cavity of left cardiac chamber	IAO:0000115	Cavity of cardiac chamber which is surrounded by the wall of cardiac chamber.
ERROR	duplicate_definition	Myocardial zone 13	IAO:0000115	Apical zone of myocardium of left ventricle which is adjacent to the apical septal and the apical anterolateral zones of myocardium of left ventricle.
ERROR	duplicate_definition	Myocardial zone 13a	IAO:0000115	Apical zone of myocardium of left ventricle which is adjacent to the apical septal and the apical anterolateral zones of myocardium of left ventricle.
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/fma.owl	dc11:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/fma.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/fma.owl	dc11:title	
WARN	duplicate_exact_synonym	Cavity of uterus	oboInOwl:hasExactSynonym	Uterine cavity
WARN	duplicate_exact_synonym	Cavity of body of uterus	oboInOwl:hasExactSynonym	Uterine cavity
WARN	duplicate_exact_synonym	Subdivision of cavity of tooth	oboInOwl:hasExactSynonym	Tooth chamber
WARN	duplicate_exact_synonym	Chamber of tooth	oboInOwl:hasExactSynonym	Tooth chamber
WARN	duplicate_exact_synonym	Matrix of smooth endoplasmic reticulum cistern	oboInOwl:hasExactSynonym	Smooth endoplasmic reticulum matrix
WARN	duplicate_exact_synonym	Matrix of smooth endoplasmic reticulum	oboInOwl:hasExactSynonym	Smooth endoplasmic reticulum matrix
WARN	duplicate_exact_synonym	Anterior layer of thoracolumbar fascia	oboInOwl:hasExactSynonym	Quadratus lumborum fascia
WARN	duplicate_exact_synonym	Fascia of quadratus lumborum	oboInOwl:hasExactSynonym	Quadratus lumborum fascia
WARN	duplicate_exact_synonym	Tooth socket of maxilla	oboInOwl:hasExactSynonym	Maxillary socket
WARN	duplicate_exact_synonym	Socket of maxilla	oboInOwl:hasExactSynonym	Maxillary socket
WARN	duplicate_exact_synonym	Tooth socket of mandible	oboInOwl:hasExactSynonym	Mandibular socket
WARN	duplicate_exact_synonym	Socket of mandible	oboInOwl:hasExactSynonym	Mandibular socket
WARN	duplicate_exact_synonym	Wall of main bronchus	oboInOwl:hasExactSynonym	Bronchial wall
WARN	duplicate_exact_synonym	Wall of bronchus	oboInOwl:hasExactSynonym	Bronchial wall
WARN	duplicate_label_synonym	Upper surface of first sacral vertebra	oboInOwl:hasExactSynonym	Upper surface of first sacral vertebra
WARN	missing_definition	Eighth thoracic vertebral arch	IAO:0000115	
WARN	missing_definition	Pedicle of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Superior vertebral notch of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Inferior vertebral notch of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Lamina of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Spinous process of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Transverse process of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Costal facet of transverse process of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Vasculature of bony part of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Superior articular process of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Articular facet of superior articular process of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Inferior articular process of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Articular facet of inferior articular process of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Intervertebral foramen of eighth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Body of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Anterior surface of body of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Posterior surface of body of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Lateral surface of body of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Superior costal facet of body of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Superior surface of body of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Inferior surface of body of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Ninth thoracic vertebral arch	IAO:0000115	
WARN	missing_definition	Pedicle of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Superior vertebral notch of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Inferior vertebral notch of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Lamina of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Spinous process of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Transverse process of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Costal facet of transverse process of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Vasculature of bony part of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Superior articular process of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Articular facet of superior articular process of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Inferior articular process of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Articular facet of inferior articular process of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Intervertebral foramen of ninth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Tenth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Body of tenth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Anterior surface of body of tenth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Posterior surface of body of tenth thoracic vertebra	IAO:0000115	
WARN	missing_definition	Lateral surface of body of tenth thoracic vertebra	IAO:0000115	
