Level	Rule Name	Subject	Property	Value
ERROR	deprecated_boolean_datatype	obsolete: plant based alcoholic beverage	owl:deprecated	true@en
ERROR	deprecated_boolean_datatype	obsolete: plant derived distilled spirit	owl:deprecated	true@en
ERROR	deprecated_boolean_datatype	obsolete: distilled spirits	owl:deprecated	true@en
ERROR	deprecated_boolean_datatype	barley malt	owl:deprecated	http://www.langual.org/langual_thesaurus.asp?termid=H0754^^http://www.w3.org/2001/XMLSchema#anyURI
ERROR	deprecated_boolean_datatype	obsolete: beverage alcohol	owl:deprecated	true@en
ERROR	deprecated_boolean_datatype	sweetener (nonnutritive)	owl:deprecated	http://www.langual.org/langual_thesaurus.asp?termid=H0108^^http://www.w3.org/2001/XMLSchema#anyURI
ERROR	deprecated_boolean_datatype	obsolete: nutritional food, special	owl:deprecated	true@en
ERROR	deprecated_boolean_datatype	obsolete: spirits	owl:deprecated	true@en
ERROR	deprecated_boolean_datatype	obsolete: beverage (alcoholic, distilled)	owl:deprecated	true@en
ERROR	deprecated_boolean_datatype	obsolete: preservation by fermentation	owl:deprecated	^^http://www.w3.org/2001/XMLSchema#anyURI
ERROR	misused_obsolete_label	obsolete: plant based alcoholic beverage	rdfs:label	obsolete: plant based alcoholic beverage@en
ERROR	misused_obsolete_label	obsolete: plant derived distilled spirit	rdfs:label	obsolete: plant derived distilled spirit@en
ERROR	misused_obsolete_label	obsolete: distilled spirits	rdfs:label	obsolete: distilled spirits@en
ERROR	misused_obsolete_label	obsolete: beverage alcohol	rdfs:label	obsolete: beverage alcohol@en
ERROR	misused_obsolete_label	obsolete: spirits	rdfs:label	obsolete: spirits@en
ERROR	misused_obsolete_label	obsolete: beverage (alcoholic, distilled)	rdfs:label	obsolete: beverage (alcoholic, distilled)@en
ERROR	multiple_labels	wine by region	rdfs:label	grape wine by region@en
ERROR	multiple_labels	wine by region	rdfs:label	wine by region@en
ERROR	multiple_labels	river tamarind pod	rdfs:label	river tamarind pod@en
ERROR	multiple_labels	river tamarind pod	rdfs:label	river tamarind pod (whole)@en
ERROR	multiple_labels	Spanish wine production framework	rdfs:label	Spanish wine production framework@en
ERROR	multiple_labels	Spanish wine production framework	rdfs:label	spanish wine production framework@en
ERROR	multiple_labels	table wine (EU standard)	rdfs:label	Table Wine (deprecated EU standard)@en
ERROR	multiple_labels	table wine (EU standard)	rdfs:label	table wine (EU standard)@en
ERROR	multiple_labels	convetional maceration	rdfs:label	conventional maceration@en
ERROR	multiple_labels	convetional maceration	rdfs:label	convetional maceration@en
ERROR	multiple_labels	lemon-flavored beverage mix dry	rdfs:label	lemon-flavored beverage mix (dry)@en
ERROR	multiple_labels	lemon-flavored beverage mix dry	rdfs:label	lemon-flavored beverage mix dry@en
ERROR	multiple_labels	konjacu tuber (whole, raw)	rdfs:label	konjacu tuber (whole)@en
ERROR	multiple_labels	konjacu tuber (whole, raw)	rdfs:label	konjacu tuber (whole, raw)@en
ERROR	multiple_labels	low alcoholic beverage, 3-5% alcohol	rdfs:label	low alcoholic beverage (3-5% alcohol)@en
ERROR	multiple_labels	low alcoholic beverage, 3-5% alcohol	rdfs:label	low alcoholic beverage, 3-5% alcohol@en
ERROR	multiple_labels	prune (whole)	rdfs:label	prune (whole)@en
ERROR	multiple_labels	prune (whole)	rdfs:label	prune (whole, dehydrated)@en
ERROR	multiple_labels	fruit-flavored beverage carbonated	rdfs:label	fruit-flavored beverage (carbonated)@en
ERROR	multiple_labels	fruit-flavored beverage carbonated	rdfs:label	fruit-flavored beverage carbonated@en
ERROR	multiple_labels	mullet roe salted air-dried	rdfs:label	mullet roe (salted, air-dried)@en
ERROR	multiple_labels	mullet roe salted air-dried	rdfs:label	mullet roe salted air-dried@en
ERROR	multiple_labels	chicken-flavored bouillon (powdered or granulated)	rdfs:label	chicken-flavored bouillon (powdered or granulated)@en
ERROR	multiple_labels	chicken-flavored bouillon (powdered or granulated)	rdfs:label	chicken-flavored bouillon powdered or granulated@en
ERROR	multiple_labels	honey cake (sliced, reduced-salt)	rdfs:label	honey cake (sliced, reduced-salt)@en
ERROR	multiple_labels	honey cake (sliced, reduced-salt)	rdfs:label	honey cake sliced reduced-salt@en
ERROR	multiple_labels	grape drink (carbonated, artificially flavored and colored, vitamin-fortified)	rdfs:label	grape drink (carbonated, artificially flavored and colored, vitamin-fortified)@en
ERROR	multiple_labels	grape drink (carbonated, artificially flavored and colored, vitamin-fortified)	rdfs:label	grape drink carbonated artificially flavored and colored vitamin-fortified@en
ERROR	multiple_labels	fruit juice drink vitamin-fortified noncarbonated	rdfs:label	fruit juice drink (vitamin-fortified, noncarbonated)@en
ERROR	multiple_labels	fruit juice drink vitamin-fortified noncarbonated	rdfs:label	fruit juice drink vitamin-fortified noncarbonated@en
ERROR	multiple_labels	soybean soda (vitamin-fortified, carbonated)	rdfs:label	soybean soda (vitamin-fortified, carbonated)@en
ERROR	multiple_labels	soybean soda (vitamin-fortified, carbonated)	rdfs:label	soybean soda vitamin-fortified carbonated@en
ERROR	multiple_labels	beverage (carbonated, amino acid-fortified)	rdfs:label	beverage (carbonated, amino acid-fortified)@en
ERROR	multiple_labels	beverage (carbonated, amino acid-fortified)	rdfs:label	beverage carbonated amino acid-fortified@en
ERROR	multiple_labels	lemon-flavored beverage base naturally and artificially sweetened	rdfs:label	lemon-flavored beverage base (naturally and artificially sweetened)@en
ERROR	multiple_labels	lemon-flavored beverage base naturally and artificially sweetened	rdfs:label	lemon-flavored beverage base naturally and artificially sweetened@en
ERROR	multiple_labels	roll (butter-flavored, enriched)	rdfs:label	roll (butter-flavored, enriched)@en
ERROR	multiple_labels	roll (butter-flavored, enriched)	rdfs:label	roll butter-flavored enriched@en
ERROR	multiple_labels	pepper-type carbonated beverage (decaffeinated)	rdfs:label	pepper-type carbonated beverage (decaffeinated)@en
ERROR	multiple_labels	pepper-type carbonated beverage (decaffeinated)	rdfs:label	pepper-type carbonated beverage decaffeinated@en
ERROR	multiple_labels	coffee-type beverage base (caffeine-free)	rdfs:label	coffee-type beverage base (caffeine-free)@en
ERROR	multiple_labels	coffee-type beverage base (caffeine-free)	rdfs:label	coffee-type beverage base, caffeine-free@en
ERROR	multiple_labels	pasteurized process cheese (artificially colored, spray-dried)	rdfs:label	pasteurized process cheese (artificially colored, spray-dried)@en
ERROR	multiple_labels	pasteurized process cheese (artificially colored, spray-dried)	rdfs:label	pasteurized process cheese artificially colored spray-dried@en
ERROR	multiple_labels	cream of wheat artificially caramel malt-flavored dry instant	rdfs:label	cream of wheat (artificially caramel malt-flavored, dry, instant)@en
ERROR	multiple_labels	cream of wheat artificially caramel malt-flavored dry instant	rdfs:label	cream of wheat artificially caramel malt-flavored dry instant@en
ERROR	multiple_labels	bread (high fiber, reduced-calorie)	rdfs:label	bread (high fiber, reduced-calorie)@en
ERROR	multiple_labels	bread (high fiber, reduced-calorie)	rdfs:label	bread high fiber reduced-calorie@en
ERROR	multiple_labels	chocolate-flavored beverage mix dry instant	rdfs:label	chocolate-flavored beverage mix (dry, instant)@en
ERROR	multiple_labels	chocolate-flavored beverage mix dry instant	rdfs:label	chocolate-flavored beverage mix dry instant@en
