Level	Rule Name	Subject	Property	Value
ERROR	missing_label	OBA:1000049	rdfs:label	
ERROR	missing_label	PATO:0000921	rdfs:label	
WARN	missing_definition	OBA:1000049	IAO:0000115	
WARN	missing_definition	PATO:0000921	IAO:0000115	
WARN	missing_definition	testis length	IAO:0000115	
WARN	missing_definition	right testis length	IAO:0000115	
WARN	missing_definition	left testis length	IAO:0000115	
WARN	missing_definition	gonad length	IAO:0000115	
WARN	missing_definition	ulna width	IAO:0000115	
INFO	missing_superclass	OBA:1000049	rdfs:subClassOf	
INFO	missing_superclass	calcaneus length	rdfs:subClassOf	
