Level	Rule Name	Subject	Property	Value
WARN	missing_definition	obo:GALLONT_0000000	IAO:0000115	
WARN	missing_definition	obo:GALLONT_0000039	IAO:0000115	
WARN	missing_definition	obo:GALLONT_0000040	IAO:0000115	
WARN	missing_definition	obo:GALLONT_0000042	IAO:0000115	
WARN	missing_definition	obo:GALLONT_0000043	IAO:0000115	
WARN	missing_definition	obo:GALLONT_0000044	IAO:0000115	
WARN	missing_definition	obo:GALLONT_0000045	IAO:0000115	
WARN	missing_definition	obo:GALLONT_0000046	IAO:0000115	
WARN	missing_definition	obo:GALLONT_0000047	IAO:0000115	
WARN	missing_obsolete_label	obo:GALLONT_0000001	rdfs:label	DEPRECATED plant gall@en
