Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	test drug minimum concentration	IAO:0000115	This is the minimum concentration of a drug applied during an an assay.@en
ERROR	duplicate_definition	test drug minimum concentration specification	IAO:0000115	This is the minimum concentration of a drug applied during an an assay.@en
ERROR	duplicate_definition	tube containing media or preservative	IAO:0000600	<NOTE: there are different types of tubes with coloured caps indicating different preservatives etc.@en>
ERROR	duplicate_definition	tube containing antimicrobial	IAO:0000600	<NOTE: there are different types of tubes with coloured caps indicating different preservatives etc.@en>
ERROR	duplicate_definition	specimen collection location - city or region	IAO:0000600	Note that this is expressed in a particular format in some standards.@en
ERROR	duplicate_definition	specimen collection location - state/province/territory/region	IAO:0000600	Note that this is expressed in a particular format in some standards.@en
ERROR	duplicate_definition	subject disease	IAO:0000115	Name of disease in a subject that is related to a given investigation, study and/or specimen.@en
ERROR	duplicate_definition	subject disease specification	IAO:0000115	Name of disease in a subject that is related to a given investigation, study and/or specimen.@en
ERROR	duplicate_definition	SourceCountry	IAO:0000115	Country where isolate was collected@en
ERROR	duplicate_definition	PulseNet:SourceCountry	IAO:0000115	Country where isolate was collected@en
ERROR	duplicate_definition	contig L50	IAO:0000115	Contig L50 is the number of contigs equal to or longer than contig N50. The length of the assembly itself is used in the calculation.@en
ERROR	duplicate_definition	contig LG50	IAO:0000115	Contig L50 is the number of contigs equal to or longer than contig N50. The length of the assembly itself is used in the calculation.@en
ERROR	duplicate_definition	travel destination	IAO:0000115	A travel destination is a destination city (or populated place of some scale) which a given human has travelled to on a particular trip.@en
ERROR	duplicate_definition	travel destination specification	IAO:0000115	A travel destination is a destination city (or populated place of some scale) which a given human has travelled to on a particular trip.@en
ERROR	duplicate_definition	subject age	IAO:0000115	A subject age is the age since birth of a given organism that is involved in an investigation or study at a given time.@en
ERROR	duplicate_definition	subject age specification	IAO:0000115	A subject age is the age since birth of a given organism that is involved in an investigation or study at a given time.@en
ERROR	duplicate_definition	specimen source substance	IAO:0000115	A specimen source substance is an organism substance or food product or environmental substance from which the specimen was extracted.@en
ERROR	duplicate_definition	specimen source substance specification	IAO:0000115	A specimen source substance is an organism substance or food product or environmental substance from which the specimen was extracted.@en
ERROR	duplicate_definition	MIC dilution measurement datum	IAO:0000115	A MIC test measurement resulting from a laboratory dilution method.@en
ERROR	duplicate_definition	MIC dilution measurement specification	IAO:0000115	A MIC test measurement resulting from a laboratory dilution method.@en
ERROR	duplicate_definition	MIC diffusion measurement datum	IAO:0000115	A MIC test measurement resulting from a laboratory diffusion method.@en
ERROR	duplicate_definition	MIC diffusion measurement specification	IAO:0000115	A MIC test measurement resulting from a laboratory diffusion method.@en
ERROR	duplicate_definition	draft WGS lab bioinformatics process record	IAO:0000115	@en
ERROR	duplicate_definition	draft WGS lab sequencing record	IAO:0000115	@en
ERROR	duplicate_definition	bioinformatics pipeline name	IAO:0000115	@en
ERROR	duplicate_definition	bioinformatics pipeline version	IAO:0000115	@en
ERROR	duplicate_definition	bioinformatics pipeline protocol	IAO:0000115	@en
ERROR	duplicate_definition	draft WGS lab sequencing quality metrics record	IAO:0000115	@en
ERROR	duplicate_definition	draft WGS lab assembly quality metrics record	IAO:0000115	@en
ERROR	duplicate_definition	behavioural risk factor	IAO:0000115	@en
ERROR	duplicate_definition	homeless status	IAO:0000115	@en
ERROR	duplicate_definition	drug use status	IAO:0000115	@en
ERROR	duplicate_definition	incarceration status	IAO:0000115	@en
ERROR	duplicate_definition	HIV status	IAO:0000115	@en
ERROR	duplicate_definition	HIV risk status	IAO:0000115	@en
ERROR	duplicate_definition	A.I.D.S status	IAO:0000115	@en
ERROR	duplicate_definition	drug abuse status	IAO:0000115	@en
ERROR	duplicate_definition	injection drug use status	IAO:0000115	@en
ERROR	duplicate_definition	recreational drug use status	IAO:0000115	@en
ERROR	duplicate_definition	methadone use status	IAO:0000115	@en
ERROR	duplicate_definition	substantial alcohol use/abuse status	IAO:0000115	@en
ERROR	duplicate_definition	draft sequence repository data - submission to NCBI/DDBJ	IAO:0000115	@en
ERROR	duplicate_definition	draft sequence repository data - submission to EBI	IAO:0000115	@en
ERROR	missing_label	GENEPIO:0000098	rdfs:label	
ERROR	missing_label	GENEPIO:0000099	rdfs:label	
ERROR	missing_label	GENEPIO:0000100	rdfs:label	
ERROR	missing_label	GENEPIO:0000101	rdfs:label	
ERROR	missing_label	GENEPIO:0000102	rdfs:label	
ERROR	missing_label	GENEPIO:0000116	rdfs:label	
ERROR	missing_label	GENEPIO:0001367	rdfs:label	
ERROR	missing_label	GENEPIO:0001368	rdfs:label	
ERROR	missing_label	GENEPIO:0001369	rdfs:label	
ERROR	missing_label	GENEPIO:0001370	rdfs:label	
ERROR	missing_label	GENEPIO:0001372	rdfs:label	
ERROR	missing_label	GENEPIO:0001373	rdfs:label	
ERROR	missing_label	GENEPIO:0001433	rdfs:label	
ERROR	missing_ontology_description	obo:genepio.owl	dc11:description	
