Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	GENO:0000243	IAO:0000116	Created subproperties 'approximates_sequence' and 'resolves to sequence'. Genotypes and other sequence variant artifacts are not always expected to completely specify a sequence, but rather provide some approximation based on available knowledge. The 'resolves_to_sequence' property can be used when the sequence variant artifact is able to completely resolve a sequence, and the 'approximates_sequence' property can be used when it does not. 
WARN	annotation_whitespace	GENO:0000244	IAO:0000116	Created subproperties 'approximates_sequence' and 'resolves to sequence'. Genotypes and other sequence variant artifacts are not always expected to completely specify a sequence, but rather provide some approximation based on available knowledge. The 'resolves_to_sequence' property can be used when the sequence variant artifact is able to completely resolve a sequence, and the 'approximates_sequence' property can be used when it does not. 
WARN	duplicate_label_synonym	GENO:0000017	IAO:0000118	reference sequence
WARN	duplicate_label_synonym	GENO:0000501	IAO:0000118	wild-type allele
WARN	equivalent_class_axiom_no_genus	GENO:0000960	GENO:0000251	GENO:0000481
WARN	invalid_xref	GENO:0000010	oboInOwl:hasDbXref	OBI:genetic population background information
WARN	invalid_xref	GENO:0000014	oboInOwl:hasDbXref	SO:0001023 ! allele
WARN	invalid_xref	GENO:0000019	oboInOwl:hasDbXref	perhaps not same as SO:sequence collection, as here we explicitly include features that can have an extent of zero (and SO:sequence collection is a collection of regions that have an extent of at least one)
WARN	invalid_xref	GENO:0000033	oboInOwl:hasDbXref	SO:0001506 ! variant_genome (definition of SO term here is too vague to know if has same meaning as GENO class here)
WARN	invalid_xref	GENO:0000666	oboInOwl:hasDbXref	SO:0000831 (gene member region)
WARN	invalid_xref	GENO:0000870	oboInOwl:hasDbXref	SO:0001260 ! sequence_collection
WARN	missing_definition	GENO:0000092	IAO:0000115	
WARN	missing_definition	GENO:0000113	IAO:0000115	
WARN	missing_definition	GENO:0000118	IAO:0000115	
WARN	missing_definition	GENO:0000119	IAO:0000115	
WARN	missing_definition	GENO:0000134	IAO:0000115	
WARN	missing_definition	GENO:0000135	IAO:0000115	
WARN	missing_definition	GENO:0000136	IAO:0000115	
WARN	missing_definition	GENO:0000137	IAO:0000115	
WARN	missing_definition	GENO:0000139	IAO:0000115	
WARN	missing_definition	GENO:0000140	IAO:0000115	
WARN	missing_definition	GENO:0000160	IAO:0000115	
WARN	missing_definition	GENO:0000220	IAO:0000115	
WARN	missing_definition	GENO:0000251	IAO:0000115	
WARN	missing_definition	GENO:0000252	IAO:0000115	
WARN	missing_definition	GENO:0000351	IAO:0000115	
WARN	missing_definition	GENO:0000383	IAO:0000115	
WARN	missing_definition	GENO:0000387	IAO:0000115	
WARN	missing_definition	GENO:0000391	IAO:0000115	
WARN	missing_definition	GENO:0000392	IAO:0000115	
WARN	missing_definition	GENO:0000393	IAO:0000115	
WARN	missing_definition	GENO:0000394	IAO:0000115	
WARN	missing_definition	GENO:0000458	IAO:0000115	
WARN	missing_definition	GENO:0000495	IAO:0000115	
WARN	missing_definition	GENO:0000502	IAO:0000115	
WARN	missing_definition	GENO:0000533	IAO:0000115	
WARN	missing_definition	GENO:0000575	IAO:0000115	
WARN	missing_definition	GENO:0000604	IAO:0000115	
WARN	missing_definition	GENO:0000605	IAO:0000115	
WARN	missing_definition	GENO:0000606	IAO:0000115	
WARN	missing_definition	GENO:0000616	IAO:0000115	
WARN	missing_definition	GENO:0000618	IAO:0000115	
WARN	missing_definition	GENO:0000619	IAO:0000115	
WARN	missing_definition	GENO:0000620	IAO:0000115	
WARN	missing_definition	GENO:0000621	IAO:0000115	
WARN	missing_definition	GENO:0000622	IAO:0000115	
WARN	missing_definition	GENO:0000623	IAO:0000115	
WARN	missing_definition	GENO:0000624	IAO:0000115	
WARN	missing_definition	GENO:0000625	IAO:0000115	
WARN	missing_definition	GENO:0000626	IAO:0000115	
WARN	missing_definition	GENO:0000632	IAO:0000115	
WARN	missing_definition	GENO:0000633	IAO:0000115	
WARN	missing_definition	GENO:0000640	IAO:0000115	
WARN	missing_definition	GENO:0000650	IAO:0000115	
WARN	missing_definition	GENO:0000651	IAO:0000115	
WARN	missing_definition	GENO:0000655	IAO:0000115	
WARN	missing_definition	GENO:0000708	IAO:0000115	
WARN	missing_definition	GENO:0000719	IAO:0000115	
WARN	missing_definition	GENO:0000720	IAO:0000115	
WARN	missing_definition	GENO:0000721	IAO:0000115	
WARN	missing_definition	GENO:0000722	IAO:0000115	
WARN	missing_definition	GENO:0000740	IAO:0000115	
WARN	missing_definition	GENO:0000743	IAO:0000115	
WARN	missing_definition	GENO:0000761	IAO:0000115	
WARN	missing_definition	GENO:0000770	IAO:0000115	
WARN	missing_definition	GENO:0000779	IAO:0000115	
WARN	missing_definition	GENO:0000780	IAO:0000115	
WARN	missing_definition	GENO:0000781	IAO:0000115	
WARN	missing_definition	GENO:0000782	IAO:0000115	
WARN	missing_definition	GENO:0000790	IAO:0000115	
WARN	missing_definition	GENO:0000791	IAO:0000115	
WARN	missing_definition	GENO:0000793	IAO:0000115	
WARN	missing_definition	GENO:0000794	IAO:0000115	
WARN	missing_definition	GENO:0000833	IAO:0000115	
WARN	missing_definition	GENO:0000839	IAO:0000115	
WARN	missing_definition	GENO:0000840	IAO:0000115	
WARN	missing_definition	GENO:0000841	IAO:0000115	
WARN	missing_definition	GENO:0000843	IAO:0000115	
WARN	missing_definition	GENO:0000844	IAO:0000115	
WARN	missing_definition	GENO:0000845	IAO:0000115	
WARN	missing_definition	GENO:0000849	IAO:0000115	
WARN	missing_definition	GENO:0000867	IAO:0000115	
WARN	missing_definition	GENO:0000873	IAO:0000115	
WARN	missing_definition	GENO:0000874	IAO:0000115	
WARN	missing_definition	GENO:0000887	IAO:0000115	
WARN	missing_definition	GENO:0000905	IAO:0000115	
WARN	missing_definition	GENO:0000906	IAO:0000115	
WARN	missing_definition	GENO:0000909	IAO:0000115	
WARN	missing_definition	GENO:0000910	IAO:0000115	
WARN	missing_definition	GENO:0000911	IAO:0000115	
