Level	Rule Name	Subject	Property	Value
INFO	missing_superclass	alpha-glucoside transport	rdfs:subClassOf	
INFO	missing_superclass	regulation of DNA recombination	rdfs:subClassOf	
INFO	missing_superclass	regulation of mitotic recombination	rdfs:subClassOf	
INFO	missing_superclass	maltose metabolic process	rdfs:subClassOf	
INFO	missing_superclass	maltose biosynthetic process	rdfs:subClassOf	
INFO	missing_superclass	maltose catabolic process	rdfs:subClassOf	
INFO	missing_superclass	acyl binding	rdfs:subClassOf	
INFO	missing_superclass	very long-chain fatty acid metabolic process	rdfs:subClassOf	
INFO	missing_superclass	transition metal ion transport	rdfs:subClassOf	
INFO	missing_superclass	urea cycle	rdfs:subClassOf	
INFO	missing_superclass	citrulline metabolic process	rdfs:subClassOf	
INFO	missing_superclass	argininosuccinate metabolic process	rdfs:subClassOf	
INFO	missing_superclass	ribosomal large subunit export from nucleus	rdfs:subClassOf	
INFO	missing_superclass	ribosomal small subunit export from nucleus	rdfs:subClassOf	
INFO	missing_superclass	fatty-acyl-CoA binding	rdfs:subClassOf	
INFO	missing_superclass	regulation of cyclin-dependent protein serine/threonine kinase activity	rdfs:subClassOf	
INFO	missing_superclass	G1/S transition of mitotic cell cycle	rdfs:subClassOf	
INFO	missing_superclass	G2/M transition of mitotic cell cycle	rdfs:subClassOf	
INFO	missing_superclass	sulfur amino acid metabolic process	rdfs:subClassOf	
INFO	missing_superclass	sulfur amino acid biosynthetic process	rdfs:subClassOf	
INFO	missing_superclass	sulfur amino acid catabolic process	rdfs:subClassOf	
INFO	missing_superclass	sulfur amino acid transmembrane transporter activity	rdfs:subClassOf	
INFO	missing_superclass	sulfur amino acid transport	rdfs:subClassOf	
INFO	missing_superclass	histidine biosynthetic process	rdfs:subClassOf	
INFO	missing_superclass	negative regulation of transcription by RNA polymerase II	rdfs:subClassOf	
INFO	missing_superclass	nuclear ubiquitin ligase complex	rdfs:subClassOf	
INFO	missing_superclass	cytoplasmic ubiquitin ligase complex	rdfs:subClassOf	
INFO	missing_superclass	tryptophan biosynthetic process	rdfs:subClassOf	
INFO	missing_superclass	cytoplasmic exosome (RNase complex)	rdfs:subClassOf	
INFO	missing_superclass	cell wall integrity MAPK cascade	rdfs:subClassOf	
INFO	missing_superclass	meiotic spindle organization	rdfs:subClassOf	
INFO	missing_superclass	vacuolar proton-transporting V-type ATPase, V0 domain	rdfs:subClassOf	
INFO	missing_superclass	oxaloacetate secondary active transmembrane transporter activity	rdfs:subClassOf	
INFO	missing_superclass	cytoplasmic chromosome	rdfs:subClassOf	
INFO	missing_superclass	allantoin metabolic process	rdfs:subClassOf	
INFO	missing_superclass	peptidoglycan metabolic process	rdfs:subClassOf	
INFO	missing_superclass	polysaccharide catabolic process	rdfs:subClassOf	
INFO	missing_superclass	nuclear division	rdfs:subClassOf	
INFO	missing_superclass	mitotic cytokinesis	rdfs:subClassOf	
INFO	missing_superclass	magnesium ion binding	rdfs:subClassOf	
INFO	missing_superclass	RNA fragment catabolic process	rdfs:subClassOf	
INFO	missing_superclass	response to superoxide	rdfs:subClassOf	
INFO	missing_superclass	response to singlet oxygen	rdfs:subClassOf	
INFO	missing_superclass	response to oxygen radical	rdfs:subClassOf	
INFO	missing_superclass	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	rdfs:subClassOf	
INFO	missing_superclass	plastid large ribosomal subunit	rdfs:subClassOf	
INFO	missing_superclass	plastid small ribosomal subunit	rdfs:subClassOf	
INFO	missing_superclass	organellar ribosome	rdfs:subClassOf	
INFO	missing_superclass	organellar small ribosomal subunit	rdfs:subClassOf	
INFO	missing_superclass	organellar large ribosomal subunit	rdfs:subClassOf	
INFO	missing_superclass	sulfite transport	rdfs:subClassOf	
INFO	missing_superclass	negative regulation of transposition, DNA-mediated	rdfs:subClassOf	
INFO	missing_superclass	positive regulation of transposition, DNA-mediated	rdfs:subClassOf	
INFO	missing_superclass	regulation of transposition, DNA-mediated	rdfs:subClassOf	
INFO	missing_superclass	regulation of alternative mRNA splicing, via spliceosome	rdfs:subClassOf	
INFO	missing_superclass	regulation of histone H3-K36 methylation	rdfs:subClassOf	
INFO	missing_superclass	negative regulation of histone H3-K36 methylation	rdfs:subClassOf	
INFO	missing_superclass	positive regulation of histone H3-K36 methylation	rdfs:subClassOf	
INFO	missing_superclass	RNA polymerase IV complex	rdfs:subClassOf	
INFO	missing_superclass	RNA polymerase V complex	rdfs:subClassOf	
INFO	missing_superclass	mitophagy	rdfs:subClassOf	
INFO	missing_superclass	plastid-encoded plastid RNA polymerase complex	rdfs:subClassOf	
INFO	missing_superclass	THO complex part of transcription export complex	rdfs:subClassOf	
INFO	missing_superclass	exonucleolytic trimming involved in rRNA processing	rdfs:subClassOf	
INFO	missing_superclass	endonucleolytic cleavage involved in rRNA processing	rdfs:subClassOf	
INFO	missing_superclass	nucleotide-excision repair, DNA duplex unwinding	rdfs:subClassOf	
INFO	missing_superclass	DNA synthesis involved in DNA repair	rdfs:subClassOf	
INFO	missing_superclass	gene conversion at mating-type locus, DNA repair synthesis	rdfs:subClassOf	
INFO	missing_superclass	double-strand break repair via single-strand annealing, removal of nonhomologous ends	rdfs:subClassOf	
INFO	missing_superclass	karyogamy involved in conjugation with cellular fusion	rdfs:subClassOf	
INFO	missing_superclass	karyogamy involved in conjugation with mutual genetic exchange	rdfs:subClassOf	
INFO	missing_superclass	cell morphogenesis involved in conjugation with cellular fusion	rdfs:subClassOf	
INFO	missing_superclass	cell morphogenesis involved in conjugation with mutual genetic exchange	rdfs:subClassOf	
INFO	missing_superclass	response to pheromone regulating pheromone-induced unidirectional conjugation	rdfs:subClassOf	
INFO	missing_superclass	cell morphogenesis involved in conjugation	rdfs:subClassOf	
INFO	missing_superclass	chromosome, centromeric region	rdfs:subClassOf	
INFO	missing_superclass	condensed chromosome, centromeric region	rdfs:subClassOf	
INFO	missing_superclass	chromosome, telomeric region	rdfs:subClassOf	
INFO	missing_superclass	nuclear telomere cap complex	rdfs:subClassOf	
INFO	missing_superclass	condensed nuclear chromosome	rdfs:subClassOf	
INFO	missing_superclass	regulation of arginine metabolic process	rdfs:subClassOf	
INFO	missing_superclass	cell morphogenesis	rdfs:subClassOf	
INFO	missing_superclass	cell morphogenesis involved in differentiation	rdfs:subClassOf	
INFO	missing_superclass	sporocarp development involved in asexual reproduction	rdfs:subClassOf	
INFO	missing_superclass	sporocarp development involved in sexual reproduction	rdfs:subClassOf	
INFO	missing_superclass	equatorial microtubule organizing center	rdfs:subClassOf	
INFO	missing_superclass	gamma-tubulin ring complex, centrosomal	rdfs:subClassOf	
INFO	missing_superclass	gamma-tubulin small complex, spindle pole body	rdfs:subClassOf	
INFO	missing_superclass	division septum	rdfs:subClassOf	
