Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	HANCESTRO:0639	oboInOwl:hasExactSynonym	Yoruba
WARN	duplicate_exact_synonym	HANCESTRO:0658	oboInOwl:hasExactSynonym	Yoruba
WARN	duplicate_exact_synonym	HANCESTRO:0668	oboInOwl:hasExactSynonym	Yoruba
WARN	duplicate_exact_synonym	HANCESTRO:0729	oboInOwl:hasExactSynonym	Yi
WARN	duplicate_exact_synonym	HANCESTRO:0751	oboInOwl:hasExactSynonym	Yi
WARN	duplicate_exact_synonym	HANCESTRO:0702	oboInOwl:hasExactSynonym	Yakut
WARN	duplicate_exact_synonym	HANCESTRO:0728	oboInOwl:hasExactSynonym	Yakut
WARN	duplicate_exact_synonym	HANCESTRO:0727	oboInOwl:hasExactSynonym	Xibo
WARN	duplicate_exact_synonym	HANCESTRO:0750	oboInOwl:hasExactSynonym	Xibo
WARN	duplicate_exact_synonym	HANCESTRO:0005	oboInOwl:hasExactSynonym	white
WARN	duplicate_exact_synonym	HANCESTRO:0590	oboInOwl:hasExactSynonym	White
WARN	duplicate_exact_synonym	HANCESTRO:0711	oboInOwl:hasExactSynonym	Uygur
WARN	duplicate_exact_synonym	HANCESTRO:0749	oboInOwl:hasExactSynonym	Uygur
WARN	duplicate_exact_synonym	HANCESTRO:0764	oboInOwl:hasExactSynonym	Tuscan
WARN	duplicate_exact_synonym	HANCESTRO:0843	oboInOwl:hasExactSynonym	Tuscan
WARN	duplicate_exact_synonym	HANCESTRO:0726	oboInOwl:hasExactSynonym	Tujia
WARN	duplicate_exact_synonym	HANCESTRO:0748	oboInOwl:hasExactSynonym	Tujia
WARN	duplicate_exact_synonym	HANCESTRO:0725	oboInOwl:hasExactSynonym	Tu
WARN	duplicate_exact_synonym	HANCESTRO:0747	oboInOwl:hasExactSynonym	Tu
WARN	duplicate_exact_synonym	HANCESTRO:0673	oboInOwl:hasExactSynonym	Surui
WARN	duplicate_exact_synonym	HANCESTRO:0682	oboInOwl:hasExactSynonym	Surui
WARN	duplicate_exact_synonym	HANCESTRO:0710	oboInOwl:hasExactSynonym	Sindhi
WARN	duplicate_exact_synonym	HANCESTRO:0800	oboInOwl:hasExactSynonym	Sindhi
WARN	duplicate_exact_synonym	HANCESTRO:0724	oboInOwl:hasExactSynonym	She
WARN	duplicate_exact_synonym	HANCESTRO:0745	oboInOwl:hasExactSynonym	She
WARN	duplicate_exact_synonym	HANCESTRO:0763	oboInOwl:hasExactSynonym	Sardinian
WARN	duplicate_exact_synonym	HANCESTRO:0839	oboInOwl:hasExactSynonym	Sardinian
WARN	duplicate_exact_synonym	HANCESTRO:0762	oboInOwl:hasExactSynonym	Russian
