Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	adult	IAO:0000115	.
ERROR	duplicate_definition	egg	IAO:0000115	.
ERROR	duplicate_definition	larva	IAO:0000115	.
ERROR	duplicate_definition	prepupa	IAO:0000115	.
ERROR	duplicate_definition	pupa	IAO:0000115	.
ERROR	deprecated_class_reference	region	rdfs:subClassOf	<http://purl.obolibrary.org/obo/HAO_0002476>
ERROR	deprecated_class_reference	region	rdfs:subClassOf	<http://purl.obolibrary.org/obo/HAO_0002480>
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/hao.owl	dc11:description	
ERROR	duplicate_label	width	rdfs:label	width
ERROR	duplicate_label	width	rdfs:label	width
ERROR	duplicate_label	velum	rdfs:label	velum
ERROR	duplicate_label	velum	rdfs:label	velum
ERROR	duplicate_label	thorax	rdfs:label	thorax
ERROR	duplicate_label	thorax	rdfs:label	thorax
ERROR	duplicate_label	T9	rdfs:label	T9
ERROR	duplicate_label	T9	rdfs:label	T9
ERROR	duplicate_label	T9	rdfs:label	T9
ERROR	duplicate_label	syntergum	rdfs:label	syntergum
ERROR	duplicate_label	syntergum	rdfs:label	syntergum
ERROR	duplicate_label	subantennal groove	rdfs:label	subantennal groove
ERROR	duplicate_label	subantennal groove	rdfs:label	subantennal groove
ERROR	duplicate_label	sternite	rdfs:label	sternite
ERROR	duplicate_label	sternite	rdfs:label	sternite
ERROR	duplicate_label	speculum	rdfs:label	speculum
ERROR	duplicate_label	speculum	rdfs:label	speculum
ERROR	duplicate_label	seta	rdfs:label	seta
ERROR	duplicate_label	seta	rdfs:label	seta
ERROR	duplicate_label	salivarial orifice	rdfs:label	salivarial orifice
ERROR	duplicate_label	salivarial orifice	rdfs:label	salivarial orifice
ERROR	duplicate_label	propodeum	rdfs:label	propodeum
ERROR	duplicate_label	propodeum	rdfs:label	propodeum
ERROR	duplicate_label	propodeum	rdfs:label	propodeum
ERROR	duplicate_label	orbital carina	rdfs:label	orbital carina
ERROR	duplicate_label	orbital carina	rdfs:label	orbital carina
ERROR	duplicate_label	odontoidea	rdfs:label	odontoidea
ERROR	duplicate_label	odontoidea	rdfs:label	odontoidea
ERROR	duplicate_label	occipital margin	rdfs:label	occipital margin
ERROR	duplicate_label	occipital margin	rdfs:label	occipital margin
ERROR	duplicate_label	mucro	rdfs:label	mucro
ERROR	duplicate_label	mucro	rdfs:label	mucro
ERROR	duplicate_label	metepimeron	rdfs:label	metepimeron
ERROR	duplicate_label	metepimeron	rdfs:label	metepimeron
ERROR	duplicate_label	metasternum	rdfs:label	metasternum
ERROR	duplicate_label	metasternum	rdfs:label	metasternum
ERROR	duplicate_label	metasomal spiracle	rdfs:label	metasomal spiracle
ERROR	duplicate_label	metasomal spiracle	rdfs:label	metasomal spiracle
ERROR	duplicate_label	metapostnotum	rdfs:label	metapostnotum
ERROR	duplicate_label	metapostnotum	rdfs:label	metapostnotum
ERROR	duplicate_label	metapleuron	rdfs:label	metapleuron
ERROR	duplicate_label	metapleuron	rdfs:label	metapleuron
ERROR	duplicate_label	metapleuron	rdfs:label	metapleuron
ERROR	duplicate_label	metapleuron	rdfs:label	metapleuron
ERROR	duplicate_label	metapleuron	rdfs:label	metapleuron
ERROR	duplicate_label	metapleuron	rdfs:label	metapleuron
ERROR	duplicate_label	metapleural sulcus	rdfs:label	metapleural sulcus
ERROR	duplicate_label	metapleural sulcus	rdfs:label	metapleural sulcus
ERROR	duplicate_label	metapectus	rdfs:label	metapectus
ERROR	duplicate_label	metapectus	rdfs:label	metapectus
ERROR	duplicate_label	metapectus	rdfs:label	metapectus
ERROR	duplicate_label	mesosoma height	rdfs:label	mesosoma height
ERROR	duplicate_label	mesosoma height	rdfs:label	mesosoma height
ERROR	duplicate_label	mesopleuron	rdfs:label	mesopleuron
ERROR	duplicate_label	mesopleuron	rdfs:label	mesopleuron
ERROR	duplicate_label	mesopleural pit	rdfs:label	mesopleural pit
ERROR	duplicate_label	mesopleural pit	rdfs:label	mesopleural pit
ERROR	duplicate_label	mesepisternum	rdfs:label	mesepisternum
ERROR	duplicate_label	mesepisternum	rdfs:label	mesepisternum
ERROR	duplicate_label	mediotergite	rdfs:label	mediotergite
ERROR	duplicate_label	mediotergite	rdfs:label	mediotergite
ERROR	duplicate_label	margin	rdfs:label	margin
ERROR	duplicate_label	margin	rdfs:label	margin
ERROR	duplicate_label	mandibular condyle	rdfs:label	mandibular condyle
ERROR	duplicate_label	mandibular condyle	rdfs:label	mandibular condyle
ERROR	duplicate_label	ligula	rdfs:label	ligula
ERROR	duplicate_label	ligula	rdfs:label	ligula
