Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	obo:hom.owl	dc11:description	
ERROR	missing_ontology_license	obo:hom.owl	dc:license	
ERROR	missing_ontology_title	obo:hom.owl	dc11:title	
WARN	annotation_whitespace	many to many homology	oboInOwl:hasExactSynonym	<many:many homology >
WARN	invalid_xref	protein structural homology	oboInOwl:hasDbXref	<MeSH:Structural Homology, Protein>
WARN	invalid_xref	chromosomal homology	oboInOwl:hasDbXref	<MeSH:Chromosome Pairing>
WARN	missing_obsolete_label	allogeny	rdfs:label	allogeny
INFO	lowercase_definition	pro-orthology	IAO:0000115	<1:many orthology that involves a gene in species A and one of its ortholog in species B, when duplications more recent than the species split have occurred in species B but not in species A.>
INFO	lowercase_definition	semi-orthology	IAO:0000115	<1:many orthology that involves a gene in species A and its ortholog in species B, when duplications more recent than the species split have occurred in species A but not in species B.>
INFO	missing_superclass	similarity	rdfs:subClassOf	
