Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	HP:0000729	oboInOwl:hasExactSynonym	ASD
WARN	duplicate_exact_synonym	HP:0001631	oboInOwl:hasExactSynonym	ASD
WARN	duplicate_label_synonym	HP:0000002	oboInOwl:hasExactSynonym	Abnormality of body height
WARN	duplicate_label_synonym	HP:0000012	oboInOwl:hasExactSynonym	Urinary urgency
WARN	duplicate_label_synonym	HP:0000040	oboInOwl:hasExactSynonym	Long penis
WARN	duplicate_label_synonym	HP:0000042	oboInOwl:hasExactSynonym	Absent external genitalia
WARN	duplicate_label_synonym	HP:0000077	oboInOwl:hasExactSynonym	Abnormality of the kidney
WARN	duplicate_label_synonym	HP:0000080	oboInOwl:hasExactSynonym	Abnormality of reproductive system physiology
WARN	duplicate_label_synonym	HP:0000085	oboInOwl:hasExactSynonym	Horseshoe kidney
WARN	duplicate_label_synonym	HP:0000098	oboInOwl:hasExactSynonym	Tall stature
WARN	duplicate_label_synonym	HP:0000105	oboInOwl:hasExactSynonym	Enlarged kidney
WARN	duplicate_label_synonym	HP:0000130	oboInOwl:hasExactSynonym	Abnormality of the uterus
WARN	duplicate_label_synonym	HP:0000137	oboInOwl:hasExactSynonym	Abnormality of the ovary
WARN	duplicate_label_synonym	HP:0000138	oboInOwl:hasExactSynonym	Ovarian cyst
WARN	duplicate_label_synonym	HP:0000140	oboInOwl:hasExactSynonym	Abnormality of the menstrual cycle
WARN	duplicate_label_synonym	HP:0000144	oboInOwl:hasExactSynonym	Decreased fertility
WARN	duplicate_label_synonym	HP:0000152	oboInOwl:hasExactSynonym	Abnormality of head or neck
WARN	duplicate_label_synonym	HP:0000153	oboInOwl:hasExactSynonym	Abnormality of the mouth
WARN	duplicate_label_synonym	HP:0000154	oboInOwl:hasExactSynonym	Wide mouth
WARN	duplicate_label_synonym	HP:0000157	oboInOwl:hasExactSynonym	Abnormality of the tongue
WARN	duplicate_label_synonym	HP:0000160	oboInOwl:hasExactSynonym	Narrow mouth
WARN	duplicate_label_synonym	HP:0000175	oboInOwl:hasExactSynonym	Cleft palate
WARN	duplicate_label_synonym	HP:0000177	oboInOwl:hasExactSynonym	Abnormality of upper lip
WARN	duplicate_label_synonym	HP:0000178	oboInOwl:hasExactSynonym	Abnormality of lower lip
WARN	duplicate_label_synonym	HP:0000182	oboInOwl:hasExactSynonym	Movement abnormality of the tongue
WARN	duplicate_label_synonym	HP:0000183	oboInOwl:hasExactSynonym	Difficulty in tongue movements
WARN	duplicate_label_synonym	HP:0000188	oboInOwl:hasExactSynonym	Short upper lip
WARN	duplicate_label_synonym	HP:0000189	oboInOwl:hasExactSynonym	Narrow palate
WARN	duplicate_label_synonym	HP:0000194	oboInOwl:hasExactSynonym	Open mouth
WARN	duplicate_label_synonym	HP:0000204	oboInOwl:hasExactSynonym	Cleft upper lip
WARN	duplicate_label_synonym	HP:0000205	oboInOwl:hasExactSynonym	Pursed lips
WARN	duplicate_label_synonym	HP:0000207	oboInOwl:hasExactSynonym	Triangular mouth
WARN	duplicate_label_synonym	HP:0000218	oboInOwl:hasExactSynonym	High palate
WARN	duplicate_label_synonym	HP:0000223	oboInOwl:hasExactSynonym	Abnormality of taste sensation
WARN	duplicate_label_synonym	HP:0000234	oboInOwl:hasExactSynonym	Abnormality of the head
