Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	HsapDv:0000089	rdfs:label	young adult stage
ERROR	duplicate_label	HsapDv:0000266	rdfs:label	young adult stage
ERROR	duplicate_label	HsapDv:0000092	rdfs:label	middle aged stage
ERROR	duplicate_label	HsapDv:0000267	rdfs:label	middle aged stage
ERROR	duplicate_label	HsapDv:0000083	rdfs:label	infant stage
ERROR	duplicate_label	HsapDv:0000261	rdfs:label	infant stage
ERROR	duplicate_label	HsapDv:0000087	rdfs:label	adult stage
ERROR	duplicate_label	HsapDv:0000258	rdfs:label	adult stage
ERROR	duplicate_label	HsapDv:0000174	rdfs:label	1-month-old stage
ERROR	duplicate_label	HsapDv:0000273	rdfs:label	1-month-old stage
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/hsapdv.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/hsapdv.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/hsapdv.owl	dc:title	
WARN	duplicate_exact_synonym	HsapDv:0000008	oboInOwl:hasExactSynonym	CS04
WARN	duplicate_exact_synonym	HsapDv:0000009	oboInOwl:hasExactSynonym	CS04
WARN	missing_obsolete_label	HsapDv:0000004	rdfs:label	cleavage stage
WARN	missing_obsolete_label	HsapDv:0000080	rdfs:label	immature stage
WARN	missing_obsolete_label	HsapDv:0000081	rdfs:label	child stage
WARN	missing_obsolete_label	HsapDv:0000082	rdfs:label	newborn stage
WARN	missing_obsolete_label	HsapDv:0000083	rdfs:label	infant stage
WARN	missing_obsolete_label	HsapDv:0000084	rdfs:label	2-5 year-old child stage
WARN	missing_obsolete_label	HsapDv:0000085	rdfs:label	6-12 year-old child stage
WARN	missing_obsolete_label	HsapDv:0000086	rdfs:label	adolescent stage
WARN	missing_obsolete_label	HsapDv:0000087	rdfs:label	adult stage
WARN	missing_obsolete_label	HsapDv:0000088	rdfs:label	early adulthood stage
WARN	missing_obsolete_label	HsapDv:0000089	rdfs:label	young adult stage
WARN	missing_obsolete_label	HsapDv:0000090	rdfs:label	25-44 year-old stage
WARN	missing_obsolete_label	HsapDv:0000091	rdfs:label	late adulthood stage
WARN	missing_obsolete_label	HsapDv:0000092	rdfs:label	middle aged stage
WARN	missing_obsolete_label	HsapDv:0000093	rdfs:label	aged stage
WARN	missing_obsolete_label	HsapDv:0000094	rdfs:label	65-79 year-old stage
WARN	missing_obsolete_label	HsapDv:0000174	rdfs:label	1-month-old stage
WARN	missing_obsolete_label	HsapDv:0000204	rdfs:label	mature stage
WARN	missing_obsolete_label	HsapDv:0000235	rdfs:label	first decade stage
WARN	missing_obsolete_label	HsapDv:0000236	rdfs:label	second decade stage
WARN	missing_obsolete_label	HsapDv:0000256	rdfs:label	under-1-year-old stage
WARN	missing_subset_declaration	obo:hsapdv#granular_stage	rdfs:subPropertyOf	
INFO	missing_superclass	HsapDv:0000000	rdfs:subClassOf	
