IRI	Label	Issue
http://purl.obolibrary.org/obo/HSO_0000006	issubspeciesof	not an RO property
http://purl.obolibrary.org/obo/HSO_0000007	isserotypeof	not an RO property
http://purl.obolibrary.org/obo/HSO_0000067	has datum	not an RO property
http://purl.obolibrary.org/obo/HSO_0000068	has specimen datum	not an RO property
http://purl.obolibrary.org/obo/HSO_0000069	has matrix type	not an RO property
http://purl.obolibrary.org/obo/HSO_0000242	sampled from	not an RO property
http://purl.obolibrary.org/obo/HSO_0000243	sampled from anatomical entity	not an RO property
http://purl.obolibrary.org/obo/HSO_0000244	sampled from organism	not an RO property
http://purl.obolibrary.org/obo/HSO_0000251	has specimen from organism type	not an RO property
http://purl.obolibrary.org/obo/HSO_0000258	follows surveillance protocol	not an RO property
http://purl.obolibrary.org/obo/HSO_0000259	excuted in surveillance activity	not an RO property
http://purl.obolibrary.org/obo/HSO_0000262	has legal basis	not an RO property
http://purl.obolibrary.org/obo/HSO_0000263	is legal basis of	not an RO property
http://purl.obolibrary.org/obo/HSO_0000266	has surveillance objective	not an RO property
http://purl.obolibrary.org/obo/HSO_0000267	has surveillance purpose	not an RO property
http://purl.obolibrary.org/obo/HSO_0000285	has surveillance actions	not an RO property
http://purl.obolibrary.org/obo/HSO_0000286	has sampling design	not an RO property
http://purl.obolibrary.org/obo/HSO_0000287	has reporting protocol	not an RO property
http://purl.obolibrary.org/obo/HSO_0000288	has sample collection protocol	not an RO property
http://purl.obolibrary.org/obo/HSO_0000289	has diagnostic protocol	not an RO property
http://purl.obolibrary.org/obo/HSO_0000295	has surveillance context	not an RO property
http://purl.obolibrary.org/obo/HSO_0000296	target population	not an RO property
http://purl.obolibrary.org/obo/HSO_0000297	target geographical area	not an RO property
http://purl.obolibrary.org/obo/HSO_0000298	target country	not an RO property
http://purl.obolibrary.org/obo/HSO_0000299	target host species	not an RO property
http://purl.obolibrary.org/obo/HSO_0000300	target host sector	not an RO property
http://purl.obolibrary.org/obo/HSO_0000301	target pathogen	not an RO property
http://purl.obolibrary.org/obo/HSO_0000302	susceptible species	not an RO property
http://purl.obolibrary.org/obo/HSO_0000304	applies sampling strategy	not an RO property
http://purl.obolibrary.org/obo/HSO_0000305	has sampling unit	not an RO property
http://purl.obolibrary.org/obo/HSO_0000306	has sampler type	not an RO property
http://purl.obolibrary.org/obo/HSO_0000307	sampling stage	not an RO property
http://purl.obolibrary.org/obo/HSO_0000308	sampled specimen	not an RO property
http://purl.obolibrary.org/obo/HSO_0000309	employs assay	not an RO property
http://purl.obolibrary.org/obo/HSO_0000310	has diagnostic test type	not an RO property
http://purl.obolibrary.org/obo/HSO_0000311	has assay datum	not an RO property
http://purl.obolibrary.org/obo/HSO_0000375	reporting country	not an RO property
http://purl.obolibrary.org/obo/HSO_0000360	origin country	not an RO property
http://purl.obolibrary.org/obo/HSO_0000369	contains information about	not an RO property
http://purl.obolibrary.org/obo/HSO_0000370	documented in dataset	not an RO property
http://purl.obolibrary.org/obo/HSO_0000376	available in language	not an RO property
http://purl.obolibrary.org/obo/HSO_0000377	place of exposure	not an RO property
http://purl.obolibrary.org/obo/HSO_0000378	place of origin of the problem	not an RO property
http://purl.obolibrary.org/obo/HSO_0000394	hazard status context	not an RO property
http://purl.obolibrary.org/obo/HSO_0000008	surveillance activity history item	not an RO property
http://purl.obolibrary.org/obo/HSO_0000009	surveillance activity start date	not an RO property
http://purl.obolibrary.org/obo/HSO_0000010	surveillance activity end date	not an RO property
http://purl.obolibrary.org/obo/HSO_0000074	number of units tested	not an RO property
