Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_license	https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl	dc:license	
ERROR	multiple_definitions	stage 1 elevated adult systolic blood pressure meaurement datum per ACC 2017 guidelines	IAO:0000115	"2017 Guideline for High Blood Pressure in Adults

http://www.onlinejacc.org/content/71/19/e127?_ga=2.55616109.754894593.1553089039-383350264.1553089039"
ERROR	multiple_definitions	stage 1 elevated adult systolic blood pressure meaurement datum per ACC 2017 guidelines	IAO:0000115	An elevated adult diastolic blood pressure measurement datum that is quality measurement of a diastolic blood pressure is equal to above 120 mm Hg and equal to or less than 139 mm Hg
ERROR	missing_ontology_description	https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl	dc:description	
WARN	missing_definition	diastolic blood pressure measurement datum	IAO:0000115	
WARN	missing_definition	elevated adult systolic blood pressure measurement datum	IAO:0000115	
WARN	missing_definition	adult over 18 years of age	IAO:0000115	
WARN	missing_definition	elevated blood pressure measurement datum	IAO:0000115	
WARN	missing_definition	feature gives rise to disease	IAO:0000115	
WARN	missing_definition	elevated diastolic blood pressure measurement datum	IAO:0000115	
WARN	missing_definition	elevated adult diastolic blood pressure measurement datum	IAO:0000115	
WARN	missing_definition	stage 1 elevated adult diastolic blood pressure measurement datum per 2017 guidelines	IAO:0000115	
WARN	missing_definition	stage 2 elevated adult diastolic blood pressure measurement datum per 2017 guidelines	IAO:0000115	
WARN	missing_definition	stage 2 elevated adult systolic blood pressure meaurement datum per ACC 2017 guidelines	IAO:0000115	
WARN	missing_definition	elevated adult blood pressure measurement datum per 2017 guidelines	IAO:0000115	
WARN	missing_definition	stage 1 adult blood pressure measurement datum per 2017 guidelines	IAO:0000115	
WARN	missing_definition	stage 2 adult blood pressure measurement datum per 2017 guidelines	IAO:0000115	
INFO	missing_superclass	stage 1 elevated adult systolic blood pressure meaurement datum per ACC 2017 guidelines	rdfs:subClassOf	
INFO	missing_superclass	adult over 18 years of age measurement datum	rdfs:subClassOf	
