IRI	Label	Issue
http://purl.obolibrary.org/obo/IAO_0000039	has measurement unit label	not an RO property
http://purl.obolibrary.org/obo/IAO_0000136	is about	not an RO property
http://purl.obolibrary.org/obo/IAO_0000142	mentions	not an RO property
http://purl.obolibrary.org/obo/IAO_0000143	mentioned by	not an RO property
http://purl.obolibrary.org/obo/IAO_0000219	denotes	not an RO property
http://purl.obolibrary.org/obo/IAO_0000221	is quality measurement of	not an RO property
http://purl.obolibrary.org/obo/IAO_0000235	denoted by	not an RO property
http://purl.obolibrary.org/obo/IAO_0000407	has coordinate unit label	not an RO property
http://purl.obolibrary.org/obo/IAO_0000413	is duration of	not an RO property
http://purl.obolibrary.org/obo/IAO_0000417	is quality measured as	not an RO property
http://purl.obolibrary.org/obo/IAO_0000418	is quality specification of	not an RO property
http://purl.obolibrary.org/obo/IAO_0000419	quality is specified as	not an RO property
http://purl.obolibrary.org/obo/IAO_0000581	has time stamp	not an RO property
http://purl.obolibrary.org/obo/IAO_0000583	has measurement datum	not an RO property
http://purl.obolibrary.org/obo/IAO_0000004	has measurement value	not an RO property
http://purl.obolibrary.org/obo/IAO_0000404	has x coordinate value	not an RO property
http://purl.obolibrary.org/obo/IAO_0000405	has z coordinate value	not an RO property
http://purl.obolibrary.org/obo/IAO_0000406	has y coordinate value	not an RO property
