IRI	Label	Issue
http://purl.obolibrary.org/obo/ICEO_0000002	has predicted part	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000019	is protein of organism	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000020	is ice of organism	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000023	is sequence of organism	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000032	has susceptibility role	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000042	has gene participant	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000043	has protein participant	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000044	has sequence participant	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000051	is gene of ice@zh	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000052	has susceptibility gene participant	not an RO property
http://purl.obolibrary.org/obo/ICEO_0000350	transferred as	not an RO property
