Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	ICE IEM for integration	IAO:0000115	The integration and excision module refers to those genes and sequence within the ICE responsible for the integration and excision of the element from the host chromosome, including genes encoding the integrase and or recombination directionality factor (also known as excisionase, which influences the direction of recombination mediated by the integrase to favor excision).
ERROR	duplicate_definition	ICE IEM for excision	IAO:0000115	The integration and excision module refers to those genes and sequence within the ICE responsible for the integration and excision of the element from the host chromosome, including genes encoding the integrase and or recombination directionality factor (also known as excisionase, which influences the direction of recombination mediated by the integrase to favor excision).
ERROR	duplicate_definition	ICE integration and excision module	IAO:0000115	The integration and excision module refers to those genes and sequence within the ICE responsible for the integration and excision of the element from the host chromosome, including genes encoding the integrase and or recombination directionality factor (also known as excisionase, which influences the direction of recombination mediated by the integrase to favor excision).
ERROR	duplicate_label	insertion site	rdfs:label	insertion site@en
ERROR	duplicate_label	insertion site	rdfs:label	insertion site@en
ERROR	multiple_labels	has SecReT4 accession	rdfs:label	has SecReT4 accession
ERROR	multiple_labels	has SecReT4 accession	rdfs:label	has SecReT4 accession@en
ERROR	multiple_labels	has ICEberg hyperlink	rdfs:label	has ICEberg hyperlink
ERROR	multiple_labels	has ICEberg hyperlink	rdfs:label	has ICEberg hyperlink@en
ERROR	multiple_labels	protein reannotated role	rdfs:label	protein reannotated role
ERROR	multiple_labels	protein reannotated role	rdfs:label	protein reannotated role@en
ERROR	multiple_labels	has NCBI GI number	rdfs:label	has NCBI GI number
ERROR	multiple_labels	has NCBI GI number	rdfs:label	has NCBI GI number@en
ERROR	multiple_labels	has_size	rdfs:label	has_size
ERROR	multiple_labels	has_size	rdfs:label	has_size@en
ERROR	multiple_labels	sequence status	rdfs:label	sequence status
ERROR	multiple_labels	sequence status	rdfs:label	sequence status@en
ERROR	multiple_labels	has NCBI GeneBank accession	rdfs:label	has NCBI GeneBank accession
ERROR	multiple_labels	has NCBI GeneBank accession	rdfs:label	has NCBI GeneBank accession@en
ERROR	multiple_labels	GC content[Genome]	rdfs:label	GC content[Genome]
ERROR	multiple_labels	GC content[Genome]	rdfs:label	GC content[Genome]@en
ERROR	multiple_labels	genome coordinates	rdfs:label	genome coordinates
ERROR	multiple_labels	genome coordinates	rdfs:label	genome coordinates@en
ERROR	multiple_labels	has interaction with CIME	rdfs:label	An annotation property that represents a ICE or a mobile genetic element has transfer interaction with CIME.
ERROR	multiple_labels	has interaction with CIME	rdfs:label	has interaction with CIME@en
ERROR	multiple_labels	insertion site	rdfs:label	insertion site
ERROR	multiple_labels	insertion site	rdfs:label	insertion site@en
WARN	duplicate_exact_synonym	ICE IEM for integration	IAO:0000118	recombination module component
WARN	duplicate_exact_synonym	ICE IEM for excision	IAO:0000118	recombination module component
WARN	duplicate_exact_synonym	ICE integration and excision module	IAO:0000118	recombination module component
WARN	missing_definition	has predicted part	IAO:0000115	
WARN	missing_definition	Pseudomonas aeruginosa PSE9	IAO:0000115	
WARN	missing_definition	Pseudomonas syringae pv. phaseolicola 1302A	IAO:0000115	
WARN	missing_definition	ICEPmiUSA1	IAO:0000115	
WARN	missing_definition	ICESpuPO1	IAO:0000115	
WARN	missing_definition	ICEVchBan9	IAO:0000115	
WARN	missing_definition	ICEVchBan5	IAO:0000115	
WARN	missing_definition	ICEVchInd5 [ICEVchHai1]	IAO:0000115	
WARN	missing_definition	ICEVchMex1	IAO:0000115	
WARN	missing_definition	ICEVchInd4	IAO:0000115	
WARN	missing_definition	ICEVflInd1	IAO:0000115	
WARN	missing_definition	ICEPalBan1	IAO:0000115	
WARN	missing_definition	ICEPdaSpa1	IAO:0000115	
WARN	missing_definition	R391	IAO:0000115	
WARN	missing_definition	SXT(MO10)	IAO:0000115	
WARN	missing_definition	ICEPmiChn1	IAO:0000115	
WARN	missing_definition	Escherichia coli ECOR31	IAO:0000115	
WARN	missing_definition	oriT_ ICEKp1	IAO:0000115	
WARN	missing_definition	is sequence of organism	IAO:0000115	
WARN	missing_definition	Pseudomonas aeruginosa FFUP_PS_690	IAO:0000115	
WARN	missing_definition	CD630_05110(tndx)	IAO:0000115	
WARN	missing_definition	type IV secretion system gene component	IAO:0000115	
WARN	missing_definition	integrase gene	IAO:0000115	
WARN	missing_definition	has gene participant	IAO:0000115	
WARN	missing_definition	has protein participant	IAO:0000115	
WARN	missing_definition	has sequence participant	IAO:0000115	
WARN	missing_definition	has susceptibility gene participant	IAO:0000115	
WARN	missing_definition	gene of type IV coupling protein role	IAO:0000115	
WARN	missing_definition	gene of T4SS ATPase	IAO:0000115	
WARN	missing_definition	strain	IAO:0000115	
WARN	missing_definition	Tn4371	IAO:0000115	
WARN	missing_definition	ICE-KKS	IAO:0000115	
WARN	missing_definition	CTn341	IAO:0000115	
WARN	missing_definition	ICE-GI1	IAO:0000115	
WARN	missing_definition	ICE-GI2	IAO:0000115	
WARN	missing_definition	ICE-GI3	IAO:0000115	
WARN	missing_definition	ICE-GI6	IAO:0000115	
WARN	missing_definition	virulence factor gene	IAO:0000115	
WARN	missing_definition	ICEclc(B13)	IAO:0000115	
WARN	missing_definition	PAGI-2	IAO:0000115	
WARN	missing_definition	ICEXTD	IAO:0000115	
WARN	missing_definition	ICEPae690	IAO:0000115	
WARN	missing_definition	ICEBs1	IAO:0000115	
WARN	missing_definition	ICEHin1056	IAO:0000115	
WARN	missing_definition	ICEApl1	IAO:0000115	
WARN	missing_definition	PAPI-1	IAO:0000115	
WARN	missing_definition	pKLC102	IAO:0000115	
WARN	missing_definition	PAGI-5	IAO:0000115	
WARN	missing_definition	ICESt1	IAO:0000115	
WARN	missing_definition	ICESt3	IAO:0000115	
WARN	missing_definition	SPI-7	IAO:0000115	
WARN	missing_definition	ICESb1	IAO:0000115	
WARN	missing_definition	Tn6012	IAO:0000115	
WARN	missing_definition	ICE6013	IAO:0000115	
WARN	missing_definition	TnGBS1	IAO:0000115	
WARN	missing_definition	ICE6094	IAO:0000115	
WARN	missing_definition	ICESa2603	IAO:0000115	
WARN	missing_definition	ICESsu05ZYH33-1	IAO:0000115	
WARN	missing_definition	ICESde3396	IAO:0000115	
WARN	missing_definition	ICESsu32457	IAO:0000115	
WARN	missing_definition	ICESag37	IAO:0000115	
WARN	missing_definition	protein of Bacteria	IAO:0000115	
WARN	missing_definition	ICEEc1	IAO:0000115	
WARN	missing_definition	ICEKp1	IAO:0000115	
WARN	missing_definition	ICEKp1 IEM for excision	IAO:0000115	
WARN	missing_definition	ICEApl2	IAO:0000115	
WARN	missing_definition	ICEPmiCHN1586	IAO:0000115	
WARN	missing_definition	ICEPmiCHN2407	IAO:0000115	
WARN	missing_definition	ICEPmiChn4	IAO:0000115	
WARN	missing_definition	ICEPmiChn2	IAO:0000115	
WARN	missing_definition	ICEPmiCHN1809	IAO:0000115	
WARN	missing_definition	ICEPmiCHN3335	IAO:0000115	
WARN	missing_definition	protein of Klebsiella	IAO:0000115	
WARN	missing_definition	protein of Klebsiella pneumoniae NTUH-K2044	IAO:0000115	
WARN	missing_definition	ICESpy009	IAO:0000115	
WARN	missing_definition	YAPI	IAO:0000115	
WARN	missing_definition	Tn1207.3	IAO:0000115	
WARN	missing_definition	ICESp1108	IAO:0000115	
WARN	missing_definition	ICEA(5632)-I	IAO:0000115	
WARN	missing_definition	ICEA(5632)-II	IAO:0000115	
WARN	missing_definition	ICEA(5632)-III	IAO:0000115	
WARN	missing_definition	ICEF-I	IAO:0000115	
WARN	missing_definition	Tn5801	IAO:0000115	
WARN	missing_definition	Bacteroides uniformis WH207	IAO:0000115	
WARN	missing_definition	TnGBS2 (genomic island X)	IAO:0000115	
WARN	missing_definition	HHGI1	IAO:0000115	
WARN	missing_definition	CTn9343	IAO:0000115	
WARN	missing_definition	ICEPm1	IAO:0000115	
WARN	missing_definition	Tn6098	IAO:0000115	
WARN	missing_definition	ICEHpyP12-1	IAO:0000115	
WARN	missing_definition	PPHGI-1	IAO:0000115	
WARN	missing_definition	CTnBST	IAO:0000115	
WARN	missing_definition	CTnscr94	IAO:0000115	
WARN	missing_definition	Tn6000 (EfcTn1)	IAO:0000115	
WARN	missing_definition	ICEEc2	IAO:0000115	
WARN	missing_definition	ICEEcIHE3034-1	IAO:0000115	
WARN	missing_definition	ICESe2	IAO:0000115	
WARN	missing_definition	Tn1549	IAO:0000115	
WARN	missing_definition	Tn5386	IAO:0000115	
WARN	missing_definition	phn Island	IAO:0000115	
WARN	missing_definition	ICESp2905	IAO:0000115	
WARN	missing_definition	ICEPmu1	IAO:0000115	
WARN	missing_definition	CTnHyb	IAO:0000115	
WARN	missing_definition	Tn6194-like	IAO:0000115	
WARN	missing_definition	protein reannotated role	IAO:0000115	
WARN	missing_definition	LpcGI-2	IAO:0000115	
WARN	missing_definition	Trb-1	IAO:0000115	
WARN	missing_definition	ICEMcSym(1271)-alpha	IAO:0000115	
WARN	missing_definition	ICEMcSym(1271)-beta	IAO:0000115	
WARN	missing_definition	ICEMcSym(1271)-gamma	IAO:0000115	
WARN	missing_definition	Streptococcus thermophilus CNRZ368	IAO:0000115	
WARN	missing_definition	attI	IAO:0000115	
WARN	missing_definition	ICEMlSym(NZP2037)-alpha	IAO:0000115	
WARN	missing_definition	ICEMlSym(NZP2037)-beta	IAO:0000115	
WARN	missing_definition	ICEMlSym(NZP2037)-gamma	IAO:0000115	
WARN	missing_definition	ICESluvan	IAO:0000115	
WARN	missing_definition	ICESp1116	IAO:0000115	
WARN	missing_definition	ICE_SsaF1-4_fda	IAO:0000115	
WARN	missing_definition	ICE_SsaF4-2_fda	IAO:0000115	
WARN	missing_definition	ICESsu05SC260	IAO:0000115	
WARN	missing_definition	ICESsuNC28	IAO:0000115	
WARN	missing_definition	Streptococcus thermophilus CNRZ385	IAO:0000115	
WARN	missing_definition	Haemophilus influenzae 1056	IAO:0000115	
WARN	missing_definition	Ralstonia oxalatica A5	IAO:0000115	
WARN	missing_definition	Streptococcus parauberis NUF1049	IAO:0000115	
WARN	missing_definition	Streptococcus pneumoniae 05P294	IAO:0000115	
WARN	missing_definition	Streptococcus pneumoniae DP1322	IAO:0000115	
WARN	missing_definition	Streptococcus pneumoniae Ar4	IAO:0000115	
WARN	missing_definition	Streptococcus oralis F.MI.5	IAO:0000115	
WARN	missing_definition	Listeria monocytogenes strain TTH-2007	IAO:0000115	
WARN	missing_definition	Staphylococcus rostri RST11	IAO:0000115	
WARN	missing_definition	Photobacterium damselae subsp. piscicida PC554.2	IAO:0000115	
WARN	missing_definition	Proteus mirabilis 08MAS1586	IAO:0000115	
WARN	missing_definition	Proteus mirabilis TJ1809	IAO:0000115	
WARN	missing_definition	Proteus mirabilis JN7	IAO:0000115	
WARN	missing_definition	Proteus mirabilis 09MAS2407	IAO:0000115	
WARN	missing_definition	ICEPvuCHN2213	IAO:0000115	
WARN	missing_definition	ICEVchNep1	IAO:0000115	
WARN	missing_definition	ICEVchNig1	IAO:0000115	
WARN	missing_definition	Tn5397	IAO:0000115	
WARN	missing_definition	Tn925	IAO:0000115	
WARN	missing_definition	Tn916(RST11)	IAO:0000115	
WARN	missing_definition	ICESpaNUF1049	IAO:0000115	
WARN	missing_definition	Tn6085b	IAO:0000115	
WARN	missing_definition	Tn6085a	IAO:0000115	
WARN	missing_definition	Tn6084	IAO:0000115	
WARN	missing_definition	Tn6003	IAO:0000115	
WARN	missing_definition	Tn2010	IAO:0000115	
WARN	missing_definition	Proteus mirabilis TJ3335	IAO:0000115	
WARN	missing_definition	Proteus mirabilis JN14	IAO:0000115	
WARN	missing_definition	Amycolatopsis mediterranei LBG A3136	IAO:0000115	
WARN	missing_definition	Proteus vulgaris 08MAS2213	IAO:0000115	
WARN	missing_definition	Shewanella putrefaciens W3-18-1	IAO:0000115	
WARN	missing_definition	Bacteroides fragilis 86-5443-2-2	IAO:0000115	
WARN	missing_definition	Clostridium difficile strain CII7	IAO:0000115	
WARN	missing_definition	protein of Escherichia coli ECOR31	IAO:0000115	
WARN	missing_definition	Enterococcus casseliflavus 664.1H1	IAO:0000115	
WARN	missing_definition	Enterococcus faecalis BM4382	IAO:0000115	
WARN	missing_definition	Enterococcus faecium D344R	IAO:0000115	
WARN	missing_definition	Escherichia coli BEN374	IAO:0000115	
WARN	missing_definition	Salmonella bongori CEIM46082	IAO:0000115	
WARN	missing_definition	Salmonella enterica subsp. enterica serovar Senftenberg, 5494-57	IAO:0000115	
WARN	missing_definition	Staphylococcus aureus JCSC6826	IAO:0000115	
WARN	missing_definition	Staphylococcus aureus HDG2	IAO:0000115	
WARN	missing_definition	Streptococcus agalactiae Sag37	IAO:0000115	
WARN	missing_definition	Streptococcus dysgalactiae subsp. equisimilis NS3396	IAO:0000115	
WARN	missing_definition	Streptococcus lutetiensis 5-F9	IAO:0000115	
WARN	missing_definition	Streptococcus pneumoniae Pn19	IAO:0000115	
WARN	missing_definition	Streptococcus pyogenes C1	IAO:0000115	
WARN	missing_definition	Streptococcus pyogenes iB21	IAO:0000115	
WARN	missing_definition	Streptococcus pyogenes MB56Spyo009	IAO:0000115	
WARN	missing_definition	Streptococcus pyogenes strain A-3	IAO:0000115	
WARN	missing_definition	Streptococcus pyogenes 2812A	IAO:0000115	
WARN	missing_definition	Streptococcus salivarius strain F1-4	IAO:0000115	
WARN	missing_definition	has interaction with CIME	IAO:0000115	
WARN	missing_definition	Streptococcus salivarius strain F4-2	IAO:0000115	
WARN	missing_definition	gene of Escherichia coli ECOR31	IAO:0000115	
WARN	missing_definition	protein-coding gene of Escherichia coli ECOR31	IAO:0000115	
WARN	missing_definition	RNA gene of Escherichia coli ECOR31	IAO:0000115	
WARN	missing_definition	transferred as	IAO:0000115	
WARN	missing_definition	Tn6087	IAO:0000115	
WARN	missing_definition	Tn5251 (part of Tn5253)	IAO:0000115	
WARN	missing_definition	Tn916	IAO:0000115	
WARN	missing_definition	CTn6002	IAO:0000115	
WARN	missing_definition	Tn6198	IAO:0000115	
WARN	missing_definition	Streptococcus suis 32457	IAO:0000115	
WARN	missing_definition	Streptococcus suis 05SC260	IAO:0000115	
WARN	missing_definition	Streptococcus suis strain nc286A7	IAO:0000115	
WARN	missing_definition	Yersinia pseudotuberculosis 32777	IAO:0000115	
WARN	missing_definition	T4ASS type T4SS gene	IAO:0000115	
WARN	missing_definition	type F T4SS gene	IAO:0000115	
WARN	missing_definition	type I T4SS gene	IAO:0000115	
WARN	missing_definition	type P T4SS gene	IAO:0000115	
WARN	missing_definition	T4BSS type T4SS gene	IAO:0000115	
WARN	missing_definition	BAH64175.1(Int)	IAO:0000115	
WARN	missing_definition	BAH64176.1(YbtS)	IAO:0000115	
WARN	missing_definition	BAH64177.1(YbtX)	IAO:0000115	
WARN	missing_definition	BAH64178.1(YbtQ)	IAO:0000115	
WARN	missing_definition	BAH64179.1(YbtP)	IAO:0000115	
WARN	missing_definition	BAH64180.1(YbtA)	IAO:0000115	
WARN	missing_definition	BAH64181.1(Irp2)	IAO:0000115	
WARN	missing_definition	BAH64182.1(Irp1)	IAO:0000115	
WARN	missing_definition	BAH64183.1(YbtU)	IAO:0000115	
WARN	missing_definition	BAH64184.1(YbtT)	IAO:0000115	
WARN	missing_definition	BAH64185.1(YbtE)	IAO:0000115	
WARN	missing_definition	BAH64186.1(FyuA)	IAO:0000115	
WARN	missing_definition	BAH64187.1	IAO:0000115	
WARN	missing_definition	BAH64188.1(AlpA2)	IAO:0000115	
WARN	missing_definition	BAH64189.1	IAO:0000115	
WARN	missing_definition	BAH64190.1	IAO:0000115	
WARN	missing_definition	BAH64191.1	IAO:0000115	
WARN	missing_definition	BAH64192.1	IAO:0000115	
WARN	missing_definition	BAH64193.1	IAO:0000115	
WARN	missing_definition	BAH64194.1	IAO:0000115	
WARN	missing_definition	BAH64195.1	IAO:0000115	
WARN	missing_definition	BAH64196.1(VagC)	IAO:0000115	
WARN	missing_definition	BAH64197.1(VagD)	IAO:0000115	
WARN	missing_definition	BAH64198.1	IAO:0000115	
WARN	missing_definition	BAH64199.1(IroN)	IAO:0000115	
WARN	missing_definition	BAH64200.1(IroB)	IAO:0000115	
WARN	missing_definition	BAH64201.1(IroC)	IAO:0000115	
WARN	missing_definition	BAH64202.1(IroD)	IAO:0000115	
WARN	missing_definition	BAH64203.1(PagO)	IAO:0000115	
WARN	missing_definition	BAH64204.1	IAO:0000115	
WARN	missing_definition	BAH64205.1	IAO:0000115	
WARN	missing_definition	BAH64206.1(RmpA)	IAO:0000115	
WARN	missing_definition	BAH64207.1	IAO:0000115	
WARN	missing_definition	BAH64208.1	IAO:0000115	
WARN	missing_definition	BAH64209.1	IAO:0000115	
WARN	missing_definition	BAH64210.1	IAO:0000115	
WARN	missing_definition	BAH64211.1	IAO:0000115	
WARN	missing_definition	BAH64212.1(VirB1)	IAO:0000115	
WARN	missing_definition	BAH64213.1(VirB2)	IAO:0000115	
WARN	missing_definition	BAH64214.1(VirB3-4)	IAO:0000115	
WARN	missing_definition	BAH64215.1(VirB5)	IAO:0000115	
WARN	missing_definition	BAH64216.1	IAO:0000115	
WARN	missing_definition	BAH64217.1(VirB6)	IAO:0000115	
WARN	missing_definition	BAH64218.1(VirB8)	IAO:0000115	
WARN	missing_definition	BAH64219.1(VirB9)	IAO:0000115	
WARN	missing_definition	BAH64220.1(VirB10)	IAO:0000115	
WARN	missing_definition	BAH64221.1(VirB11)	IAO:0000115	
WARN	missing_definition	BAH64222.1	IAO:0000115	
WARN	missing_definition	BAH64223.1	IAO:0000115	
WARN	missing_definition	BAH64224.1	IAO:0000115	
WARN	missing_definition	BAH64225.1	IAO:0000115	
WARN	missing_definition	BAH64226.1(MobB)	IAO:0000115	
WARN	missing_definition	BAH64227.1(MobC)	IAO:0000115	
WARN	missing_definition	BAH64228.1(ArdC)	IAO:0000115	
WARN	missing_definition	BAH64229.1	IAO:0000115	
WARN	missing_definition	BAH64230.1	IAO:0000115	
WARN	missing_definition	BAH64231.1	IAO:0000115	
WARN	missing_definition	BAH64232.1	IAO:0000115	
WARN	missing_definition	BAH64233.1	IAO:0000115	
WARN	missing_definition	BAH64234.1	IAO:0000115	
WARN	missing_definition	BAH64235.1	IAO:0000115	
WARN	missing_definition	BAH64236.1	IAO:0000115	
WARN	missing_definition	Bacteroides fragilis LV23	IAO:0000115	
WARN	missing_definition	Bacteroides thetaiotaomicron 7853	IAO:0000115	
WARN	missing_definition	Butyrivibrio fibrisolvens 1.230	IAO:0000115	
WARN	missing_definition	Clostridium perfringens CW459	IAO:0000115	
WARN	missing_definition	Elizabethkingia anophelis CSID_3015183678	IAO:0000115	
WARN	missing_definition	Enterococcus faecalis JH2-7	IAO:0000115	
WARN	missing_definition	Enterococcus faecium 9830414-1	IAO:0000115	
WARN	missing_definition	Klebsiella pneumoniae 41	IAO:0000115	
WARN	missing_definition	Lactococcus lactis 11454	IAO:0000115	
WARN	missing_definition	Lactococcus lactis FI5876	IAO:0000115	
WARN	missing_definition	Lactococcus lactis R5	IAO:0000115	
WARN	missing_definition	Lactococcus lactis subsp. lactis ML3	IAO:0000115	
WARN	missing_definition	Micromonospora rosaria SCC2095	IAO:0000115	
WARN	missing_definition	Pectobacterium carotovorum subsp. brasiliensis ICMP	IAO:0000115	
WARN	missing_definition	Proteus mirabilis TUM4660	IAO:0000115	
WARN	missing_definition	Pseudomonas putida KF715	IAO:0000115	
