Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/ma.owl	dc:description	
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/ma.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/ma.owl	dc:title	
WARN	missing_definition	MA:0000001	IAO:0000115	
WARN	missing_definition	MA:0000002	IAO:0000115	
WARN	missing_definition	MA:0000003	IAO:0000115	
WARN	missing_definition	MA:0000004	IAO:0000115	
WARN	missing_definition	MA:0000005	IAO:0000115	
WARN	missing_definition	MA:0000006	IAO:0000115	
WARN	missing_definition	MA:0000007	IAO:0000115	
WARN	missing_definition	MA:0000008	IAO:0000115	
WARN	missing_definition	MA:0000009	IAO:0000115	
WARN	missing_definition	MA:0000010	IAO:0000115	
WARN	missing_definition	MA:0000011	IAO:0000115	
WARN	missing_definition	MA:0000012	IAO:0000115	
WARN	missing_definition	MA:0000013	IAO:0000115	
WARN	missing_definition	MA:0000014	IAO:0000115	
WARN	missing_definition	MA:0000015	IAO:0000115	
WARN	missing_definition	MA:0000016	IAO:0000115	
WARN	missing_definition	MA:0000017	IAO:0000115	
WARN	missing_definition	MA:0000018	IAO:0000115	
WARN	missing_definition	MA:0000019	IAO:0000115	
WARN	missing_definition	MA:0000020	IAO:0000115	
WARN	missing_definition	MA:0000021	IAO:0000115	
WARN	missing_definition	MA:0000022	IAO:0000115	
WARN	missing_definition	MA:0000023	IAO:0000115	
WARN	missing_definition	MA:0000024	IAO:0000115	
WARN	missing_definition	MA:0000025	IAO:0000115	
WARN	missing_definition	MA:0000026	IAO:0000115	
WARN	missing_definition	MA:0000027	IAO:0000115	
WARN	missing_definition	MA:0000028	IAO:0000115	
WARN	missing_definition	MA:0000029	IAO:0000115	
WARN	missing_definition	MA:0000030	IAO:0000115	
WARN	missing_definition	MA:0000031	IAO:0000115	
WARN	missing_definition	MA:0000032	IAO:0000115	
WARN	missing_definition	MA:0000033	IAO:0000115	
WARN	missing_definition	MA:0000034	IAO:0000115	
WARN	missing_definition	MA:0000035	IAO:0000115	
WARN	missing_definition	MA:0000036	IAO:0000115	
WARN	missing_definition	MA:0000037	IAO:0000115	
WARN	missing_definition	MA:0000038	IAO:0000115	
WARN	missing_definition	MA:0000039	IAO:0000115	
WARN	missing_definition	MA:0000040	IAO:0000115	
WARN	missing_definition	MA:0000041	IAO:0000115	
WARN	missing_definition	MA:0000042	IAO:0000115	
WARN	missing_definition	MA:0000043	IAO:0000115	
WARN	missing_definition	MA:0000044	IAO:0000115	
WARN	missing_definition	MA:0000045	IAO:0000115	
WARN	missing_definition	MA:0000046	IAO:0000115	
WARN	missing_definition	MA:0000047	IAO:0000115	
WARN	missing_definition	MA:0000048	IAO:0000115	
WARN	missing_definition	MA:0000049	IAO:0000115	
WARN	missing_definition	MA:0000050	IAO:0000115	
WARN	missing_definition	MA:0000051	IAO:0000115	
WARN	missing_definition	MA:0000052	IAO:0000115	
WARN	missing_definition	MA:0000053	IAO:0000115	
WARN	missing_definition	MA:0000054	IAO:0000115	
WARN	missing_definition	MA:0000055	IAO:0000115	
WARN	missing_definition	MA:0000057	IAO:0000115	
WARN	missing_definition	MA:0000058	IAO:0000115	
WARN	missing_definition	MA:0000059	IAO:0000115	
WARN	missing_definition	MA:0000060	IAO:0000115	
WARN	missing_definition	MA:0000061	IAO:0000115	
WARN	missing_definition	MA:0000062	IAO:0000115	
WARN	missing_definition	MA:0000063	IAO:0000115	
