Level	Rule Name	Subject	Property	Value
ERROR	missing_label	MAXO:0000595	rdfs:label	
ERROR	missing_label	OBI:0002600	rdfs:label	
ERROR	missing_label	OBI:0002650	rdfs:label	
ERROR	multiple_labels	antibacterial agent therapy	rdfs:label	antibacterial agent therapy
ERROR	multiple_labels	antibacterial agent therapy	rdfs:label	antibacterial agent therapy@en
ERROR	multiple_labels	cancer screening	rdfs:label	cancer screening
ERROR	multiple_labels	cancer screening	rdfs:label	cancer screening@en
ERROR	multiple_labels	antiparasititic agent therapy	rdfs:label	antiparasitic agent therapy@en
ERROR	multiple_labels	antiparasititic agent therapy	rdfs:label	antiparasititic agent therapy
ERROR	multiple_labels	antiviral agent therapy	rdfs:label	antiviral agent therapy
ERROR	multiple_labels	antiviral agent therapy	rdfs:label	antiviral agent therapy@en
ERROR	multiple_labels	anti-fungal agent therapy	rdfs:label	anti-fungal agent therapy
ERROR	multiple_labels	anti-fungal agent therapy	rdfs:label	antifungal agent therapy@en
ERROR	multiple_labels	non-opioid analgesic therapy	rdfs:label	non-opioid analgesic therapy
ERROR	multiple_labels	non-opioid analgesic therapy	rdfs:label	non-opioid analgesics agent therapy@en
ERROR	multiple_labels	opioid analgesics agent therapy	rdfs:label	opioid analgesic therapy
ERROR	multiple_labels	opioid analgesics agent therapy	rdfs:label	opioid analgesics agent therapy@en
ERROR	multiple_labels	local anesthetic agent therapy	rdfs:label	local anesthesia treatment
ERROR	multiple_labels	local anesthetic agent therapy	rdfs:label	local anesthetic agent therapy@en
ERROR	multiple_labels	cephalosporin agent therapy	rdfs:label	cephalosporin agent therapy
ERROR	multiple_labels	cephalosporin agent therapy	rdfs:label	cephalosporin agent therapy@en
ERROR	multiple_labels	penicillin agent therapy	rdfs:label	penicillin agent therapy
ERROR	multiple_labels	penicillin agent therapy	rdfs:label	penicillin agent therapy@en
ERROR	multiple_labels	macrolide antibacterial agent therapy	rdfs:label	macrolide antibacterial agent therapy
ERROR	multiple_labels	macrolide antibacterial agent therapy	rdfs:label	macrolide antibacterial agent therapy@en
ERROR	multiple_labels	quinolone antibacterial agent therapy	rdfs:label	quinolone antibacterial agent therapy
ERROR	multiple_labels	quinolone antibacterial agent therapy	rdfs:label	quinolone antibacterial agent therapy@en
ERROR	multiple_labels	NSAID therapy	rdfs:label	NSAID therapy
ERROR	multiple_labels	NSAID therapy	rdfs:label	nonsteroidal anti-inflammatory agent therapy@en
ERROR	multiple_labels	antimycobacterial agent therapy	rdfs:label	antimycobacterial agent therapy
ERROR	multiple_labels	antimycobacterial agent therapy	rdfs:label	antimycobacterial agent therapy@en
ERROR	multiple_labels	antitubercular agent therapy	rdfs:label	antitubercular agent therapy
ERROR	multiple_labels	antitubercular agent therapy	rdfs:label	antitubercular agent therapy@en
ERROR	multiple_labels	leprostatic agent therapy	rdfs:label	leprostatic agent therapy
ERROR	multiple_labels	leprostatic agent therapy	rdfs:label	leprostatic agent therapy@en
ERROR	multiple_labels	antiprotozoal agent therapy	rdfs:label	antiprotozoal agent therapy
