Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	obo:mco.owl	dc11:description	
ERROR	missing_ontology_license	obo:mco.owl	dc:license	
ERROR	missing_ontology_title	obo:mco.owl	dc11:title	
WARN	missing_definition	mco	IAO:0000115	
WARN	missing_definition	equipment and supplies	IAO:0000115	
WARN	missing_definition	conditioned culture medium	IAO:0000115	
WARN	missing_definition	N-C- medium	IAO:0000115	
WARN	missing_definition	M56 medium	IAO:0000115	
WARN	missing_definition	minimal essential medium	IAO:0000115	
WARN	missing_definition	MOPS minimal medium	IAO:0000115	
WARN	missing_definition	T-broth	IAO:0000115	
WARN	missing_definition	TGYEP	IAO:0000115	
WARN	missing_definition	LB medium, Lennox	IAO:0000115	
WARN	missing_definition	LB medium, Luria	IAO:0000115	
WARN	missing_definition	LB medium, Miller	IAO:0000115	
WARN	missing_definition	penassay broth	IAO:0000115	
WARN	missing_definition	L broth	IAO:0000115	
WARN	missing_definition	L agar	IAO:0000115	
WARN	missing_definition	LB broth	IAO:0000115	
WARN	missing_definition	Luria broth	IAO:0000115	
WARN	missing_definition	overexpression mutant	IAO:0000115	
WARN	missing_definition	knockout mutant	IAO:0000115	
WARN	missing_definition	insertion mutant	IAO:0000115	
WARN	missing_definition	lysogenic mutant	IAO:0000115	
WARN	missing_definition	transposable element mutant	IAO:0000115	
WARN	missing_definition	knockin mutant	IAO:0000115	
WARN	missing_definition	λ(soxR)	IAO:0000115	
WARN	missing_definition	λ(truncated soxR)	IAO:0000115	
WARN	missing_definition	Φ(soxR)	IAO:0000115	
WARN	missing_definition	knockdown mutant	IAO:0000115	
WARN	missing_definition	plasmid mutant	IAO:0000115	
WARN	missing_definition	multicopy plasmid mutant	IAO:0000115	
WARN	missing_definition	multicopy plasmid backbone mutant	IAO:0000115	
WARN	missing_definition	multicopy harbored plasmid mutant	IAO:0000115	
WARN	missing_definition	unicopy plasmid mutant	IAO:0000115	
WARN	missing_definition	unicopy plasmid backbone mutant	IAO:0000115	
WARN	missing_definition	unicopy harbored plasmid mutant	IAO:0000115	
WARN	missing_definition	OD600 of 0.3	IAO:0000115	
WARN	missing_definition	OD600 from 0.4 to 0.5	IAO:0000115	
WARN	missing_definition	OD600 of 0.25	IAO:0000115	
WARN	missing_definition	OD600 of 1.5	IAO:0000115	
WARN	missing_definition	OD600 of 0.5	IAO:0000115	
WARN	missing_definition	OD600 below 0.7	IAO:0000115	
WARN	missing_definition	OD600 of 0.4	IAO:0000115	
WARN	missing_definition	OD600 from 0.4 to 0.6	IAO:0000115	
WARN	missing_definition	OD600 of 0.65	IAO:0000115	
WARN	missing_definition	greA overexpression mutant	IAO:0000115	
WARN	missing_definition	mlc knockout mutant	IAO:0000115	
WARN	missing_definition	ethyl acetate extract of LB	IAO:0000115	
WARN	missing_definition	ethyl acetate extract of conditioned medium	IAO:0000115	
WARN	missing_definition	multicopy plasmid pAMC35 (dps) mutant	IAO:0000115	
WARN	missing_definition	multicopy plasmid pRGM258 (marRAB) mutant	IAO:0000115	
WARN	missing_definition	plasmid pCX16 (sdiA) mutant	IAO:0000115	
WARN	missing_definition	10 to 40 MPa	IAO:0000115	
WARN	missing_definition	0.1 MPa	IAO:0000115	
WARN	missing_definition	vitamin assay casamino acids	IAO:0000115	
WARN	missing_definition	nanR knockout mutant	IAO:0000115	
WARN	missing_definition	high cell density	IAO:0000115	
WARN	missing_definition	low cell density	IAO:0000115	
WARN	missing_definition	planktonic growth	IAO:0000115	
WARN	missing_definition	mini-Tn5 transposon	IAO:0000115	
WARN	missing_definition	mini-Tn5-nrdEF transposon	IAO:0000115	
WARN	missing_definition	mini-Tn10 transposon	IAO:0000115	
WARN	missing_definition	IS10R	IAO:0000115	
WARN	missing_definition	IS186	IAO:0000115	
WARN	missing_definition	IS3E	IAO:0000115	
WARN	missing_definition	allS knockout mutant	IAO:0000115	
WARN	missing_definition	arcA knockout mutant	IAO:0000115	
WARN	missing_definition	cra knockout mutant	IAO:0000115	
WARN	missing_definition	crp knockout mutant	IAO:0000115	
WARN	missing_definition	cyaA knockout mutant	IAO:0000115	
WARN	missing_definition	fhlA knockout mutant	IAO:0000115	
WARN	missing_definition	fnr knockout mutant	IAO:0000115	
WARN	missing_definition	himA knockout mutant	IAO:0000115	
WARN	missing_definition	hydG knockout mutant	IAO:0000115	
WARN	missing_definition	iclR knockout mutant	IAO:0000115	
WARN	missing_definition	ihfB knockout mutant	IAO:0000115	
WARN	missing_definition	lrp knockout mutant	IAO:0000115	
WARN	missing_definition	bioA knockout mutant	IAO:0000115	
WARN	missing_definition	metC knockout mutant	IAO:0000115	
