IRI	Label	Issue
http://www.w3.org/2004/02/skos/core#member	has member	shares label with http://purl.obolibrary.org/obo/RO_0002351
http://purl.obolibrary.org/obo/IAO_0000136	is about	not an RO property
http://purl.obolibrary.org/obo/IAO_0000039	has measurement unit label	not an RO property
http://purl.obolibrary.org/obo/IAO_0000142	mentions	not an RO property
http://purl.obolibrary.org/obo/IAO_0000143	mentioned by	not an RO property
http://purl.obolibrary.org/obo/IAO_0000219	denotes	not an RO property
http://purl.obolibrary.org/obo/IAO_0000221	is quality measurement of	not an RO property
http://purl.obolibrary.org/obo/IAO_0000235	denoted by	not an RO property
http://purl.obolibrary.org/obo/IAO_0000407	has coordinate unit label	not an RO property
http://purl.obolibrary.org/obo/IAO_0000413	is duration of	not an RO property
http://purl.obolibrary.org/obo/IAO_0000417	is quality measured as	not an RO property
http://purl.obolibrary.org/obo/IAO_0000418	is quality specification of	not an RO property
http://purl.obolibrary.org/obo/IAO_0000419	quality is specified as	not an RO property
http://purl.obolibrary.org/obo/IAO_0000581	has time stamp	not an RO property
http://purl.obolibrary.org/obo/IAO_0000583	has measurement datum	not an RO property
http://purl.obolibrary.org/obo/OBI_0000293	has_specified_input	not an RO property
http://purl.obolibrary.org/obo/OBI_0000295	is_specified_input_of	not an RO property
http://purl.obolibrary.org/obo/OBI_0000299	has_specified_output	not an RO property
http://purl.obolibrary.org/obo/OBI_0000312	is_specified_output_of	not an RO property
http://www.ebi.ac.uk/efo/swo/SWO_0000394	is developed by	not an RO property
http://www.ebi.ac.uk/efo/swo/SWO_0000740	implements	not an RO property
http://www.ebi.ac.uk/efo/swo/SWO_0000741	is encoded in	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000081	is version of	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000082	uses software	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000085	is implemented by	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000086	has specified data input	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000087	has specified data output	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000088	is specified data input of	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000089	is specified data output of	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000131	directly preceded by	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000132	directly followed by	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000150	uses platform	not an RO property
http://www.ebi.ac.uk/swo/SWO_0000157	is software for	not an RO property
http://www.ebi.ac.uk/swo/SWO_0004000	has version	not an RO property
http://www.ebi.ac.uk/swo/SWO_0004001	has interface	not an RO property
http://www.ebi.ac.uk/swo/SWO_0004002	has format specification	not an RO property
http://www.ebi.ac.uk/swo/SWO_0004004	is published by	not an RO property
http://www.ebi.ac.uk/swo/SWO_0040005	is executed in	not an RO property
http://www.ebi.ac.uk/swo/SWO_9001002	has clause	not an RO property
http://www.ebi.ac.uk/swo/has_license	has license	not an RO property
http://www.ebi.ac.uk/swo/is_license_for	is license for	not an RO property
