Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	superior pharyngeal constrictor muscle	IAO:0000115	The superior constrictor is a muscle that is an integral part of the pharyngeal tube that is attached to the mandible, pterygomandibular raphe, basioccipital bone, pterygoid process and midline raphe and is innervated by Cranial Nerve X via the pharyngeal plexus.
ERROR	duplicate_definition	superior pharyngeal constrictor muscle	IAO:0000115	The superior constrictor is a muscle that is an integral part of the pharyngeal tube that is attached to the mandible, pterygomandibular raphe, basioccipital bone, pterygoid process and midline raphe and is innervated by Cranial Nerve X via the pharyngeal plexus.
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/mfmo.owl	dc11:description	
ERROR	multiple_definitions	superior pharyngeal constrictor muscle	IAO:0000115	"Salpingopharyngeus is a muscle that attaches to pharyngotympanic tube and the pharynx and is innervated by pharyngeal plexus of CN X and participates in oral/pharyngeal behaviors
"
ERROR	multiple_definitions	superior pharyngeal constrictor muscle	IAO:0000115	The superior constrictor is a muscle that is an integral part of the pharyngeal tube that is attached to the mandible, pterygomandibular raphe, basioccipital bone, pterygoid process and midline raphe and is innervated by Cranial Nerve X via the pharyngeal plexus.
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/mfmo.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/mfmo.owl	dc11:title	
ERROR	multiple_labels	A muscle of the skin of the head (scalp), innervated by the facial nerve, attached to facia of the skin superior to the orbits (superciliary region), overlapping with the procerus muscles, and attched to the facia of the scalp (galea aponurotica or epicranial aponeurosis in humans). In mammals other than humans, there is no large facia present and the most rostral fibers of the occipitalis are attached to the skin near or even overlapping with the fibers of the frontalis muscle.See Diogo 2008; Diogo et al., 2009; Burrows et al.., 2011.	rdfs:label	A muscle of the skin of the head (scalp), innervated by the facial nerve, attached to facia of the skin superior to the orbits (superciliary region), overlapping with the procerus muscles, and attched to the facia of the scalp (galea aponurotica or epicranial aponeurosis in humans). In mammals other than humans, there is no large facia present and the most rostral fibers of the occipitalis are attached to the skin near or even overlapping with the fibers of the frontalis muscle.See Diogo 2008; Diogo et al., 2009; Burrows et al.., 2011.
ERROR	multiple_labels	A muscle of the skin of the head (scalp), innervated by the facial nerve, attached to facia of the skin superior to the orbits (superciliary region), overlapping with the procerus muscles, and attched to the facia of the scalp (galea aponurotica or epicranial aponeurosis in humans). In mammals other than humans, there is no large facia present and the most rostral fibers of the occipitalis are attached to the skin near or even overlapping with the fibers of the frontalis muscle.See Diogo 2008; Diogo et al., 2009; Burrows et al.., 2011.	rdfs:label	frontalis muscle@en
ERROR	multiple_labels	superior pharyngeal constrictor muscle	rdfs:label	salpingopharyngeus muscle
ERROR	multiple_labels	superior pharyngeal constrictor muscle	rdfs:label	superior pharyngeal constrictor muscle
WARN	multiple_equivalent_classes	superior pharyngeal constrictor muscle	owl:equivalentClass	0bb95402-89ad-48ed-97e1-997e01c720cagenid400
WARN	multiple_equivalent_classes	superior pharyngeal constrictor muscle	owl:equivalentClass	0bb95402-89ad-48ed-97e1-997e01c720cagenid410
WARN	annotation_whitespace	styloglossus muscle	IAO:0000115	"Styloglossus is a muscle that attaches to the tongue and stylohyal and is innervated by Cranial Nerve XII.
"
WARN	annotation_whitespace	soft palate	IAO:0000115	A muscular arch-shaped structure (an anatomical cluster) that is composed of the musculus uvuli and parts of tensor veli palatini, levator veli palatini, palatoglossus and palatopharyngeus and attaches to the hard palate and modulates the connections between the oral cavity and pharynx soft tissue arch 
WARN	annotation_whitespace	depressor anguli oris muscle	IAO:0000115	A muscle of facial expression, innervated by the facial nerve, attached to the mandible, skin of the lower lip in the region of the angle of the oral opening, orbicularis oris, and lateral to the depressor anguli oris muscle. 
WARN	annotation_whitespace	superior pharyngeal constrictor muscle	IAO:0000115	"Salpingopharyngeus is a muscle that attaches to pharyngotympanic tube and the pharynx and is innervated by pharyngeal plexus of CN X and participates in oral/pharyngeal behaviors
"
WARN	missing_definition	attached to	IAO:0000115	
WARN	missing_definition	innervated by	IAO:0000115	
WARN	missing_definition	non ceratohyal part of hyoid apparatus	IAO:0000115	
WARN	missing_definition	muscles innervated by the facial nerve	IAO:0000115	
WARN	missing_definition	base of cranium	IAO:0000115	
WARN	missing_definition	basioccipital bone	IAO:0000115	
WARN	missing_definition	capsule of the temporomandibular joint	IAO:0000115	
WARN	missing_definition	clavicle bone	IAO:0000115	
WARN	missing_definition	cranium	IAO:0000115	
WARN	missing_definition	esophagus	IAO:0000115	
WARN	missing_definition	hard palate	IAO:0000115	
WARN	missing_definition	head somite	IAO:0000115	
WARN	missing_definition	non stylohyal part of hyoid apparatus	IAO:0000115	
WARN	missing_definition	infraorbital foramen	IAO:0000115	
WARN	missing_definition	angle of the mandible	IAO:0000115	
WARN	missing_definition	modiolus	IAO:0000115	
WARN	missing_definition	nerve	IAO:0000115	
WARN	missing_definition	cervical plexus	IAO:0000115	
WARN	missing_definition	trigeminal nerve	IAO:0000115	
WARN	missing_definition	palatine bone	IAO:0000115	
WARN	missing_definition	branchial arch 1	IAO:0000115	
WARN	missing_definition	pharyngotympanic tube	IAO:0000115	
WARN	missing_definition	scapula bone	IAO:0000115	
WARN	missing_definition	skin of body	IAO:0000115	
WARN	missing_definition	somite	IAO:0000115	
WARN	missing_definition	sphenoid bone	IAO:0000115	
WARN	missing_definition	pterygoid process of the sphenoid bone	IAO:0000115	
WARN	missing_definition	sternum bone	IAO:0000115	
WARN	missing_definition	temporalis fascia	IAO:0000115	
WARN	missing_definition	thyroid cartilage	IAO:0000115	
WARN	missing_definition	zygomatic arch	IAO:0000115	
WARN	missing_definition	pharynx	IAO:0000115	
WARN	missing_definition	anatomical cluster	IAO:0000115	
WARN	missing_definition	posterior root of zygomatic arch	IAO:0000115	
WARN	missing_definition	lateral to	IAO:0000115	
WARN	missing_definition	medial to	IAO:0000115	
WARN	missing_definition	occipital region of cranium	IAO:0000115	
WARN	missing_definition	A muscle of the skin of the head (scalp), innervated by the facial nerve, attached to facia of the skin superior to the orbits (superciliary region), overlapping with the procerus muscles, and attched to the facia of the scalp (galea aponurotica or epicranial aponeurosis in humans). In mammals other than humans, there is no large facia present and the most rostral fibers of the occipitalis are attached to the skin near or even overlapping with the fibers of the frontalis muscle.See Diogo 2008; Diogo et al., 2009; Burrows et al.., 2011.	IAO:0000115	
WARN	missing_definition	orbicularis oculi muscle	IAO:0000115	
WARN	missing_definition	procerus muscle	IAO:0000115	
WARN	missing_definition	depressor supercilii muscle	IAO:0000115	
WARN	missing_definition	nasalis muscle	IAO:0000115	
WARN	missing_definition	levator labii superioris alaeque nasi muscle	IAO:0000115	
WARN	missing_definition	levator labii superioris muscle	IAO:0000115	
WARN	missing_definition	levator anguli oris muscle	IAO:0000115	
WARN	missing_definition	depressor septi nasi muscle	IAO:0000115	
WARN	missing_definition	dorsal to	IAO:0000115	
WARN	missing_definition	ventral to	IAO:0000115	
WARN	missing_definition	angle	IAO:0000115	
WARN	missing_definition	angle of oral opening	IAO:0000115	
WARN	missing_definition	zygomatic bone	IAO:0000115	
WARN	missing_definition	orbit	IAO:0000115	
WARN	missing_definition	scalp	IAO:0000115	
WARN	missing_definition	posterior cricoarytenoid muscle	IAO:0000115	
WARN	missing_definition	ceratocricoideus muscle	IAO:0000115	
WARN	missing_definition	lateral cricoarytenoideus muscle	IAO:0000115	
WARN	missing_definition	arytenoideus muscle	IAO:0000115	
WARN	missing_definition	transverse arytenoideus muscle	IAO:0000115	
WARN	missing_definition	oblique arytenoideus muscle	IAO:0000115	
WARN	missing_definition	aryepiglotticus muscle	IAO:0000115	
WARN	missing_definition	thyroarytenoideus muscle	IAO:0000115	
WARN	missing_definition	vocalis muscle	IAO:0000115	
WARN	missing_definition	superior thyroarytenoideus muscle	IAO:0000115	
WARN	missing_definition	thyroepiglotticus muscle	IAO:0000115	
WARN	missing_definition	branchiohyoideus muscle	IAO:0000115	
WARN	missing_definition	constrictor colli muscle	IAO:0000115	
WARN	missing_definition	spinalis capitis muscle	IAO:0000115	
WARN	missing_definition	obliquus capitis muscle	IAO:0000115	
WARN	missing_definition	longus capitis muscle	IAO:0000115	
WARN	missing_definition	rectus cervicis muscle	IAO:0000115	
WARN	missing_definition	adductor mandibulae externus muscle	IAO:0000115	
WARN	missing_definition	adductor mandibulae internus muscle	IAO:0000115	
WARN	missing_definition	intramandibularis muscle	IAO:0000115	
WARN	missing_definition	adductor mandibulae externus medialis muscle	IAO:0000115	
WARN	missing_definition	adductor mandibulae externus superficialis muscle	IAO:0000115	
WARN	missing_definition	ventrolateral head of mAMEM	IAO:0000115	
WARN	missing_definition	anteromedial head of mAMEM	IAO:0000115	
WARN	missing_definition	posterior head of mAMEM	IAO:0000115	
WARN	missing_definition	mLAO	IAO:0000115	
WARN	missing_definition	retractor anguli oris muscle	IAO:0000115	
WARN	missing_definition	adductor mandibulae externus superficialis anterior muscle	IAO:0000115	
WARN	missing_definition	adductor mandibulae externus superficialis posterior muscle	IAO:0000115	
WARN	missing_definition	adductor mandibulae externus profundus muscle	IAO:0000115	
WARN	missing_definition	pterygoideus muscle	IAO:0000115	
WARN	missing_definition	pterygoideus externus muscle	IAO:0000115	
WARN	missing_definition	pterygoideus internus muscle	IAO:0000115	
WARN	missing_definition	pseudotemporalis muscle	IAO:0000115	
WARN	missing_definition	pseudotemporalis superficialis muscle	IAO:0000115	
WARN	missing_definition	pseudotemporalis profundus muscle	IAO:0000115	
WARN	missing_definition	pterygoideus atypicus muscle	IAO:0000115	
WARN	missing_definition	pterygoideus typicus muscle	IAO:0000115	
WARN	missing_definition	adductor mandibulae posterior muscle	IAO:0000115	
WARN	missing_definition	constrictor internus dorsalis muscle	IAO:0000115	
WARN	missing_definition	levator bulbi muscle	IAO:0000115	
WARN	missing_definition	levator pterygoidei muscle	IAO:0000115	
WARN	missing_definition	protractor pterygoidei muscle	IAO:0000115	
WARN	missing_definition	intermandibularis posterior muscle	IAO:0000115	
WARN	missing_definition	intermandibularis anterior muscle	IAO:0000115	
WARN	missing_definition	intermandibularis muscle	IAO:0000115	
WARN	missing_definition	depressor mandibulae muscle	IAO:0000115	
WARN	missing_definition	cervicomandibularis muscle	IAO:0000115	
WARN	missing_definition	omohyoideus muscle	IAO:0000115	
WARN	missing_definition	sternohyoideus superficialis muscle	IAO:0000115	
WARN	missing_definition	sternohyoideus profundus muscle	IAO:0000115	
WARN	missing_definition	m. hyoglossus	IAO:0000115	
WARN	missing_definition	genioglossus muscle	IAO:0000115	
WARN	missing_definition	genioglossus medial muscle	IAO:0000115	
WARN	missing_definition	genioglossus lateral muscle	IAO:0000115	
WARN	missing_definition	genioglossus internal muscle	IAO:0000115	
WARN	missing_definition	mandibulohyoideus muscle	IAO:0000115	
WARN	missing_definition	mandibulohyoideus part 1 muscle	IAO:0000115	
WARN	missing_definition	mandibulohyoideus part 2 muscle	IAO:0000115	
WARN	missing_definition	mandibulohyoideus part 3 muscle	IAO:0000115	
WARN	missing_definition	intrinsic circularis muscle	IAO:0000115	
WARN	missing_definition	dorsoventral intrinsic tongue muscle	IAO:0000115	
WARN	missing_definition	transverse intrinsic tongue muscle	IAO:0000115	
WARN	missing_definition	longitudinal intrinsic tongue muscle	IAO:0000115	
WARN	missing_definition	transversus mandibulae muscle	IAO:0000115	
WARN	missing_definition	right	IAO:0000115	
WARN	missing_definition	stylopharyngeus muscle	IAO:0000115	
WARN	invalid_xref	condyle of the mandible	oboInOwl:hasDbXref	Term in Uberon is equivalent but the definition needs revision.
WARN	invalid_xref	mentalis muscle	oboInOwl:hasDbXref	UBERON_0008596
WARN	invalid_xref	depressor labii inferioris muscle	oboInOwl:hasDbXref	UBERON_0001581
WARN	invalid_xref	depressor anguli oris muscle	oboInOwl:hasDbXref	UBERON_0008597
WARN	invalid_xref	occipitalis muscle	oboInOwl:hasDbXref	UBERON_0010947
WARN	invalid_xref	orbicularis oculi muscle	oboInOwl:hasDbXref	UBERON_0001578
WARN	invalid_xref	procerus muscle	oboInOwl:hasDbXref	UBERON_0008588
WARN	invalid_xref	corrugator supercilii muscle	oboInOwl:hasDbXref	FMA_46794
WARN	invalid_xref	depressor supercilii muscle	oboInOwl:hasDbXref	UBERON_0008591
WARN	invalid_xref	nasalis muscle	oboInOwl:hasDbXref	UBERON_0010953
WARN	invalid_xref	levator labii superioris alaeque nasi muscle	oboInOwl:hasDbXref	UBERON_0008592
WARN	invalid_xref	levator labii superioris muscle	oboInOwl:hasDbXref	UBERON_0001580
WARN	invalid_xref	zygomaticus minor	oboInOwl:hasDbXref	UBERON_0008594
WARN	invalid_xref	zygomaticus major	oboInOwl:hasDbXref	UBERON_0008593
WARN	invalid_xref	levator anguli oris muscle	oboInOwl:hasDbXref	UBERON_0008595
WARN	invalid_xref	depressor septi nasi muscle	oboInOwl:hasDbXref	UBERON_0008589
WARN	invalid_xref	risorius muscle	oboInOwl:hasDbXref	UBERON_0008598
WARN	invalid_xref	dorsal to	oboInOwl:hasDbXref	PATO_0001233
WARN	invalid_xref	ventral to	oboInOwl:hasDbXref	PATO_0001196
WARN	invalid_xref	angle	oboInOwl:hasDbXref	PATO_0002326
WARN	invalid_xref	lateral cricoarytenoideus muscle	oboInOwl:hasDbXref	UBERON_0008573
WARN	invalid_xref	arytenoideus muscle	oboInOwl:hasDbXref	UBERON_0010958
WARN	invalid_xref	transverse arytenoideus muscle	oboInOwl:hasDbXref	UBERON_0008574
WARN	invalid_xref	oblique arytenoideus muscle	oboInOwl:hasDbXref	UBERON_0008575
WARN	invalid_xref	aryepiglotticus muscle	oboInOwl:hasDbXref	UBERON_0011025
WARN	invalid_xref	levator bulbi muscle	oboInOwl:hasDbXref	UBERON_3010651
WARN	invalid_xref	intermandibularis muscle	oboInOwl:hasDbXref	UBERON_0010931
WARN	invalid_xref	stylopharyngeus muscle	oboInOwl:hasDbXref	UBERON_0008804
WARN	invalid_xref	superior pharyngeal constrictor muscle	oboInOwl:hasDbXref	UBERON_0006329
WARN	invalid_xref	thyrohyoid muscle	oboInOwl:hasDbXref	UBERON_0001110
INFO	lowercase_definition	stylohyal bone	IAO:0000115	part of the hyoid apparatus
INFO	lowercase_definition	condyle of the mandible	IAO:0000115	articular part of the mandible bone
INFO	lowercase_definition	pharyngeal wall	IAO:0000115	the wall of the pharynx
INFO	lowercase_definition	caninus muscle	IAO:0000115	lateral dilator of the nostril (external nares). In humans, the levator anguli oris is sometimes called Caninus, but these are probably not homogous muscles.
INFO	missing_superclass	buccinator muscle	rdfs:subClassOf	
INFO	missing_superclass	muscles innervated by the facial nerve	rdfs:subClassOf	
INFO	missing_superclass	muscles innervated by glossopharyngeal nerve	rdfs:subClassOf	
INFO	missing_superclass	muscles innervated by vagus nerve	rdfs:subClassOf	
INFO	missing_superclass	orbicularis oris muscle	rdfs:subClassOf	
INFO	missing_superclass	platysma muscle	rdfs:subClassOf	
