Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	MFOEM:000013	rdfs:label	Wut@de
ERROR	duplicate_label	MFOEM:000014	rdfs:label	Wut@de
ERROR	multiple_labels	MFOEM:000012	rdfs:label	Verärgerung@de
ERROR	multiple_labels	MFOEM:000012	rdfs:label	annoyance
ERROR	multiple_labels	MFOEM:000012	rdfs:label	la gêne@fr
ERROR	multiple_labels	MFOEM:000013	rdfs:label	Wut@de
ERROR	multiple_labels	MFOEM:000013	rdfs:label	fureur@fr
ERROR	multiple_labels	MFOEM:000013	rdfs:label	fury
ERROR	multiple_labels	MFOEM:000014	rdfs:label	Wut@de
ERROR	multiple_labels	MFOEM:000014	rdfs:label	rage
ERROR	multiple_labels	MFOEM:000014	rdfs:label	rage@fr
ERROR	multiple_labels	MFOEM:000016	rdfs:label	Trauer@de
ERROR	multiple_labels	MFOEM:000016	rdfs:label	deuil@fr
ERROR	multiple_labels	MFOEM:000016	rdfs:label	grief
ERROR	multiple_labels	MFOEM:000027	rdfs:label	Terror@de
ERROR	multiple_labels	MFOEM:000027	rdfs:label	la terreur@fr
ERROR	multiple_labels	MFOEM:000027	rdfs:label	terror
ERROR	multiple_labels	MFOEM:000043	rdfs:label	Gelassenheit@de
ERROR	multiple_labels	MFOEM:000043	rdfs:label	serenity
ERROR	multiple_labels	MFOEM:000043	rdfs:label	sérénité@fr
ERROR	multiple_labels	MFOEM:000044	rdfs:label	Spaß@de
ERROR	multiple_labels	MFOEM:000044	rdfs:label	amusement
ERROR	multiple_labels	MFOEM:000044	rdfs:label	divertissement@fr
ERROR	multiple_labels	MFOEM:000045	rdfs:label	Hochgefühl@de
ERROR	multiple_labels	MFOEM:000045	rdfs:label	elation
ERROR	multiple_labels	MFOEM:000045	rdfs:label	elation@fr
ERROR	multiple_labels	MFOEM:000046	rdfs:label	Euphorie@de
ERROR	multiple_labels	MFOEM:000046	rdfs:label	euphoria
ERROR	multiple_labels	MFOEM:000046	rdfs:label	l'euphorie@fr
ERROR	multiple_labels	MFOEM:000054	rdfs:label	Verlegenheit@de
ERROR	multiple_labels	MFOEM:000054	rdfs:label	embarrassment
ERROR	multiple_labels	MFOEM:000054	rdfs:label	l'embarras@fr
ERROR	multiple_labels	MFOEM:000164	rdfs:label	Panik@de
ERROR	multiple_labels	MFOEM:000164	rdfs:label	panic
ERROR	multiple_labels	MFOEM:000164	rdfs:label	panique@fr
ERROR	multiple_labels	MFOEM:000166	rdfs:label	Langeweile@de
ERROR	multiple_labels	MFOEM:000166	rdfs:label	boredom
ERROR	multiple_labels	MFOEM:000166	rdfs:label	l'ennui@fr
ERROR	multiple_labels	MFOEM:000167	rdfs:label	curieux@fr
ERROR	multiple_labels	MFOEM:000167	rdfs:label	curiosity@en
ERROR	multiple_labels	MFOEM:000167	rdfs:label	neugierig@de
ERROR	multiple_labels	MFOEM:000168	rdfs:label	betreffen@de
ERROR	multiple_labels	MFOEM:000168	rdfs:label	concern@en
ERROR	multiple_labels	MFOEM:000168	rdfs:label	concernent@fr
ERROR	multiple_labels	MFOEM:000170	rdfs:label	dubious@en
ERROR	multiple_labels	MFOEM:000170	rdfs:label	zweifelhaft@de
ERROR	multiple_labels	MFOEM:000171	rdfs:label	Sorgen@de
ERROR	multiple_labels	MFOEM:000171	rdfs:label	s'inquiéter@fr
ERROR	multiple_labels	MFOEM:000171	rdfs:label	worry
ERROR	multiple_labels	MFOEM:000173	rdfs:label	Verwirrung@de
ERROR	multiple_labels	MFOEM:000173	rdfs:label	confusion@en
ERROR	multiple_labels	MFOEM:000173	rdfs:label	confusion@fr
ERROR	multiple_labels	MFOEM:000175	rdfs:label	Erwartung@de
ERROR	multiple_labels	MFOEM:000175	rdfs:label	anticipation@fr
ERROR	multiple_labels	MFOEM:000175	rdfs:label	expectant@en
ERROR	multiple_labels	MFOEM:000177	rdfs:label	Hoffnung@de
ERROR	multiple_labels	MFOEM:000177	rdfs:label	espoir@fr
ERROR	multiple_labels	MFOEM:000177	rdfs:label	hope@en
ERROR	multiple_labels	MFOEM:000178	rdfs:label	Inspiration@de
ERROR	multiple_labels	MFOEM:000178	rdfs:label	inspiration@fr
ERROR	multiple_labels	MFOEM:000178	rdfs:label	inspiration (emotion)@en
ERROR	multiple_labels	MFOEM:000200	rdfs:label	Begeisterung@de
ERROR	multiple_labels	MFOEM:000200	rdfs:label	enthousiasme@fr
ERROR	multiple_labels	MFOEM:000200	rdfs:label	enthusiasm@en
ERROR	multiple_labels	MFOEM:000218	rdfs:label	Genuss@de
ERROR	multiple_labels	MFOEM:000218	rdfs:label	enjoyment
ERROR	multiple_labels	MFOEM:000218	rdfs:label	jouissance@fr
WARN	annotation_whitespace	MFOEM:000009	IAO:0000115	"Anger is a negative emotion, characterised by feelings of unpleasantness and high arousal, in the form of antagonistic feelings and action tendencies. [Source: OCEAS]
"
WARN	annotation_whitespace	MFOEM:000057	IAO:0000115	An appraisal which represents an evaluation of how suddenly an event occurred. 
WARN	annotation_whitespace	MFOEM:000058	IAO:0000115	An appraisal that represents an evaluation of how familiar an object or event is. 
WARN	annotation_whitespace	MFOEM:000059	IAO:0000115	An appraisal that represents an evaluation of how predictable an event was. 
WARN	annotation_whitespace	MFOEM:000060	IAO:0000115	An appraisal that represents an evaluation of whether an event was expected to occur. 
WARN	annotation_whitespace	MFOEM:000061	IAO:0000115	An appraisal that represents an evaluation of the pleasantness of an object or event. 
WARN	annotation_whitespace	MFOEM:000062	IAO:0000115	An appraisal that represents an evaluation that an event occurred suddenly. 
WARN	annotation_whitespace	MFOEM:000063	IAO:0000115	An appraisal that represents an evaluation that an event did not occur suddenly. 
WARN	annotation_whitespace	MFOEM:000064	IAO:0000115	An appraisal that represents an evaluation that an object or event is familiar. 
WARN	annotation_whitespace	MFOEM:000065	IAO:0000115	An appraisal that represents an evaluation that an object or event is not familiar. 
WARN	annotation_whitespace	MFOEM:000066	IAO:0000115	An appraisal that represents an evaluation that an event was easy to predict. 
WARN	annotation_whitespace	MFOEM:000067	IAO:0000115	An appraisal that represents an evaluation that an event was not easy to predict. 
WARN	annotation_whitespace	MFOEM:000068	IAO:0000115	An appraisal that represents an evaluation that an event was expected. 
WARN	annotation_whitespace	MFOEM:000072	IAO:0000115	An appraisal that represents an evaluation of whether an event or object is important to the person's goals or needs. 
WARN	annotation_whitespace	MFOEM:000073	IAO:0000115	An appraisal that represents an evaluation that the event or object is important to the person's goals or needs. 
WARN	annotation_whitespace	MFOEM:000074	IAO:0000115	An appraisal that represents an evaluation that the event or object is not important to the person's goals or needs. 
WARN	annotation_whitespace	MFOEM:000075	IAO:0000115	An appraisal that represents an evaluation of who or what caused an event. 
WARN	annotation_whitespace	MFOEM:000077	IAO:0000115	An appraisal that represents an evaluation that an event was caused by chance. 
WARN	annotation_whitespace	MFOEM:000083	IAO:0000115	An appraisal that represents an evaluation that an event was deliberately (intentionally) caused. 
WARN	annotation_whitespace	MFOEM:000085	IAO:0000115	An appraisal that represents an evaluation of the desirability of the expected consequences of an event. 
WARN	annotation_whitespace	MFOEM:000086	IAO:0000115	An appraisal that represents an evaluation that the expected consequences of an event are desirable. 
WARN	annotation_whitespace	MFOEM:000087	IAO:0000115	An appraisal that represents an evaluation that the expected consequences of an event are undesirable. 
WARN	annotation_whitespace	MFOEM:000088	IAO:0000115	An appraisal that represents an evaluation of the urgency of responding to an event. 
WARN	annotation_whitespace	MFOEM:000089	IAO:0000115	An appraisal that represents an evaluation that an event requires an urgent (immediate) response. 
WARN	annotation_whitespace	MFOEM:000090	IAO:0000115	An appraisal that represents an evaluation that an event does not require an urgent response. 
WARN	annotation_whitespace	MFOEM:000091	IAO:0000115	An appraisal which represents a judgement about how avoidable the expected consequences of an event will be. 
WARN	annotation_whitespace	MFOEM:000092	IAO:0000115	An appraisal that represents a judgement that the expected consequences of an event are in principle avoidable or modfiable. 
WARN	annotation_whitespace	MFOEM:000093	IAO:0000115	An appraisal that represents a judgement that the expected consequences of an event will be difficult to avoid or modify. 
WARN	annotation_whitespace	MFOEM:000094	IAO:0000115	An appraisal which represents a judgement about whether an event is consistent with the person's standards or ideals. 
WARN	annotation_whitespace	MFOEM:000096	IAO:0000115	An appraisal that represents a judgement that an event is inconsistent with a person's standards or ideals. 
WARN	annotation_whitespace	MFOEM:000097	IAO:0000115	An appraisal which represents a judgement about the direction and nature of the social attention surrounding an event. 
WARN	annotation_whitespace	MFOEM:000099	IAO:0000115	An appraisal that represents a judgement that a person is not at the centre of the surrounding social attention. 
WARN	annotation_whitespace	MFOEM:000100	IAO:0000115	Appraisal which represents an evaluation of whether the person was treated justly or unjustly by another person. 
WARN	annotation_whitespace	MFOEM:000101	IAO:0000115	An appraisal which represents an evaluation that the person was treated justly by another person. 
WARN	annotation_whitespace	MFOEM:000102	IAO:0000115	An appraisal that represents an evaluation that the person was treated unjustly by another person. (Injustice.) 
WARN	annotation_whitespace	MFOEM:000106	IAO:0000115	An appraisal that represents a belief that something or someone that is important to the person has been lost to the person. 
WARN	annotation_whitespace	MFOEM:000125	IAO:0000115	A behavioural process that involves a change in the expression of the face. 
WARN	annotation_whitespace	MFOEM:000126	IAO:0000115	A facial expression behaviour in which the person smiles. 
WARN	annotation_whitespace	MFOEM:000128	IAO:0000115	A facial expression behaviour in which the lips are tightly pressed together. 
WARN	annotation_whitespace	MFOEM:000129	IAO:0000115	A facial expression behaviour in which the eyebrows are raised. 
WARN	annotation_whitespace	MFOEM:000130	IAO:0000115	A facial expression behaviour in which the person frowns. 
WARN	annotation_whitespace	MFOEM:000131	IAO:0000115	A facial expression behaviour in which the eyes are closed. 
WARN	annotation_whitespace	MFOEM:000132	IAO:0000115	A facial expression behaviour in which the eyes are opened widely. 
WARN	annotation_whitespace	MFOEM:000133	IAO:0000115	A facial expression behaviour which appears very neutral (showing no expression). 
WARN	annotation_whitespace	MFOEM:000137	IAO:0000115	A bodily movement behaviour which involves moving, or leaning, away from people (avoidance). 
WARN	annotation_whitespace	MFOEM:000138	IAO:0000115	A bodily movement behaviour which involves remaining still. 
WARN	annotation_whitespace	MFOEM:000153	IAO:0000115	Speaking with a voice louder than usual. 
WARN	annotation_whitespace	MFOEM:000155	IAO:0000115	Speaking with a voice that is hesitant or trembling. 
WARN	annotation_whitespace	MFOEM:000157	IAO:0000115	Remaining silent, not producing spoken utterances. 
WARN	annotation_whitespace	MFOEM:000159	IAO:0000115	Speaking behaviour in which a long utterance is produced. 
WARN	annotation_whitespace	MFOEM:000160	IAO:0000115	Speaking with an altered rhythm or melody of speech relative to the norm for that person. 
WARN	annotation_whitespace	MFOEM:000161	IAO:0000115	Speaking in a manner which is disturbed relative to what is the norm for that person. 
WARN	annotation_whitespace	MFOEM:000163	IAO:0000115	Speaking in a manner that is slower than the norm for that person. 
WARN	annotation_whitespace	MFOEM:000164	IAO:0000115	A severe episode of fear with strong associated discomfort and thoughts of impending harm. 
WARN	annotation_whitespace	MFOEM:000172	IAO:0000115	The canonical facial expression associated with the experience of anger. 
WARN	annotation_whitespace	MFOEM:000174	IAO:0000115	"Characteristic facial expressions that are made when a person is undergoing a so-called \""basic\"" emotions. These are canonical, that is, individual facial expressions when undergoing emotions can vary or not change at all. However, research indicates evidence for the existence of characteristic canonical facial expressions that are displayed when experiencing certain emotions even across cultures. "
