Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	mental disorder	IAO:0000115	A disease that involves a psychological or behavioral pattern generally associated with subjective distress or disability that occurs in an individual, and which are not a part of normal development or culture.
ERROR	multiple_definitions	mental disorder	IAO:0000115	Clinically significant behavioural and/or cognitive pathology.
ERROR	multiple_definitions	insomnia	IAO:0000115	"
A subjective complaint of difficulty falling or staying asleep or poor sleep quality.

DSM-IV-TR (american Psychiatric Association)"
ERROR	multiple_definitions	insomnia	IAO:0000115	"A subjective complaint of difficulty falling or staying asleep or poor sleep quality.

DSM-IV-TR (american Psychiatric Association)"
ERROR	missing_label	MFOMD:0000038	rdfs:label	
ERROR	duplicate_label	ICD-10 code	rdfs:label	ICD-10 code@en
ERROR	duplicate_label	ICD-10 code	rdfs:label	ICD-10 code@en
ERROR	duplicate_label	ICD-10 code	rdfs:label	ICD-10 code@en
ERROR	duplicate_label	disorientation	rdfs:label	disorientation@en
ERROR	duplicate_label	disorientation	rdfs:label	disorientation@en
ERROR	duplicate_label	code DSM-IV-TR	rdfs:label	code DSM-IV-TR@en
ERROR	duplicate_label	code DSM-IV-TR	rdfs:label	code DSM-IV-TR@en
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/MFOMD.owl	dc:license	
WARN	annotation_whitespace	diagnosis of mental disease	IAO:0000115	"A diagnosis asserting the presence of an instance of a mental disease in a given organsim.
"
WARN	annotation_whitespace	manifestation of a mental disease	IAO:0000115	"A bodily feature of an organism that is (a) a deviation from clinical normality that is the realization of a mental disease and is (b) observable.
"
WARN	annotation_whitespace	process addiction	IAO:0000115	  An addiction to a process, which might be a behaviour, such as gambling, or procrastination.           
WARN	annotation_whitespace	gambling addiction	IAO:0000115	  A process addiction in which the patient compulsively gambles.            
WARN	annotation_whitespace	shopping addiction	IAO:0000115	 A process addiction in which the person compulsively performs shopping activities.        
WARN	annotation_whitespace	addiction to use of a sunbed	IAO:0000115	 A process addiction in which the subject compulsively makes use of a sunbed.
WARN	annotation_whitespace	dissociative fugue	IAO:0000118	fuga disociativa 
WARN	annotation_whitespace	sexual desire disorder	ICD-10 code	"
F52.0 ( Hypoactive Sexual Desire Disorder)
F52.10 ( Sexual Aversion Disorder)"
WARN	annotation_whitespace	primary sleep disorder: dyssomnia	IAO:0000115	"Primary disorders of initiating or maintaining sleep or of excessive sleepiness and are characterized by abnormalities in the amount, quality or timing of sleep.

DSM-IV-TR (american Psychiatric Association)
"
WARN	annotation_whitespace	primary sleep disorder: parasomnia	IAO:0000115	"Disorders characterised by abnormal behavioural or physiological events occurring in association with sleep, specific sleep stages, or sleep-wake transitions.

DSM-IV-TR (american Psychiatric Association)
"
WARN	annotation_whitespace	psychotic disorder due to a general medical condition	ICD-10 code	"F06.x
      .2   with delusions
      .0   with hallucinations
"
