IRI	Label	Issue
http://purl.obolibrary.org/obo/MICRO_0001283	develops into	shares label with http://purl.obolibrary.org/obo/RO_0002203
http://purl.obolibrary.org/obo/MICRO_0000001	is an assay using the culture medium	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000029	has shape	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000032	has position	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000034	has structure	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000035	has morphology	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000050	has angle	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000065	is an assay using the chemical reagent	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000105	has size	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000107	has physical quality	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000108	has texture	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000110	has organismal quality	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000135	has physical object quality	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000469	is an enzymatic hydrolytic extract derived from	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000470	is an acid hydrolytic extract derived from	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000471	is the quality assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000472	is culture medium used by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000473	is an extract derived from	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000475	is an oleaginous extract derived from	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000477	is an aqueous extract derived from	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000940	is an assay for the quality	not an RO property
http://purl.obolibrary.org/obo/MICRO_0000975	uses chemical entity	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001197	is an assay for the enzymatic substrate	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001198	is an assay for the enzymatic product	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001199	is an assay for the metabolic substrate	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001200	is an assay for the metabolic product	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001201	is metabolic substrate assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001202	is enzymatic substrate assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001203	is metabolic product assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001204	is enzymatic product assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001205	is the enzymatic activity assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001206	is an assay for the enzymatic activity of	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001208	is an assay for the fermentation substrate	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001209	is fermentation product assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001210	is fermentation substrate assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001213	is assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001214	is an assay for	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001215	is an assay for the biological process of	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001216	is the biological process
 assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001217	is an assay for the biosynthetic production of	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001218	biosynthetic production is assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001219	is prokaryotic physiological quality of	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001221	is an assay for the cellular component	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001222	is the cellular component assayed by	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001244	has ingredient	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001245	is an ingredient of	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001279	has susceptibility towards the chemical	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001288	has salinity	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001301	has ph	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001302	has redox	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001321	culture medium has quality	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001371	has chemical composition	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001391	is an assay using the material entity	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001430	is quality of the culture medium	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001431	is chemical entity derived from	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001432	has cell wall	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001433	is an assay using the cellular organism	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001460	uses carbon source	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001461	uses energy source	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001462	uses electron donor	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001463	uses electron acceptor	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001464	working-temp obj props	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001465	has symmetry	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001466	has spatial pattern	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001467	contains prokaryotic metabolic process	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001468	has prokaryotic physiological quality	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001469	has measurement	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001501	is prokaryotic metabolic process carried out in the presence of	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001502	is prokaryotic metabolic process occuring in	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001521	has prokaryotic metabolic quality	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001522	is prokaryotic metabolic quality of	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001523	is prokaryotic metabolic quality of a cell carrying out the process	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001524	is prokaryotic metabolic process which makes a cell	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001550	has colony margin symmetry	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001551	contains biological process	not an RO property
http://purl.obolibrary.org/obo/MICRO_00001211	has sodium chloride percentage of^^xsd:decimal	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001179	has cell width^^xsd:int	not an RO property
http://purl.obolibrary.org/obo/MICRO_0001603	has ph value^^xsd:decimal	not an RO property
