Level	Rule Name	Subject	Property	Value
ERROR	label_formatting	is the biological process assayed by	rdfs:label	"is the biological process
 assayed by"
ERROR	missing_label	MICRO:0000474	rdfs:label	
ERROR	missing_label	MICRO:0000476	rdfs:label	
ERROR	missing_label	MICRO:0000478	rdfs:label	
ERROR	missing_label	MICRO:0001220	rdfs:label	
ERROR	missing_label	MICRO:0001304	rdfs:label	
ERROR	missing_ontology_description	obo:MicrO.owl	dc11:description	
ERROR	duplicate_label	triple sugar iron agar	rdfs:label	triple sugar iron agar
ERROR	duplicate_label	triple sugar iron agar	rdfs:label	triple sugar iron agar
ERROR	missing_ontology_license	obo:MicrO.owl	dc:license	
ERROR	missing_ontology_title	obo:MicrO.owl	dc11:title	
ERROR	multiple_labels	Relationship between a material entity (x) and a cellular organism or environmental material (y) where the material entity is derived from the starting complex entity y.	rdfs:label	Relationship between a material entity (x) and a cellular organism or environmental material (y) where the material entity is derived from the starting complex entity y.
ERROR	multiple_labels	Relationship between a material entity (x) and a cellular organism or environmental material (y) where the material entity is derived from the starting complex entity y.	rdfs:label	is chemical entity derived from
WARN	annotation_whitespace	paired false branching	obo:definition	Paired filament branches where the filament exhibits false branching. 
WARN	annotation_whitespace	paired true branching	obo:definition	Paired filament branches where the filament exhibits true branching. 
WARN	annotation_whitespace	solitary false branching	obo:definition	Solitary filament branches where the filament exhibits false branching. 
WARN	annotation_whitespace	solitary true branching	obo:definition	Solitary filament branches where the filament exhibits true branching. 
WARN	annotation_whitespace	prokaryotic nucleobase quality	obo:definition	"The molar percentage of nucleobases in the DNA of a prokaryotic chromosome and/or plasmid.
"
WARN	annotation_whitespace	casein agar	IAO:0000119	"<https://catalog.hardydiagnostics.com/cp_prod/Content/hugo/CaseinAgar.html FORMULAIngredients per liter of deionized water:*Dry Milk, Instant Nonfat 	50.0gmPancreatic Digest of Casein 	5.0gmYeast Extract 	2.5gmGlucose 	1.0gmAgar 	12.5gmFinal pH 6.8 +/- 0.3 at 25 degrees C. >"
WARN	annotation_whitespace	cell filament	obo:definition	A group of prokaryotic cells where the cells are attached to one another end-to-end, forming long threads.  Formed when cell division occurs in a single plane (at right angles to the filament axis) and when cells do not detach from one another.  
